name,model_name,probability_threshold,protection_fraction,vix_threshold,fsi_threshold,vol_cap,dd_start,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,MDD10Pass,ReturnRetention
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc0.18_dd0.05,logit_s_l8_c01,0.55,1.0,30.0,99.0,0.18,-0.05,129.0,0.11117211489923973,0.11352567581725333,0.9876797194040072,2.036918720338293,-0.11546025867594834,0.9628604350459343,3.1056273459763686,0.6201550387596899,0.16856264788211203,0.5871738539702518,False,False,0.729382567452397
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc0.22_dd0.03,logit_s_l8_c01,0.55,1.0,30.0,99.0,0.22,-0.03,129.0,0.11686379009317949,0.11906911199224907,0.9897711121626336,2.1736833187741333,-0.10880348460034284,1.074081317546435,3.2809700572598315,0.627906976744186,0.15278322754182042,0.6719160568522861,False,False,0.7667247433192815
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc0.22_dd0.05,logit_s_l8_c01,0.55,1.0,30.0,99.0,0.22,-0.05,129.0,0.11830689945667117,0.12237019840207132,0.9770933716489264,2.041989706796032,-0.12982466057084063,0.9112821781044854,3.326831434165829,0.6201550387596899,0.1635136496792729,0.5826360982646039,False,False,0.7761927543723425
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc0.26_dd0.03,logit_s_l8_c01,0.55,1.0,30.0,99.0,0.26,-0.03,129.0,0.11464810524385927,0.12090439090119029,0.9599681056029473,2.0511877772904294,-0.10880348460034295,1.053717219305841,3.2116717951676454,0.627906976744186,0.1611294150949729,0.6566347009026775,False,False,0.7521879873573456
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc0.26_dd0.05,logit_s_l8_c01,0.55,1.0,30.0,99.0,0.26,-0.05,129.0,0.12198459206618617,0.12815952361796026,0.9641795023231122,2.001566453432874,-0.14096756031305213,0.8653380380230051,3.446347760907371,0.627906976744186,0.13883146772851415,0.6451366725545632,False,False,0.8003215107629174
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc99.00_dd0.03,logit_s_l8_c01,0.55,1.0,30.0,99.0,99.0,-0.03,129.0,0.08458721941923941,0.12563609020764963,0.7102735765638776,1.2333225132279644,-0.17871064639634782,0.4733194195472848,2.393829345867828,0.627906976744186,0.17188718370458256,0.6779243601172862,False,False,0.5549632956931903
logit_s_l8_c01_pt0.55_pf1.00_vx30_fs99_vc99.00_dd0.05,logit_s_l8_c01,0.55,1.0,30.0,99.0,99.0,-0.05,129.0,0.11275055354033858,0.14086536374254982,0.8305089703079107,1.5341451250763734,-0.17871064639634793,0.6309112289274486,3.1533817816502534,0.627906976744186,0.1427954977014065,0.6369348192530612,False,False,0.739738452376006
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.18_dd0.03,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.18,-0.03,129.0,0.07713075341720366,0.09197243825835968,0.8551622029929553,1.6516167196476466,-0.10880348460034284,0.7088996616286738,2.2227241922549865,0.627906976744186,0.15422977009072159,0.7350543359349864,False,False,0.5060426079684347
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.18_dd0.05,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.18,-0.05,129.0,0.0812229915527587,0.09634917815184967,0.860175821374542,1.6335891769036284,-0.11546025867594856,0.703471415049568,2.3152035273213536,0.627906976744186,0.16759731923699686,0.6279373623321022,False,False,0.5328911316350305
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.22_dd0.03,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.22,-0.03,129.0,0.08064683993417043,0.09526083924096103,0.8630339332834134,1.7230562863618544,-0.1088034846003425,0.7412155982908342,2.301975616547768,0.627906976744186,0.15954519625001987,0.7304111198566106,False,False,0.529111092484128
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.22_dd0.05,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.22,-0.05,129.0,0.08490721454795191,0.1003500308340583,0.8637669685639829,1.6510850450337198,-0.12982466057084074,0.6540145314042323,2.4014327009944356,0.627906976744186,0.16316375576165684,0.6289722570095161,False,False,0.5570627328475893
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.26_dd0.03,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.26,-0.03,129.0,0.08489227724095816,0.0980953433184925,0.8808462228574767,1.8159941711223373,-0.10880348460034306,0.7802349120782708,2.40107729115725,0.627906976744186,0.16463238076253223,0.7089742288006714,False,False,0.5569647315517086
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc0.26_dd0.05,logit_s_l8_c01,0.55,1.0,35.0,1.0,0.26,-0.05,129.0,0.0868158641824186,0.10236857607778288,0.8658956717793406,1.6546553735039684,-0.14096756031305235,0.615857038240735,2.4472405969100532,0.6356589147286822,0.14155025784905914,0.6960537372913685,False,False,0.5695850795890914
logit_s_l8_c01_pt0.55_pf1.00_vx35_fs1_vc99.00_dd0.03,logit_s_l8_c01,0.55,1.0,35.0,1.0,99.0,-0.03,129.0,0.08672173495694024,0.10203676864753908,0.8668396028101661,1.8451781139731325,-0.10880348460034306,0.7970492422690919,2.4449630344981994,0.627906976744186,0.17102721146032163,0.7054577627795736,False,False,0.568967512708998
