Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
cost_0.5x_full_2007_2026,FinalBlend,232.0,0.1448527093941403,0.1408332674776124,1.0353625083417255,1.8752409180462526,-0.14736421620133777,0.9829571460973531,13.671806862206571,0.6077586206896551
cost_0.5x_locked_2018_2026,FinalBlend,103.0,0.17295795819533377,0.14517463295642033,1.1776878845147143,2.0898193726811956,-0.14736421620133777,1.173676776179017,3.9325506929451337,0.6310679611650486
cost_0.5x_full_2007_2026,GeneralHMM,232.0,0.1474108605037976,0.14078864201785746,1.0512143287746298,1.9782737383209719,-0.14208020058109394,1.0375186683359243,14.274683497644643,0.6293103448275862
cost_0.5x_locked_2018_2026,GeneralHMM,103.0,0.17885970177671973,0.1471488710530544,1.197535269235,2.2742032424442145,-0.12463083919231155,1.4351159226387808,4.105662196266644,0.6601941747572816
cost_0.5x_full_2007_2026,VolTarget15,232.0,0.14900235475462442,0.14250908722010455,1.050247921300628,1.9543832165926358,-0.1297324800108941,1.1485354688518417,14.662378580837066,0.6077586206896551
cost_0.5x_locked_2018_2026,VolTarget15,103.0,0.17943450731074484,0.1477742745897747,1.1966958381441992,2.2398401846587284,-0.1250099679645723,1.4353615974175467,4.1228769593395125,0.6310679611650486
cost_1.0x_full_2007_2026,FinalBlend,232.0,0.14299103392526247,0.14078459916496255,1.0240001979038977,1.8485596685854924,-0.14900559871229757,0.9596353100889308,13.248333646250947,0.6077586206896551
cost_1.0x_locked_2018_2026,FinalBlend,103.0,0.17067612032915513,0.145197597223786,1.163960427765985,2.0574593735995084,-0.14900559871229757,1.145434277665629,3.867368184441654,0.6310679611650486
cost_1.0x_full_2007_2026,GeneralHMM,232.0,0.14454780542510304,0.14075977013244273,1.0334667373407642,1.936575889362315,-0.1422537732587973,1.0161263361509034,13.601582759280578,0.6293103448275862
cost_1.0x_locked_2018_2026,GeneralHMM,103.0,0.17546156297442783,0.1471707030042346,1.177520776054213,2.225194769199267,-0.12470659804889073,1.4069950244784868,4.005183134595796,0.6601941747572816
cost_1.0x_full_2007_2026,VolTarget15,232.0,0.14674106027730072,0.14244671302493697,1.0366817879999675,1.9209277957317716,-0.13038429770887872,1.1254504020487444,14.114441165518826,0.6077586206896551
cost_1.0x_locked_2018_2026,VolTarget15,103.0,0.17673353519070423,0.14782355054833088,1.1806563805418624,2.198775231070337,-0.12737638484541602,1.3874905886612188,4.042536524932975,0.6310679611650486
cost_2.0x_full_2007_2026,FinalBlend,232.0,0.13927346848491817,0.1407035060780941,1.001136403771496,1.7953392481357184,-0.15228312965745594,0.9145692552957011,12.439636300498842,0.6077586206896551
cost_2.0x_locked_2018_2026,FinalBlend,103.0,0.16612148913088642,0.14526255418922182,1.1363696604649673,1.9931360057702472,-0.15228312965745605,1.090872570747385,3.7401090997747373,0.6310679611650486
cost_2.0x_full_2007_2026,GeneralHMM,232.0,0.13883908946249957,0.14071638426200098,0.9978478786493704,1.8538176783239173,-0.14260086598662136,0.9736202406759947,12.348259047873492,0.625
cost_2.0x_locked_2018_2026,GeneralHMM,103.0,0.1686894925780933,0.1472304635711695,1.1373852350382134,2.1282113464091115,-0.12742274102195017,1.3238570385880681,3.811397808944015,0.6504854368932039
cost_2.0x_full_2007_2026,VolTarget15,232.0,0.14222720044056647,0.1423441608354938,1.0093564314699623,1.854300751805144,-0.13554583844748558,1.0492922694610758,13.078209655601384,0.6077586206896551
cost_2.0x_locked_2018_2026,VolTarget15,103.0,0.17134438442236322,0.14794671911168378,1.1484184082969457,2.1173665387525564,-0.1355458384474859,1.2641065663461635,3.886358099464281,0.6310679611650486
cost_3.0x_full_2007_2026,FinalBlend,232.0,0.1355636085940468,0.14064410121942614,0.978095387909412,1.7423437726328639,-0.15555368520046275,0.8714908195157535,11.679430876282444,0.603448275862069
cost_3.0x_locked_2018_2026,FinalBlend,103.0,0.16157890029839028,0.145352852666199,1.108610243511518,1.9293810674985048,-0.15555368520046275,1.0387339913558642,3.6168858324249884,0.6310679611650486
cost_3.0x_full_2007_2026,GeneralHMM,232.0,0.1331535018319805,0.1406921562034154,0.9620760269732591,1.7719427534833947,-0.14294788854433504,0.9314828164858354,11.209401059384183,0.6206896551724138
cost_3.0x_locked_2018_2026,GeneralHMM,103.0,0.16194959337952852,0.14731166361370568,1.0971225661885216,2.0326191331570134,-0.13078804517993692,1.2382599124921536,3.626805157056627,0.6407766990291263
cost_3.0x_full_2007_2026,VolTarget15,232.0,0.13772496295121428,0.14227125498841645,0.9817870468701738,1.7881131735081945,-0.14447468600473223,0.9532809294128047,12.116789147508412,0.603448275862069
cost_3.0x_locked_2018_2026,VolTarget15,103.0,0.16597226192359305,0.1481026393560265,1.1159872229111991,2.0369864647699925,-0.14447468600473223,1.1487982186592651,3.7360029598547033,0.6310679611650486
subperiod_2007_2012,FinalBlend,69.0,0.21156840141539357,0.17365331023848785,1.198705941327138,2.232700646025265,-0.1399488414503457,1.5117552901676483,3.014745419866273,0.6521739130434783
subperiod_2007_2012,GeneralHMM,69.0,0.20958563887007742,0.1717943959681515,1.199921471974238,2.2733413955077992,-0.1422537732587973,1.473322176760722,2.9864866379684623,0.6666666666666666
