mode,trend_weight,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,existing
existing,0.0,0.15,129.0,0.12602394158576025,0.13895007738327617,0.9262874316813022,1.7398769391826179,-0.13038427811873865,0.9665578043925854,3.582093886784142,0.5891472868217055,structure
risk_on_only,0.25,0.05,129.0,0.1247169654899476,0.13889593253392798,0.9182267911657866,1.7089048972090766,-0.13024885742355785,0.9575282882089243,3.5376502694021275,0.5891472868217055,structure
risk_on_only,0.25,0.1,129.0,0.12545450870597752,0.13939093387424975,0.9201490178698972,1.7204261386258826,-0.1301134424721263,0.9641932941160415,3.5626684882123185,0.5968992248062015,structure
risk_on_only,0.25,0.15,129.0,0.12511710565558642,0.13954078956995472,0.9171188609188948,1.717459800758245,-0.13157938758409793,0.9508868216582845,3.551203587172827,0.5891472868217055,structure
risk_on_only,0.25,0.2,129.0,0.12490957490682497,0.1394921108035971,0.9160462830622281,1.7182625901341633,-0.13397710082215175,0.9323203304170353,3.544168357587359,0.5891472868217055,structure
risk_on_only,0.5,0.05,129.0,0.12443920002457154,0.13909903723061245,0.9152935824648318,1.7018700847181802,-0.1301134424721262,0.9563900367268338,3.5282695627518352,0.5891472868217055,structure
risk_on_only,0.5,0.1,129.0,0.12488206200339524,0.139809623899973,0.9141322385368642,1.7057035920084143,-0.13529418810575633,0.9230408471484217,3.5432366281064027,0.5968992248062015,structure
risk_on_only,0.5,0.15,129.0,0.12422999970717363,0.14018807796046934,0.9078419309815954,1.6945442116603378,-0.14072735677923498,0.8827707884974955,3.521219341931098,0.5968992248062015,structure
risk_on_only,0.5,0.2,129.0,0.123699782145412,0.1403824009436377,0.9033761103743639,1.6866175682627613,-0.14614667524731906,0.8464084587355755,3.5034077726533566,0.5968992248062015,structure
risk_on_only,0.75,0.05,129.0,0.12418321399988486,0.1393117238438812,0.9124560112210162,1.6950127932974712,-0.1329070716695704,0.934361222769436,3.5196443749051545,0.5891472868217055,structure
risk_on_only,0.75,0.1,129.0,0.12434838649506563,0.14025499503972236,0.9082530622891771,1.6911631580682542,-0.1413839277331741,0.879508643512446,3.5252075019114004,0.5968992248062015,structure
risk_on_only,0.75,0.15,129.0,0.12340591772481435,0.14088760095248093,0.8987705002441365,1.6717657043020486,-0.14982293889528275,0.8236783942081638,3.493571235025207,0.5968992248062015,structure
risk_on_only,0.75,0.2,129.0,0.12276495654067165,0.14128326109347092,0.8925557621186747,1.6596769153284887,-0.1582314970601496,0.775856632981259,3.4722031572072094,0.5968992248062015,structure
risk_on_only,1.0,0.05,129.0,0.12389983647815606,0.13953014416659087,0.9094189396314712,1.6877530161931342,-0.13595628440037855,0.9113211428556154,3.5101185646362287,0.5891472868217055,structure
risk_on_only,1.0,0.1,129.0,0.12375988761815004,0.14072045577562073,0.9019521727918494,1.6756805220513316,-0.1474458616863885,0.8393581630753558,3.5054227776290063,0.5968992248062015,structure
risk_on_only,1.0,0.15,129.0,0.12269903851653097,0.1415538852219262,0.8907063682009625,1.6522229091180116,-0.15886973613259747,0.7723248083834082,3.470012347651472,0.5968992248062015,structure
risk_on_only,1.0,0.2,129.0,0.12195585416168697,0.14215168816737006,0.8828347004947267,1.6363557197202212,-0.1702133540351516,0.7164881677644475,3.445398945912662,0.5968992248062015,structure
symmetric,0.25,0.05,129.0,0.12445089543626953,0.13870108089690483,0.9175953760824064,1.7095707673038014,-0.1295690095997597,0.9604989327363072,3.5286640852554116,0.5891472868217055,structure
symmetric,0.25,0.1,129.0,0.12492908192416352,0.13900908897348926,0.9188947084873974,1.721660941725131,-0.12967845796409072,0.9633757517286151,3.5448291009041486,0.5968992248062015,structure
symmetric,0.25,0.15,129.0,0.1243548758179589,0.13898021894170742,0.9153220497755359,1.7193241049980998,-0.1323161227502323,0.9398316186508766,3.525426229644897,0.5813953488372093,structure
symmetric,0.25,0.2,129.0,0.12415402233255035,0.13870664757093745,0.915541623489662,1.7252506592278984,-0.13496677309541583,0.9198858317874925,3.518662007198466,0.5813953488372093,structure
symmetric,0.5,0.05,129.0,0.1239000987005765,0.13871736544818083,0.9139312904750124,1.7029128685741604,-0.13034476373762605,0.9505567784063642,3.5101273684927956,0.5891472868217055,structure
symmetric,0.5,0.1,129.0,0.12382759710852453,0.1390780718137323,0.9113841239232231,1.7073165889717659,-0.13629392420200137,0.9085335082508852,3.5076939623468784,0.5891472868217055,structure
symmetric,0.5,0.15,129.0,0.12281187679820071,0.13911597397481643,0.9045816148820331,1.6984598019974755,-0.1422618390996121,0.8632805366181687,3.473763333264058,0.5813953488372093,structure
symmetric,0.5,0.2,129.0,0.12224048964488587,0.13892744734300658,0.9019061547747164,1.6983771534807772,-0.14817855486169274,0.824953987160848,3.454806970359239,0.5813953488372093,structure
symmetric,0.75,0.05,129.0,0.12337020366975482,0.13875048634552156,0.9103084123660524,1.6962187691242785,-0.13364861342638734,0.9230937793283296,3.492377485483817,0.5813953488372093,structure
symmetric,0.75,0.1,129.0,0.12276998743355749,0.13920747696749378,0.9038266313510529,1.6924130111384013,-0.14292623622403755,0.8589744659693896,3.4723704122806187,0.5813953488372093,structure
symmetric,0.75,0.15,129.0,0.12158901130684963,0.13936709881466322,0.8952935459616268,1.6801287849106359,-0.15110125800226326,0.8046856321012789,3.4333080040088455,0.5813953488372093,structure
symmetric,0.75,0.2,129.0,0.12103975698658398,0.13950804147932844,0.8909648148584471,1.6761659894575829,-0.15918537571852642,0.7603698294534794,3.4152768135453204,0.5891472868217055,structure
symmetric,1.0,0.05,129.0,0.12281176275954153,0.13879690250565227,0.9064273895156179,1.6888989918710733,-0.13695773956173962,0.8967128338459385,3.473759540519616,0.5813953488372093,structure
symmetric,1.0,0.1,129.0,0.12167267439660256,0.13938910518380052,0.8957379306868015,1.675984404299236,-0.1495037369897707,0.8138436994717236,3.436062101550772,0.5813953488372093,structure
symmetric,1.0,0.15,129.0,0.12066648971396665,0.13984289520781948,0.8867666668270912,1.6628574711132686,-0.15984561237362616,0.7548939750183353,3.403072076246826,0.5891472868217055,structure
symmetric,1.0,0.2,129.0,0.11958276920983146,0.14022876985569988,0.8777232767643055,1.647777422580159,-0.17608219503410538,0.6791303867302964,3.3678614232217443,0.5891472868217055,structure
