Candidate,LeverageCap,Cal_Months,Cal_CAGR,Cal_Volatility,Cal_Sharpe,Cal_Sortino,Cal_MDD,Cal_Calmar,Cal_FinalMultiple,Cal_PositiveMonths,Cal_AvgLeverage,Validation_Months,Validation_CAGR,Validation_Volatility,Validation_Sharpe,Validation_Sortino,Validation_MDD,Validation_Calmar,Validation_FinalMultiple,Validation_PositiveMonths,Validation_AvgLeverage,Rank_Cal_CAGR,Rank_Cal_Sharpe,Rank_Cal_MDD,Rank_Validation_CAGR,Rank_Validation_Sharpe,Rank_Validation_MDD,MultiObjectiveScore,Cal_CAGRDeltaVsCurrent,Cal_SharpeDeltaVsCurrent,Cal_MDDDeltaVsCurrent,Validation_CAGRDeltaVsCurrent,Validation_SharpeDeltaVsCurrent,Validation_MDDDeltaVsCurrent,Selected,StrictPrelockPass
Hysteresis_Hard40_LevCap1.0,1.0,129.0,0.10547880839571344,0.11291182930546514,0.947093638971604,1.770940400744272,-0.11168978163312282,0.9443908552188677,2.9387797164106835,0.6124031007751938,0.9891601691950574,60.0,0.027732426971312396,0.05322252078508704,0.5407383953804231,0.854688968395149,-0.06795935832768485,0.40807370248543,1.146569270426189,0.55,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.875,-0.010453228972666873,0.08963617389739165,0.017898216062415706,-0.0027859906153020475,0.12743408007915707,0.03867209396151905,True,False
Hysteresis_Hard40_LevCap1.1,1.1,129.0,0.10878102047448213,0.1197978540745915,0.9242777195746703,1.717605148945344,-0.11172964508919492,0.9736092904227981,3.0345351370037186,0.6124031007751938,1.0766878296508582,60.0,0.026309167916843235,0.058368430282050084,0.4741198804759105,0.739481942993986,-0.07556459021750983,0.3481679426979394,1.1386520756433658,0.55,1.0985100783295254,0.5,0.75,0.75,0.25,0.75,0.75,0.625,-0.007151016893898188,0.06682025450045792,0.017858352606343608,-0.004209249669771209,0.06081556517464448,0.031066862071694068,False,False
Hysteresis_Hard40_LevCap1.2,1.2,129.0,0.11306807381642603,0.12581808361134905,0.9167449489245018,1.6942625744741617,-0.11172964508919503,1.0119791728163328,3.1630681923403983,0.6046511627906976,1.1586231745292759,60.0,0.027571649698546308,0.06287590893492602,0.46400117470791397,0.7241878203527619,-0.0833204530211703,0.33091094321751735,1.1456727111276008,0.5333333333333333,1.1919479040531067,0.75,0.5,0.5,0.75,0.5,0.5,0.5833333333333334,-0.002863963551954285,0.05928748385028937,0.017858352606343497,-0.002946767888068136,0.05069685940664792,0.023310999268033594,False,False
Hysteresis_Hard40_LevCap1.3,1.3,129.0,0.11652086731200328,0.13118257745707843,0.9081603528218564,1.6815063845538833,-0.11200195710111904,1.0403467075740866,3.270156791151143,0.5968992248062015,1.2338973426428628,60.0,0.0267726543907969,0.06683985646365741,0.42861254001881655,0.6657404981775172,-0.09112529773274514,0.2938004599920925,1.1412255044720372,0.5166666666666667,1.2799916941898397,1.0,0.25,0.25,0.5,0.25,0.25,0.4166666666666667,0.0005888299436229705,0.05070288774764398,0.017586040594419483,-0.003745763195817542,0.0153082247175505,0.015506154556458762,False,False
