Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
calibration_2007_2017,FinalBlend,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
calibration_2007_2017,loss3_stress,129.0,0.12380053722871387,0.1381969157413631,0.9161693191213168,1.7138437324622142,-0.1399488414503457,0.8846128052631197,3.506786130628094,0.5968992248062015,0.08010398346493328
calibration_2007_2017,loss4_domestic,129.0,0.12431552689405789,0.13806151935330555,0.9202555986899043,1.7292384459449677,-0.1399488414503457,0.8882926475541096,3.5241001321508993,0.5891472868217055,0.08446343725094768
calibration_2007_2017,loss4_stress,129.0,0.12320852135388027,0.1385888025736222,0.9101358517624321,1.6965003080016678,-0.1399488414503457,0.8803825746395697,3.4869778484478027,0.6046511627906976,0.07973374593703293
calibration_2007_2017,loss_1sigma_stress,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
locked_2018_2026,FinalBlend,103.0,0.17067612032915513,0.145197597223786,1.163960427765985,2.0574593735995084,-0.14900559871229757,1.145434277665629,3.867368184441654,0.6310679611650486,0.10127811177909524
locked_2018_2026,loss3_stress,103.0,0.16471462792649905,0.13889370249314528,1.1728802644431409,2.126504783762811,-0.13468237518805848,1.22298576704269,3.7015557810073387,0.6310679611650486,0.11178434413091493
locked_2018_2026,loss4_domestic,103.0,0.16815047994507637,0.13883160417759766,1.1947024168030003,2.2035767172815235,-0.12393389112354047,1.356775603676154,3.7963358766331,0.6213592233009708,0.11066323770908967
locked_2018_2026,loss4_stress,103.0,0.16809517014823427,0.13956886711562494,1.1888441315888054,2.1757334269382245,-0.13347108369148442,1.2594126420429963,3.7947933029700285,0.6213592233009708,0.1111218666404276
locked_2018_2026,loss_1sigma_stress,103.0,0.17067612032915513,0.145197597223786,1.163960427765985,2.0574593735995084,-0.14900559871229757,1.145434277665629,3.867368184441654,0.6310679611650486,0.10127811177909524
full_2007_2026,FinalBlend,232.0,0.14299103392526247,0.14078459916496255,1.0240001979038977,1.8485596685854924,-0.14900559871229757,0.9596353100889308,13.248333646250947,0.6077586206896551,0.08711947439829774
full_2007_2026,loss3_stress,232.0,0.14178451988144292,0.1383046596015128,1.0319610227617086,1.9004461557342984,-0.1399488414503457,1.01311678190454,12.980564474582778,0.6120689655172413,0.09416897117439926
full_2007_2026,loss4_domestic,232.0,0.14356994967641623,0.13821628890400997,1.0438888259614252,1.9425209587308734,-0.1399488414503457,1.0258745137762024,13.378667764531922,0.603448275862069,0.09609524521296761
full_2007_2026,loss4_stress,232.0,0.14291971214025878,0.13884090386018194,1.0357211863788982,1.9121187292163588,-0.1399488414503457,1.021228262121535,13.232360186894551,0.6120689655172413,0.09366898918035041
full_2007_2026,loss_1sigma_stress,232.0,0.14299103392526247,0.14078459916496255,1.0240001979038977,1.8485596685854924,-0.14900559871229757,0.9596353100889308,13.248333646250947,0.6077586206896551,0.08711947439829774
