period,strategy,start,end,status,note,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
requested_2005_01_2026_07,ReferenceMediumHorizonOAPVol15,2005-01,2026-07,unavailable_same_strategy,Four-asset common returns begin 2006-04 and the 24-month regime warm-up makes 2007-04 the first tradable month.,,,,,,,,,
requested_2005_01_2026_07,ExistingVKOSPIDynamic,2005-01,2026-07,unavailable_same_strategy,Four-asset common returns begin 2006-04 and the 24-month regime warm-up makes 2007-04 the first tradable month.,,,,,,,,,
requested_2005_01_2026_07,RobustVKOSPIDynamic,2005-01,2026-07,unavailable_same_strategy,Four-asset common returns begin 2006-04 and the 24-month regime warm-up makes 2007-04 the first tradable month.,,,,,,,,,
available_full_2007_04_2026_07,ReferenceMediumHorizonOAPVol15,2007-04,2026-07,measured,same reconciled strategy path,232.0,0.1494660961868286,0.1414971828607839,1.0594774864938223,2.0061585732039,-0.1298226382385036,1.1513099580693857,14.777213423842841,0.6120689655172413
available_full_2007_04_2026_07,ExistingVKOSPIDynamic,2007-04,2026-07,measured,same reconciled strategy path,232.0,0.15242514946041696,0.1363803293092498,1.1131525325010423,2.160403620187797,-0.1298226382385037,1.174103003363628,15.530283921613602,0.6120689655172413
available_full_2007_04_2026_07,RobustVKOSPIDynamic,2007-04,2026-07,measured,same reconciled strategy path,232.0,0.15339518887324144,0.13525675806794243,1.1276037585274539,2.1965799114880036,-0.12976559766677565,1.182094419717806,15.784976996879747,0.6120689655172413
early_calibration_2007_04_2012_12,ReferenceMediumHorizonOAPVol15,2007-04,2012-12,measured,same reconciled strategy path,69.0,0.22429903797802364,0.1719865066631632,1.2702407258634143,2.4350515941940647,-0.1298226382385036,1.7277343999584478,3.201497539290536,0.6666666666666666
early_calibration_2007_04_2012_12,ExistingVKOSPIDynamic,2007-04,2012-12,measured,same reconciled strategy path,69.0,0.2256804612141139,0.1716966696515394,1.2787336055225296,2.461077804083014,-0.1298226382385037,1.7383752500816148,3.222324417189848,0.6666666666666666
early_calibration_2007_04_2012_12,RobustVKOSPIDynamic,2007-04,2012-12,measured,same reconciled strategy path,69.0,0.22676289123559745,0.17187087426918773,1.2828214664481647,2.470771276214583,-0.12976559766677565,1.747480806260382,3.238721652254192,0.6666666666666666
validation_2013_01_2017_12,ReferenceMediumHorizonOAPVol15,2013-01,2017-12,measured,same reconciled strategy path,60.0,0.024129287400933563,0.0781751118041021,0.3437709028820261,0.5287938181084261,-0.10675687852074156,0.22602091532908147,1.1266108513469806,0.5166666666666667
validation_2013_01_2017_12,ExistingVKOSPIDynamic,2013-01,2017-12,measured,same reconciled strategy path,60.0,0.026411102331112213,0.077652503555702,0.374283610629821,0.5796362462917396,-0.10675687852074145,0.24739485358763919,1.139217650298324,0.5166666666666667
validation_2013_01_2017_12,RobustVKOSPIDynamic,2013-01,2017-12,measured,same reconciled strategy path,60.0,0.026589830378451307,0.0773910254559415,0.37755029021254083,0.5841984980157711,-0.10641850433030553,0.24986096681006573,1.1402098505333134,0.5166666666666667
locked_2018_01_2026_07,ReferenceMediumHorizonOAPVol15,2018-01,2026-07,measured,same reconciled strategy path,103.0,0.17856949843487446,0.14500117495944875,1.2114625945539084,2.3306117187431514,-0.12557237529490872,1.4220444426212466,4.09699508969706,0.6310679611650486
locked_2018_01_2026_07,ExistingVKOSPIDynamic,2018-01,2026-07,measured,same reconciled strategy path,103.0,0.18298446144639158,0.13389120459522738,1.3289531274434303,2.705242424492421,-0.11289722654519829,1.6208056393053547,4.230614253711762,0.6310679611650486
locked_2018_01_2026_07,RobustVKOSPIDynamic,2018-01,2026-07,measured,same reconciled strategy path,103.0,0.1844077158718871,0.1311874079360173,1.3630158205660197,2.803735957194873,-0.11134481013746944,1.6561860013431442,4.274502150893463,0.6310679611650486
locked_early_2018_01_2021_12,ReferenceMediumHorizonOAPVol15,2018-01,2021-12,measured,same reconciled strategy path,48.0,0.11136427080623568,0.12815542824872392,0.8911390848458896,1.3662126653962705,-0.12557237529490872,0.8868532632650685,1.5255474568302738,0.625
locked_early_2018_01_2021_12,ExistingVKOSPIDynamic,2018-01,2021-12,measured,same reconciled strategy path,48.0,0.12681372419895887,0.11282542080579556,1.1186562480547475,1.9407932580969633,-0.07522592840700881,1.685771473804019,1.6121613739521894,0.625
locked_early_2018_01_2021_12,RobustVKOSPIDynamic,2018-01,2021-12,measured,same reconciled strategy path,48.0,0.13353076667396513,0.10967685394609182,1.202283819962857,2.1577179648603817,-0.07588149305560477,1.759727718801156,1.6509474490851377,0.625
locked_late_2022_01_2026_07,ReferenceMediumHorizonOAPVol15,2022-01,2026-07,measured,same reconciled strategy path,55.0,0.24053398492618538,0.15778387743542635,1.453257540580479,3.402876193438483,-0.11371095708244472,2.115310530292953,2.6855900623436804,0.6363636363636364
locked_late_2022_01_2026_07,ExistingVKOSPIDynamic,2022-01,2026-07,measured,same reconciled strategy path,55.0,0.23428960864858306,0.1497039975873781,1.4901043196801578,3.3587727477788505,-0.11289722654519829,2.075246804710348,2.62418782763693,0.6363636363636364
locked_late_2022_01_2026_07,RobustVKOSPIDynamic,2022-01,2026-07,measured,same reconciled strategy path,55.0,0.23067199482556067,0.1474197589834735,1.4908662467724347,3.329406888037281,-0.11134481013746977,2.071690584776837,2.5891206611465116,0.6363636363636364
requested_2005_01_2026_07,KODEX200ProxyBenchmark,2005-01,2026-07,measured_benchmark_only,KOSPI200 proxy benchmark; not the four-asset strategy and no overlay or costs.,259.0,0.12129740776246378,0.23351108870920348,0.6064401383836162,1.043720478025599,-0.48521249904964625,0.24998821753363942,11.834256867498762,0.5907335907335908
