Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgStress,AvgTransfer
calibration_2007_2017,ExistingDynamicActual,129.0,0.12807384546515466,0.1376298566501574,0.9472005230941841,1.7865369500450174,-0.13001562033708947,0.9850650647445253,3.6528214912922787,0.6046511627906976,0.1194355000696074,0.06540938251680399,0.016352345629200998
calibration_2007_2017,RobustDynamicActual,129.0,0.12869800578224555,0.1377144467464386,0.9507498411645795,1.7948367396300895,-0.12995859241543706,0.9903000901305409,3.674606978686981,0.6124031007751938,0.12242886657615752,0.05442662092208731,0.019049317322730554
calibration_2007_2017,ExistingDynamicReconciled,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.06540938251680396,0.016352345629200966
calibration_2007_2017,RobustDynamicReconciled,129.0,0.12921730977455437,0.13862881616580935,0.9487292185919352,1.7860193940342168,-0.12976559766677598,0.9957747823608106,3.6928223310357464,0.5968992248062015,0.12242886657615752,0.05442662092208731,0.019049317322730554
validation_2013_2017,ExistingDynamicActual,60.0,0.02340704096291213,0.07092718727900933,0.3615768544385605,0.5344405514091937,-0.10572051355882583,0.22140491163891102,1.1226438531575311,0.5333333333333333,0.10994512257979877,0.052972234442006,0.0132430586105015
validation_2013_2017,RobustDynamicActual,60.0,0.023585245915731745,0.0706964962537767,0.3650004440909319,0.5390088070228102,-0.1055717888549349,0.22340481459625533,1.1236216184639427,0.55,0.1096186587628588,0.0476203516481911,0.016667123076866887
validation_2013_2017,ExistingDynamicReconciled,60.0,0.026411102331112213,0.077652503555702,0.374283610629821,0.5796362462917396,-0.10675687852074145,0.24739485358763919,1.139217650298324,0.5166666666666667,0.10994512257979873,0.052972234442005973,0.013243058610501474
validation_2013_2017,RobustDynamicReconciled,60.0,0.026589830378451085,0.0773910254559416,0.37755029021253955,0.5841984980157687,-0.10641850433030564,0.2498609668100634,1.1402098505333118,0.5166666666666667,0.1096186587628588,0.0476203516481911,0.016667123076866887
locked_2018_2026,ExistingDynamicActual,103.0,0.1774467653081795,0.13376505499524116,1.2944448501077281,2.680844500580589,-0.11593679863800643,1.530547396450266,4.0636159973261226,0.5922330097087378,0.16290812316152145,0.11728593405938793,0.029321483514846983
locked_2018_2026,RobustDynamicActual,103.0,0.17886335730420733,0.1310968583252085,1.3275003615511232,2.7867336245696266,-0.11438970143536986,1.5636316474282002,4.105771474138994,0.5922330097087378,0.16299327583695278,0.07482183708320705,0.026187642979122478
locked_2018_2026,ExistingDynamicReconciled,103.0,0.18298446144639158,0.13389120459522738,1.3289531274434303,2.705242424492421,-0.11289722654519829,1.6208056393053547,4.230614253711762,0.6310679611650486,0.16290812316152145,0.11728593405938789,0.02932148351484695
locked_2018_2026,RobustDynamicReconciled,103.0,0.18440771587188687,0.1311874079360174,1.3630158205660192,2.8037359571948715,-0.11134481013746977,1.656186001343137,4.274502150893456,0.6310679611650486,0.16299327583695278,0.07482183708320705,0.026187642979122478
full_2007_2026,ExistingDynamicActual,232.0,0.1497328867004606,0.13577429461286478,1.100058395791066,2.1529693677435096,-0.13001562033708947,1.1516530576268489,14.843663847391959,0.5991379310344828,0.13873584566644856,0.08844078255510633,0.022110195638776583
full_2007_2026,RobustDynamicActual,232.0,0.15070065993488035,0.1346702102983888,1.1143260215784518,2.19117292115781,-0.12995859241543706,1.1596052029644748,15.087096511765077,0.603448275862069,0.14043806551521748,0.06348139361430857,0.022218487765008
full_2007_2026,ExistingDynamicReconciled,232.0,0.15242514946041696,0.1363803293092498,1.1131525325010423,2.160403620187797,-0.1298226382385037,1.174103003363628,15.530283921613602,0.6120689655172413,0.1387358456664485,0.08844078255510632,0.022110195638776555
full_2007_2026,RobustDynamicReconciled,232.0,0.15339518887324122,0.13525675806794255,1.127603758527454,2.196579911488003,-0.12976559766677598,1.1820944197178014,15.784976996879674,0.6120689655172413,0.14043806551521748,0.06348139361430857,0.022218487765008
