Config,mode,level_threshold,shock_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Cal_Months,Cal_CAGR,Cal_Volatility,Cal_Sharpe,Cal_Sortino,Cal_MDD,Cal_Calmar,Cal_FinalMultiple,Cal_PositiveMonths,Validation_Months,Validation_CAGR,Validation_Volatility,Validation_Sharpe,Validation_Sortino,Validation_MDD,Validation_Calmar,Validation_FinalMultiple,Validation_PositiveMonths,Cal_CAGRDelta,Cal_SharpeDelta,Cal_MDDDelta,Validation_CAGRDelta,Validation_SharpeDelta,Validation_MDDDelta,AvgTurnover,AvgStress,Rank_Cal_CAGR,Rank_Cal_Sharpe,Rank_Cal_MDD,Rank_Cal_Calmar,Rank_Validation_CAGR,Rank_Validation_Sharpe,Rank_Validation_MDD,Rank_Validation_Calmar,MultiObjectiveScore,Selected,grid_distance_from_winner,strict_pass
acceleration_lt0.90_st1.00_rt0.35_bs0.00_rb0.20,acceleration,0.9,1.0,0.35,0.0,0.2,0.04,129.0,0.1286980057822455,0.1377144467464386,0.9507498411645796,1.7948367396300895,-0.129958592415437,0.9903000901305408,3.674606978686981,0.6124031007751938,60.0,0.0235852459157317,0.0706964962537767,0.3650004440909319,0.5390088070228102,-0.1055717888549349,0.2234048145962553,1.1236216184639427,0.55,0.0006241603170908,0.0035493180703953,5.702792165240833e-05,0.0001782049528196,0.0034235896523713,0.0001487247038909,0.1224288665761575,0.0544266209220873,0.9962962962962963,0.9962962962962963,0.3888888888888889,0.9839506172839506,0.9938271604938272,0.9925925925925926,0.7703703703703704,0.9938271604938272,0.8895061728395062,True,0,True
acceleration_lt0.80_st1.00_rt0.35_bs0.00_rb0.20,acceleration,0.8,1.0,0.35,0.0,0.2,0.04,129.0,0.1282569348710645,0.1374508592641819,0.9494444213398364,1.7910794766355531,-0.1299585924154371,0.986906155932091,3.6591998105065104,0.6124031007751938,60.0,0.0236708788465569,0.0707692191090399,0.3658790064558374,0.5408081599797852,-0.1055717888549349,0.2242159491972126,1.1240917068780922,0.55,0.0001830894059098,0.0022438982456524,5.702792165229731e-05,0.0002638378836448,0.0043021520172769,0.0001487247038909,0.1239421496516388,0.0702564947907035,0.9839506172839506,0.9901234567901236,0.3833333333333333,0.9530864197530864,0.9950617283950616,0.9950617283950616,0.7703703703703704,0.9950617283950616,0.8832561728395061,False,1,True
acceleration_lt0.90_st1.00_rt0.35_bs0.50_rb0.20,acceleration,0.9,1.0,0.35,0.5,0.2,0.04,129.0,0.1278244855071424,0.1375448935176079,0.9460717340973974,1.7839372311558117,-0.1299240534243965,0.9838400368375528,3.644150711701765,0.6124031007751938,60.0,0.0234834929537592,0.0707861024698588,0.3632215405520226,0.5356278234341597,-0.1055678991337931,0.2224491833828871,1.1230632424056486,0.55,-0.0002493599580122,-0.0011287889967867,9.156691269296412e-05,7.645199084715948e-05,0.0016446861134621,0.0001526144250326,0.1206840256038988,0.0544266209220873,0.9617283950617284,0.9543209876543208,0.4037037037037037,0.8962962962962963,0.9901234567901236,0.9888888888888888,0.7790123456790123,0.9901234567901236,0.8705246913580247,False,1,False
acceleration_lt0.90_st0.50_rt0.35_bs0.00_rb0.20,acceleration,0.9,0.5,0.35,0.0,0.2,0.04,129.0,0.1274779157826773,0.1372267742180948,0.9456782847579532,1.7858324991409693,-0.1288609601943692,0.9892671573329442,3.632130741224504,0.6201550387596899,60.0,0.0227639357061477,0.0703316044042713,0.3551055191891019,0.5225805994768871,-0.1060538918851825,0.2146449819191242,1.1191209569505716,0.5666666666666667,-0.0005959296824773,-0.0015222383362309,0.0011546601427202,-0.0006431052567643,-0.0064713352494586,-0.0003333783263567,0.1301616372779255,0.0804528375753389,0.9148148148148147,0.94320987654321,0.7623456790123457,0.971604938271605,0.9543209876543208,0.965432098765432,0.2253086419753086,0.9419753086419752,0.8348765432098765,False,1,False
exhaustion_adjusted_lt0.90_st1.00_rt0.35_bs0.00_rb0.20,exhaustion_adjusted,0.9,1.0,0.35,0.0,0.2,0.04,129.0,0.1283024807093884,0.1379147975325375,0.9469863716171548,1.7902331918197536,-0.1300156203370894,0.9868235860948138,3.6607880673908753,0.6046511627906976,60.0,0.0221598191042395,0.0709040717186827,0.3444392205181404,0.5088412509674601,-0.1055634949137197,0.2099193392787107,1.1158196998518677,0.5333333333333333,0.0002286352442337,-0.0002141514770293,0.0,-0.0012472218586725,-0.0171376339204201,0.000157018645106,0.1202409272538539,0.0462026309064379,0.9888888888888888,0.9666666666666668,0.3117283950617284,0.9518518518518518,0.8851851851851852,0.8790123456790123,0.7907407407407407,0.8888888888888888,0.8328703703703704,False,1,False
acceleration_lt0.90_st1.00_rt0.35_bs0.00_rb0.15,acceleration,0.9,1.0,0.35,0.0,0.15,0.04,129.0,0.1276280250586154,0.1369961253452387,0.9480863648764404,1.7804493416300595,-0.1299585924154371,0.9820668467278286,3.6373325132822383,0.6124031007751938,60.0,0.0223558549906224,0.0707835513349959,0.3476247320323646,0.5125295243288877,-0.1055717888549349,0.2117597440860017,1.1168901030250895,0.55,-0.0004458204065391,0.0008858417822562,5.702792165229731e-05,-0.0010511859722897,-0.0139521224061959,0.0001487247038909,0.1329619952250451,0.0544266209220873,0.9358024691358025,0.9777777777777776,0.3833333333333333,0.8296296296296296,0.9111111111111112,0.9098765432098764,0.7703703703703704,0.9135802469135802,0.8289351851851852,False,1,False
robust_max_lt0.90_st1.00_rt0.35_bs0.00_rb0.20,robust_max,0.9,1.0,0.35,0.0,0.2,0.04,129.0,0.1297259201034242,0.1384588522240438,0.9529150222873212,1.8147952221192132,-0.1300156203370894,0.9977718043961628,3.710741931930487,0.6124031007751938,60.0,0.0221772579553858,0.070750305574424,0.3452821155788767,0.5088501163816758,-0.1056080048668158,0.2099959939907393,1.115914886911944,0.55,0.0016520746382695,0.0057144991931369,0.0,-0.0012297830075262,-0.0162947388596838,0.0001125086920099,0.1347436038722423,0.0810641565998755,1.0,1.0,0.3117283950617284,1.0,0.8876543209876543,0.8888888888888888,0.5228395061728395,0.891358024691358,0.8128086419753086,False,1,False
robust_mean_lt0.90_st1.00_rt0.35_bs0.00_rb0.20,robust_mean,0.9,1.0,0.35,0.0,0.2,0.04,129.0,0.1282091989685434,0.1379176472539889,0.946363573806627,1.7890851960683756,-0.1300156203370895,0.9861061204502762,3.6575358533484335,0.6046511627906976,60.0,0.021970546754789,0.0708866700708081,0.3418890958280693,0.5049499850618001,-0.1055634949137197,0.2081263676685414,1.1147870060716063,0.5333333333333333,0.0001353535033887,-0.0008369492875571,-1.1102230246251563e-16,-0.001436494208123,-0.0196877586104912,0.000157018645106,0.1203851090433034,0.0467953432515561,0.9814814814814816,0.9567901234567902,0.2024691358024691,0.9407407407407408,0.8481481481481481,0.8481481481481481,0.7907407407407407,0.8506172839506173,0.8023919753086419,False,1,False
confirmed_lt0.90_st1.00_rt0.35_bs0.00_rb0.20,confirmed,0.9,1.0,0.35,0.0,0.2,0.04,129.0,0.1282669607088873,0.1380764133464855,0.9458132169178706,1.7866378181264777,-0.1300156203370895,0.98655038814822,3.659549373996245,0.6046511627906976,60.0,0.021737329362621,0.0711440660309531,0.3376945784699546,0.4977297952291057,-0.1055583195987758,0.2059272016193896,1.1135155942584405,0.5333333333333333,0.0001931152437326,-0.0013873061763135,-1.1102230246251563e-16,-0.001669711600291,-0.0238822759686059,0.00016219396005,0.113680882371268,0.0366569057501135,0.9851851851851852,0.9469135802469136,0.2024691358024691,0.9469135802469136,0.8074074074074075,0.7913580246913581,0.8901234567901235,0.8160493827160494,0.7983024691358024,False,1,False
acceleration_lt0.90_st1.00_rt0.25_bs0.00_rb0.20,acceleration,0.9,1.0,0.25,0.0,0.2,0.04,129.0,0.127467934023858,0.137730757605944,0.9426767954937812,1.7763368263969035,-0.1299748908548934,0.9807119912581098,3.631785080352209,0.6046511627906976,60.0,0.0216141750654301,0.0708875597719206,0.3369590542572943,0.4967925569650092,-0.1055566968327266,0.2047636551159012,1.1128446724288497,0.5333333333333333,-0.0006059114412966,-0.0045237276004029,4.072948219602246e-05,-0.0017928658974819,-0.0246178001812662,0.0001638167260992,0.1142624139694466,0.0544266209220873,0.9135802469135802,0.8358024691358025,0.3753086419753086,0.7765432098765432,0.7845679012345679,0.7734567901234568,0.9111111111111112,0.7919753086419753,0.7702932098765432,False,1,False
acceleration_lt0.70_st1.00_rt0.35_bs0.00_rb0.20,acceleration,0.7,1.0,0.35,0.0,0.2,0.04,129.0,0.1264206716334892,0.1367828861437885,0.941432794437578,1.7679634503320325,-0.1299585924154371,0.9727765535453148,3.595684497374384,0.6124031007751938,60.0,0.0224704763592946,0.0705097942875667,0.3503046779287967,0.5157686003563131,-0.1055717888549349,0.2128454637646721,1.1175163437838738,0.55,-0.0016531738316654,-0.0057677286566062,5.702792165229731e-05,-0.0009365646036174,-0.0112721765097637,0.0001487247038909,0.1209026091862473,0.0867759264290919,0.5604938271604938,0.7641975308641975,0.3833333333333333,0.3395061728395062,0.928395061728395,0.9358024691358025,0.7703703703703704,0.928395061728395,0.7013117283950617,False,1,False
acceleration_lt0.90_st1.00_rt0.15_bs0.00_rb0.20,acceleration,0.9,1.0,0.15,0.0,0.2,0.04,129.0,0.1268057535102611,0.1377170142982486,0.9384664967636284,1.7642779109651474,-0.1299911854974246,0.9754950154891342,3.6089207917201,0.5968992248062015,60.0,0.0214398683208441,0.071130530950061,0.3336454424456913,0.491251384878712,-0.1055753185705353,0.2030765202618832,1.1118956343476074,0.5166666666666667,-0.0012680919548935,-0.0087340263305558,2.4434839664855268e-05,-0.001967172642068,-0.0279314119928692,0.0001451949882904,0.107859136973805,0.0544266209220873,0.737037037037037,0.528395061728395,0.3487654320987654,0.482716049382716,0.7185185185185186,0.6876543209876543,0.7506172839506173,0.7271604938271605,0.6226080246913579,False,1,False
acceleration_lt0.90_st0.00_rt0.35_bs0.00_rb0.20,acceleration,0.9,0.0,0.35,0.0,0.2,0.04,129.0,0.1255081674471134,0.1353467328247794,0.9439620809040838,1.7759860016904003,-0.1267281716637438,0.990373062274839,3.5644948943386168,0.627906976744186,60.0,0.0207674088027143,0.0693606254390393,0.3309012546114867,0.4841620133756084,-0.1066239513057614,0.1947724554228948,1.1082403973699493,0.5666666666666667,-0.0025656780180411,-0.0032384421901002,0.0032874486733456,-0.0026396321601978,-0.0306755998270737,-0.0009034377469355,0.1363135930912812,0.125633309465264,0.2728395061728395,0.8962962962962963,0.9808641975308642,0.9851851851851852,0.4580246913580247,0.5703703703703704,0.1845679012345679,0.408641975308642,0.5945987654320989,False,1,False
acceleration_lt0.90_st1.00_rt0.35_bs0.00_rb0.10,acceleration,0.9,1.0,0.35,0.0,0.1,0.04,129.0,0.1262146019846675,0.1375226504284975,0.9357513615312828,1.7574209494036084,-0.1299585924154371,0.971190897337505,3.5886194321953,0.6124031007751938,60.0,0.0189513161390517,0.0714943780778879,0.2981845666903202,0.4323746291513625,-0.1092449563482352,0.1734754333064265,1.0984168160295924,0.55,-0.0018592434804871,-0.0114491615629014,5.702792165229731e-05,-0.0044557248238603,-0.0633922877482403,-0.0035244427894094,0.1481845425222051,0.0544266209220873,0.4987654320987654,0.3024691358024691,0.3833333333333333,0.2962962962962963,0.1777777777777777,0.174074074074074,0.1641975308641975,0.1703703703703703,0.2709104938271605,False,1,False
