month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,borrow_cost,regime,crash_probability,risk_rank,hedge_strength,gross_exposure,w_KODEX200,w_BOND,w_GLD,w_USO,hard_w_KODEX200,hard_w_BOND,hard_w_GLD,hard_w_USO
2007-04,0.06077067269343256,0.06227067269343256,1.0607706726934325,0.0,1.0,0.0015,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05,0.09135963155786953,0.09135963155786953,1.157682290518098,0.0,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-06,0.013164533736984563,0.013164533736984563,1.1729226380883329,0.0,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-07,0.09846975733429919,0.09846975733429919,1.288420045632797,0.0,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-08,-0.016444792482380732,-0.016444792482380732,1.2672322453522262,-0.01644479248238062,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-09,0.03670801206838781,0.03670801206838781,1.3137498219080659,0.0,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-10,0.03873129978470291,0.03993129978470291,1.3646330601024872,0.0,0.4,0.0012000000000000001,0.0,0.0,Slowdown,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0,0.0
2007-11,-0.020856062189951216,-0.018303427219268146,1.3361721881345263,-0.020856062189951174,0.7293242773380202,0.0021879728320140608,0.0003646621386690101,0.0,Overheating,0.0,0.0,0.3515269125480257,1.0,0.017576345627401287,0.2530993770345785,0.08085118988604592,0.6484730874519743,0.0,0.0,0.0,1.0
2007-12,0.0943944698085773,0.09459296525130138,1.4622994534064515,0.0,0.058869164501538826,0.00017660749350461647,2.188794921946141e-05,0.0,Overheating,0.0,0.0,0.2982686608417733,1.0,0.014913433042088664,0.21475343580607675,0.06860179199360786,0.7017313391582267,0.0,0.0,0.0,1.0
2008-01,-0.026517488721399616,-0.026321926632101162,1.4235229441434372,-0.026517488721399585,0.0571716828905607,0.00017151504867168212,2.404704062677071e-05,0.0,Overheating,0.0,0.0,0.3354890691758229,1.0,0.016774453458791146,0.24155212980659246,0.07716248591043927,0.6645109308241771,0.0,0.0,0.0,1.0
2008-02,0.1105849529156081,0.11127342835692383,1.5809431618958267,0.0,0.20423835351324682,0.0006127150605397404,7.576038077598235e-05,0.0,Overheating,0.0,0.0,0.1528936688517104,1.0,0.0076446834425855205,0.1100834415732315,0.0351655438358934,0.8471063311482896,0.0,0.0,0.0,1.0
2008-03,0.019492803789146265,0.01987540214070015,1.6117601767524545,0.0,0.1128300611038479,0.0003384901833115437,4.410816824234282e-05,0.0,Overheating,0.0,0.0,0.253101400934971,1.0,0.012655070046748552,0.18223300867317913,0.058213322215043335,0.746898599065029,0.0,0.0,0.0,1.0
2008-04,0.07318337894484274,0.07408223408783203,1.7297142325359363,0.0,0.2659046636618536,0.0007977139909855609,0.00010114115200372181,0.0,Overheating,0.0,0.0,0.5112723646803399,1.0,0.025563618234016997,0.36811610256984467,0.11759264387647818,0.4887276353196601,0.0,0.0,0.0,1.0
2008-05,0.142934128707152,0.14455534303700257,1.9769494292758203,0.0,0.47840145980294246,0.0014352043794088275,0.00018600995044173568,0.0,Overheating,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2008-06,0.11266057711698198,0.11374179519365711,2.1996736929091223,0.0,0.31941449827921387,0.0009582434948376416,0.00012297458183749732,0.0,Overheating,0.0,0.0,0.31941449827921387,1.0,0.015970724913960694,0.22997843876103397,0.0734653346042192,0.6805855017207861,0.0,0.0,0.0,1.0
2008-07,-0.08241746185770574,-0.08149140617773336,2.018382170224386,-0.08241746185770571,0.2728764492936582,0.0008186293478809745,0.00010742633209140357,0.0,Overheating,0.0,0.0,0.5628775881201822,1.0,0.028143879406009112,0.40527186344653116,0.1294618452676419,0.4371224118798178,0.0,0.0,0.0,1.0
2008-08,-0.011426590945529619,-0.010303724559417282,1.9953189427934817,-0.09290230217981854,0.3327811535728201,0.0009983434607184604,0.00012452292539387688,0.0,Overheating,0.0,0.0,0.9368121821475476,1.0,0.04684060910737738,0.6745047711462342,0.21546680189393594,0.06318781785245242,0.0,0.0,0.0,1.0
2008-09,0.040334068944236266,0.04054428827069501,2.0757982745978545,-0.05631536109678137,0.06245471577484421,0.00018736414732453262,2.2855179134218015e-05,0.0,Stagflation,0.0,0.0,1.0,1.0,0.05,0.72,0.23,0.0,0.0,0.0,1.0,0.0
2008-10,-0.02701397126323532,-0.02692311820681282,2.0197227196595944,-0.08180803081366961,0.02595801612071477,7.78740483621443e-05,1.2979008060357387e-05,0.0,Stagflation,0.0,0.0,1.0,1.0,0.05,0.72,0.23,0.0,0.0,0.0,1.0,0.0
