year,existing,robust,delta
2018,0.07604034080049704,0.07897020798921828,0.0029298671887212357
2019,0.09746867880841847,0.09635708781893593,-0.001111590989482547
2020,0.2141628957246513,0.24006367085478697,0.025900775130135667
2021,0.12437418736733497,0.12545408831005966,0.0010799009427246986
2022,0.1311717288672205,0.13142488949346887,0.000253160626248361
2023,0.21706075581710826,0.22336525178301048,0.006304495965902213
2024,0.0410166878200684,0.03488856027026044,-0.00612812754980796
2025,0.6541434411735705,0.6294925350760598,-0.02465090609751064
2026,0.10693789868098236,0.10923728684379319,0.0022993881628108337
