Period,HardFraction,Leverage,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
locked_test,0.35,1.15,103.0,0.15741126473604639,0.12946062706218048,1.1997143263560825,2.16206637155445,-0.13091993477024477,1.2023475646569182,3.5070029707997,0.6407766990291263
full,0.35,1.15,232.0,0.13286446294673615,0.12578930900063348,1.0588741479834418,1.9368596313105952,-0.13091993477024477,1.0148528043487333,11.154251566466742,0.6077586206896551
locked_test,0.35,1.2,103.0,0.16234985388323642,0.13508895374889335,1.1870537678586168,2.1338545681558045,-0.13733275093562713,1.18216414349215,3.637542651567957,0.6310679611650486
full,0.35,1.2,232.0,0.13667159548251373,0.13125793259071614,1.0458527616644528,1.907631199896704,-0.13733275093562725,0.9951857408476189,11.901731382291583,0.5991379310344828
locked_test,0.35,1.25,103.0,0.16726963513829474,0.1407164571345438,1.1753986671145311,2.1079818578457266,-0.1437439707903041,1.16366365989924,3.771835102942708,0.6310679611650486
full,0.35,1.25,232.0,0.14045629063679987,0.13672616422968237,1.0338683495148961,1.8808546288676955,-0.1437439707903041,0.9771282222452283,12.691719681304821,0.5991379310344828
locked_test,0.375,1.15,103.0,0.16143388522791913,0.13424200548523077,1.1878392897557442,2.1214771425547676,-0.13572641884561987,1.1894065031770997,3.6130119214954752,0.6407766990291263
full,0.375,1.15,232.0,0.13592543246724276,0.13030686630912822,1.0474815715086994,1.9055598124519,-0.13572641884561987,1.0014662850704787,11.751588650414552,0.6120689655172413
locked_test,0.375,1.2,103.0,0.16653086885996848,0.1400781516139571,1.175632060947974,2.094611865407098,-0.14223414956589242,1.1708219816987073,3.751394083519332,0.6407766990291263
full,0.375,1.2,232.0,0.13984676299149545,0.13597182602002555,1.034914996868268,1.8775888482515015,-0.14223414956589253,0.9832150958002454,12.561218142811716,0.6120689655172413
locked_test,0.375,1.25,103.0,0.17160729248201512,0.14591324948094286,1.1643961971149683,2.0699707082977605,-0.14874225824158338,1.1537225164572595,3.8938516513760386,0.6407766990291263
full,0.375,1.25,232.0,0.14374372018049741,0.14163631004262614,1.0233493362148998,1.8519591508366395,-0.14874225824158327,0.9663946337767216,13.418026213855436,0.6077586206896551
locked_test,0.4,1.15,103.0,0.16542397787254703,0.13914841565319325,1.1757323582231802,2.0830894818542096,-0.14221898078630224,1.163163854486572,3.7209505389811826,0.6310679611650486
full,0.4,1.15,232.0,0.13895825765231185,0.13491925254964088,1.0361329148743343,1.8753595845802487,-0.14221898078630213,0.9770725179159465,12.373264060322336,0.6120689655172413
locked_test,0.4,1.2,103.0,0.17067632952001244,0.1451976742823581,1.1639611286518534,2.057461707455003,-0.14900559725469997,1.1454356927832046,3.867374116121918,0.6310679611650486
full,0.4,1.2,232.0,0.14299110165789664,0.14078463062395463,1.0240004238574387,1.8485605013005593,-0.1490055972547002,0.9596357740406034,13.248348824559365,0.6077586206896551
locked_test,0.4,1.25,103.0,0.17590597833069976,0.15124589236527702,1.153125713576599,2.0339496138237645,-0.15579197126019528,1.1291081106927594,4.018199257241533,0.6310679611650486
full,0.4,1.25,232.0,0.14699747911559724,0.1466495238939106,1.0128339632830516,1.8239998610227388,-0.15579197126019528,0.9435497729859906,14.175583978386351,0.603448275862069
locked_test,0.425,1.15,103.0,0.16938152283744135,0.1441670537923137,1.1635544810903666,2.0468695976137896,-0.14870677057825876,1.1390303358669351,3.830812990515115,0.6310679611650486
full,0.425,1.15,232.0,0.14196266176970207,0.13961708769189005,1.0249156771209371,1.846352879221452,-0.14870677057825887,0.954648273361517,13.019775071799403,0.6077586206896551
locked_test,0.425,1.2,103.0,0.1747858103014719,0.15043427864279743,1.1521986100500554,2.0223844737097143,-0.15577150093443126,1.1220653922763721,3.9854629398129537,0.6310679611650486
full,0.425,1.2,232.0,0.14610427695531825,0.14568655881750506,1.0131967764135485,1.8206498906109525,-0.15577150093443137,0.9379397134833904,13.963680672049911,0.6077586206896551
locked_test,0.425,1.25,103.0,0.18016515763332985,0.1567005448196767,1.1417448891800719,1.9999176711745066,-0.16283529247393014,1.1064257317692614,4.144851125757699,0.6310679611650486
full,0.425,1.25,232.0,0.15021703427597544,0.1517555590611664,1.0024097486011105,1.7970883475425579,-0.16283529247393036,0.9225090703234676,14.964976443118013,0.6077586206896551
locked_test,0.45,1.15,103.0,0.17330609387015672,0.14928659702608316,1.1514276325829305,2.0127109642360876,-0.15518946749093787,1.116738762443893,3.9425803290870056,0.6310679611650486
full,0.45,1.15,232.0,0.1449385674914947,0.14439201031851,1.0138967221401534,1.8185616365324724,-0.15518946749093787,0.9339459038994269,13.69164326329836,0.6077586206896551
locked_test,0.45,1.2,103.0,0.17885863261161816,0.1557761524129176,1.1404657208107398,1.9892838160534982,-0.1625314978152168,1.100455204165803,4.105630235267198,0.6310679611650486
full,0.45,1.2,232.0,0.14918588367510632,0.15066891576562236,1.002569588153383,1.793885125961033,-0.1625314978152167,0.9178890595391971,14.707723722849632,0.6077586206896551
locked_test,0.45,1.25,103.0,0.18438422682773847,0.1622648878683979,1.1303761054162118,1.9677905979476824,-0.16987181365980397,1.0854315548605256,4.2737745839183345,0.6310679611650486
full,0.45,1.25,232.0,0.15340193182335615,0.15694541810968396,0.9921425388947561,1.7712606640717292,-0.1698718136598042,0.9030452346294975,15.786761206091864,0.6077586206896551
