Strategy,source,vkospi_weight,max_shift,target_vol,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
ReferenceMediumHorizonOAPVol15,reference,0.0,0.2,0.15,129.0,0.12674535653262087,0.13891698863826166,0.9311508121065298,1.7431392293582424,-0.12982263823850382,0.9762962627501875,3.606841868325373,0.5968992248062015,0.10532996300336918
VKOSPI_direct_level_s0.100_v0.145,direct_level,1.0,0.1,0.145,129.0,0.1197665165552031,0.13507728078888026,0.9074872998972984,1.6777132065001397,-0.12982263823850393,0.9225395368654717,3.3738081097754904,0.5968992248062015,0.09983098179478951
VKOSPI_direct_level_s0.100_v0.150,direct_level,1.0,0.1,0.15,129.0,0.12165764589541195,0.137872376585738,0.9041331520985224,1.6708598679796738,-0.12982263823850382,0.9371065597350475,3.435567232114247,0.5968992248062015,0.09985528343435557
VKOSPI_direct_level_s0.100_v0.155,direct_level,1.0,0.1,0.155,129.0,0.12312087283160467,0.14057138052851711,0.8987360698903895,1.6586351549641547,-0.12982263823850382,0.9483775287743961,3.484053853249419,0.5968992248062015,0.10018711543647585
VKOSPI_direct_level_s0.150_v0.145,direct_level,1.0,0.15,0.145,129.0,0.11895622496254621,0.13482456644289562,0.9035097337095965,1.6720085958977056,-0.12982263823850393,0.9162980091654395,3.347655732054718,0.5968992248062015,0.102699942688518
VKOSPI_direct_level_s0.150_v0.150,direct_level,1.0,0.15,0.15,129.0,0.12083874118276383,0.13761160558574015,0.9002207616229134,1.665365047436539,-0.12982263823850382,0.9307986867495698,3.4086992665763423,0.5968992248062015,0.10303097388333683
VKOSPI_direct_level_s0.150_v0.155,direct_level,1.0,0.15,0.155,129.0,0.12227352286217097,0.14029797646377437,0.8947749651464008,1.6530787990875482,-0.12982263823850382,0.9418505471868167,3.455900321121686,0.5968992248062015,0.10337496328859623
VKOSPI_direct_level_s0.200_v0.145,direct_level,1.0,0.2,0.145,129.0,0.11811123596301165,0.1346121825069007,0.8990517135016223,1.665463968834315,-0.12982263823850393,0.9097892136964845,3.320579453018031,0.5968992248062015,0.10592869148955315
VKOSPI_direct_level_s0.200_v0.150,direct_level,1.0,0.2,0.15,129.0,0.11999391767045964,0.13739442904332289,0.8958790146916213,1.6591480853396865,-0.12982263823850382,0.9242911659984344,3.3811807654792196,0.5968992248062015,0.10628336131019672
VKOSPI_direct_level_s0.200_v0.155,direct_level,1.0,0.2,0.155,129.0,0.12142779888650601,0.14006417312509367,0.8905930068539265,1.6471804106275276,-0.12982263823850382,0.9353360903313702,3.4280067124686973,0.5968992248062015,0.10647425443160047
VKOSPI_direct_level_s0.250_v0.145,direct_level,1.0,0.25,0.145,129.0,0.11732014920924216,0.13446410061449754,0.8945750913278424,1.6586016833094297,-0.12982263823850393,0.9036956173522465,3.2954105668121616,0.5968992248062015,0.10914433075272557
VKOSPI_direct_level_s0.250_v0.150,direct_level,1.0,0.25,0.15,129.0,0.11924327198987994,0.1372391194293535,0.8917997162109689,1.65313186216024,-0.12982263823850382,0.9185090798325329,3.3568991459762545,0.5968992248062015,0.10939159354749584
VKOSPI_direct_level_s0.250_v0.155,direct_level,1.0,0.25,0.155,129.0,0.1206383593371938,0.1398990314129995,0.8863904294681532,1.6409417532310169,-0.12982263823850382,0.9292551821013134,3.4021539008927846,0.5968992248062015,0.10975904846772887
Blend_direct_level_w0.25_s0.150_v0.145,direct_level,0.25,0.15,0.145,129.0,0.12338554285508252,0.13606146859768964,0.9257432387072585,1.7297204087818403,-0.12982263823850393,0.9504162334800539,3.4928901555348504,0.5968992248062015,0.10087360686137863
Blend_direct_level_w0.25_s0.150_v0.150,direct_level,0.25,0.15,0.15,129.0,0.12566775945083952,0.1390737613575003,0.9233070856219985,1.7266838853061026,-0.12982263823850382,0.9679957298354147,3.5699320174360265,0.5968992248062015,0.10126468907235285
Blend_direct_level_w0.25_s0.150_v0.155,direct_level,0.25,0.15,0.155,129.0,0.12749552098977257,0.14201209926704808,0.9185492349475614,1.717827132622399,-0.12982263823850382,0.9820746421401791,3.6327404691564644,0.5968992248062015,0.10162424752864209
Blend_direct_level_w0.25_s0.200_v0.145,direct_level,0.25,0.2,0.145,129.0,0.12349948689810564,0.13587014078851534,0.927605463079603,1.7355350720796077,-0.12982263823850393,0.951293923569927,3.4967005588110798,0.5968992248062015,0.10328431613813395
Blend_direct_level_w0.25_s0.200_v0.150,direct_level,0.25,0.2,0.15,129.0,0.12574046741642375,0.1388659668141216,0.9249469194734159,1.731959067289613,-0.12982263823850382,0.9685557859748583,3.5724115906197937,0.5968992248062015,0.10363127261283901
Blend_direct_level_w0.25_s0.200_v0.155,direct_level,0.25,0.2,0.155,129.0,0.12757054466241224,0.14180084277252394,0.9201762263088045,1.7231070832823712,-0.12982263823850382,0.9826525357468539,3.6353398338372864,0.5968992248062015,0.1040042954213571
Blend_direct_level_w0.25_s0.250_v0.145,direct_level,0.25,0.25,0.145,129.0,0.12371629786302596,0.13571014501694692,0.9299711738625035,1.7423559697203963,-0.12982263823850393,0.9529639787148703,3.503961348870063,0.5968992248062015,0.1057066928304536
Blend_direct_level_w0.25_s0.250_v0.150,direct_level,0.25,0.25,0.15,129.0,0.12592012755762894,0.138690693112886,0.9270990597259002,1.7382732122177436,-0.12982263823850382,0.9699396751304239,3.5785452736059886,0.5968992248062015,0.10600923393509985
Blend_direct_level_w0.25_s0.250_v0.155,direct_level,0.25,0.25,0.155,129.0,0.12775437994530714,0.14162246339200613,0.9223155553756849,1.7294329094120378,-0.12982263823850382,0.9840685852540065,3.641716355370164,0.5968992248062015,0.10644230238248936
Blend_direct_level_w0.50_s0.150_v0.145,direct_level,0.5,0.15,0.145,129.0,0.12212931421057438,0.1357044048631779,0.9195264596934185,1.7136999912549478,-0.12982263823850393,0.9407397343613081,3.451129531828612,0.5968992248062015,0.1009665488840347
Blend_direct_level_w0.50_s0.150_v0.150,direct_level,0.5,0.15,0.15,129.0,0.12426617205724133,0.1386602368054186,0.9166064051170075,1.7092780747902168,-0.12982263823850382,0.9571995589008566,3.522437465146064,0.5968992248062015,0.10118459635716916
Blend_direct_level_w0.50_s0.150_v0.155,direct_level,0.5,0.15,0.155,129.0,0.12607061906804473,0.14157728616169812,0.911949747502496,1.7005960155538657,-0.12982263823850382,0.9710988836664523,3.5836904752708993,0.5968992248062015,0.10168334768203999
Blend_direct_level_w0.50_s0.200_v0.145,direct_level,0.5,0.2,0.145,129.0,0.12223081165976923,0.1357201848986661,0.9200812369810527,1.719837946676511,-0.12982263823850393,0.9415215506190272,3.454486702756164,0.5968992248062015,0.10329565658664301
Blend_direct_level_w0.50_s0.200_v0.150,direct_level,0.5,0.2,0.15,129.0,0.12437948377342423,0.13868332663295518,0.9171814516328681,1.715581037135521,-0.12982263823850382,0.9580723782929161,3.5262557719861354,0.5968992248062015,0.10355218076381313
Blend_direct_level_w0.50_s0.200_v0.155,direct_level,0.5,0.2,0.155,129.0,0.1261909120700886,0.14160712193413671,0.9125175395602431,1.7069847356837238,-0.12982263823850382,0.9720254786245893,3.587808034677027,0.5968992248062015,0.1042164590668939
Blend_direct_level_w0.50_s0.250_v0.145,direct_level,0.5,0.25,0.145,129.0,0.12228509761127948,0.13566004820213307,0.9207727053626034,1.7250356293569225,-0.12982263823850393,0.9419397053588078,3.45628350248391,0.5968992248062015,0.10579282372653055
Blend_direct_level_w0.50_s0.250_v0.150,direct_level,0.5,0.25,0.15,129.0,0.12443929640008045,0.13862513247007005,0.9178780681249702,1.7208790794050992,-0.12982263823850382,0.9585331039989085,3.5282728136331234,0.5968992248062015,0.10622180937888868
Blend_direct_level_w0.50_s0.250_v0.155,direct_level,0.5,0.25,0.155,129.0,0.12625201885999449,0.14155037873868428,0.9131944630274974,1.7123140518360795,-0.12982263823850382,0.9724961730330147,3.589901327548631,0.5968992248062015,0.1068993746130327
Blend_direct_level_w0.75_s0.150_v0.145,direct_level,0.75,0.15,0.145,129.0,0.12062012940514988,0.13527843041394977,0.9119848903865396,1.6940509109569264,-0.12982263823850393,0.9291147602743395,3.4015589959950625,0.5968992248062015,0.1014300968306741
Blend_direct_level_w0.75_s0.150_v0.150,direct_level,0.75,0.15,0.15,129.0,0.12273200271144002,0.13821253627083627,0.9091870094277886,1.6898361110673767,-0.12982263823850382,0.9453821334763108,3.4711077679185145,0.5968992248062015,0.10175790215523833
Blend_direct_level_w0.75_s0.150_v0.155,direct_level,0.75,0.15,0.155,129.0,0.12450078510465312,0.14110160670749397,0.9046023668754974,1.6812147896408967,-0.12982263823850382,0.9590067402260487,3.530347467884639,0.5968992248062015,0.10242784158364404
Blend_direct_level_w0.75_s0.200_v0.145,direct_level,0.75,0.2,0.145,129.0,0.12030035875994027,0.13519315531063367,0.9103262293493137,1.6946649548019435,-0.12982263823850393,0.9266516255734244,3.391139119140494,0.5968992248062015,0.10398809998663879
Blend_direct_level_w0.75_s0.200_v0.150,direct_level,0.75,0.2,0.15,129.0,0.12241293298317357,0.13812812994354903,0.9075614200006484,1.6906184133760447,-0.12982263823850382,0.9429243978102071,3.4605180483349685,0.5968992248062015,0.10453970187654069
Blend_direct_level_w0.75_s0.200_v0.155,direct_level,0.75,0.2,0.155,129.0,0.12416686367359508,0.1410177174060853,0.9029087951889977,1.6819581117003046,-0.12982263823850382,0.9564346046140411,3.519094117641716,0.5968992248062015,0.10520453909438313
Blend_direct_level_w0.75_s0.250_v0.145,direct_level,0.75,0.25,0.145,129.0,0.12006225257530523,0.13514537717688901,0.9089946325826117,1.6960658726466702,-0.12982263823850393,0.9248175372521132,3.3833991302760538,0.5968992248062015,0.10685916914300636
Blend_direct_level_w0.75_s0.250_v0.150,direct_level,0.75,0.25,0.15,129.0,0.12218577977963085,0.13808392961161112,0.906308307927219,1.6922949817194446,-0.12982263823850382,0.9411746782957615,3.4529968445893053,0.5968992248062015,0.10742766111723363
Blend_direct_level_w0.75_s0.250_v0.155,direct_level,0.75,0.25,0.155,129.0,0.12394209395807643,0.14096957540145283,0.9017156475575016,1.6838004568746368,-0.12982263823850382,0.954703244671211,3.511537575896516,0.5968992248062015,0.10801521944626427
VKOSPI_loss3_domestic_raw_s0.100_v0.145,loss3_domestic_raw,1.0,0.1,0.145,129.0,0.12281269715305809,0.13583459057685307,0.9232729977125435,1.7276268826237093,-0.13543290036933875,0.9068158240585255,3.4737906170726407,0.5891472868217055,0.10353269200852441
VKOSPI_loss3_domestic_raw_s0.100_v0.150,loss3_domestic_raw,1.0,0.1,0.15,129.0,0.12504156101171282,0.13882210950702806,0.9206862392196401,1.723778056805887,-0.13693069122905632,0.9131741020904109,3.5486411818113632,0.5891472868217055,0.10430841556526266
VKOSPI_loss3_domestic_raw_s0.100_v0.155,loss3_domestic_raw,1.0,0.1,0.155,129.0,0.1270116734494211,0.14169164081701707,0.917249963373366,1.7186811643528228,-0.13736693998767124,0.9246160208622284,3.616016930530898,0.5891472868217055,0.1050309560364591
VKOSPI_loss3_domestic_raw_s0.150_v0.145,loss3_domestic_raw,1.0,0.15,0.145,129.0,0.12316769451789211,0.1355677662719292,0.9271613151258897,1.740261241820661,-0.13702129271139396,0.8988945592369977,3.485615569540744,0.5891472868217055,0.10807725735516932
VKOSPI_loss3_domestic_raw_s0.150_v0.150,loss3_domestic_raw,1.0,0.15,0.15,129.0,0.1253623839546052,0.1385644937542346,0.9242015852644843,1.735327448293514,-0.13856864470106411,0.904695172743091,3.5595347770579746,0.5891472868217055,0.10900924260689765
VKOSPI_loss3_domestic_raw_s0.150_v0.155,loss3_domestic_raw,1.0,0.15,0.155,129.0,0.12735142972670155,0.14143465796347723,0.9207946717362381,1.7302326835706006,-0.13905614420801804,0.9158274195794824,3.62775282909571,0.5891472868217055,0.10984470946455449
VKOSPI_loss3_domestic_raw_s0.200_v0.145,loss3_domestic_raw,1.0,0.2,0.145,129.0,0.12335920341190332,0.13510846797033374,0.9311208361597847,1.7539371084516693,-0.13841051494371137,0.8912560108751195,3.4920098741631254,0.5891472868217055,0.11263393648365325
VKOSPI_loss3_domestic_raw_s0.200_v0.150,loss3_domestic_raw,1.0,0.2,0.15,129.0,0.1256056615606702,0.13804089379990298,0.9287575616800956,1.7506220320692856,-0.14000085263760564,0.8971778328079358,3.567815517619154,0.5891472868217055,0.11351439450045371
VKOSPI_loss3_domestic_raw_s0.200_v0.155,loss3_domestic_raw,1.0,0.2,0.155,129.0,0.12770942700991794,0.14081950833205412,0.9264720388854197,1.7483401354936012,-0.14053278658337864,0.9087518301940697,3.6401561788998644,0.5891472868217055,0.11401722719320893
VKOSPI_loss3_domestic_raw_s0.250_v0.145,loss3_domestic_raw,1.0,0.25,0.145,129.0,0.12360213710096257,0.13449597036749936,0.9363652593225565,1.7717077776212893,-0.1397651163085748,0.8843561280918807,3.5001365124003487,0.5891472868217055,0.11700934675436937
VKOSPI_loss3_domestic_raw_s0.250_v0.150,loss3_domestic_raw,1.0,0.25,0.15,129.0,0.1259341311517781,0.13739333411364213,0.9346256300951022,1.7697583821509641,-0.1413973686030936,0.8906398499202538,3.579023764024335,0.5891472868217055,0.11772348306561056
VKOSPI_loss3_domestic_raw_s0.250_v0.155,loss3_domestic_raw,1.0,0.25,0.155,129.0,0.1280269840506334,0.14017621997602223,0.9321030629008706,1.7667875122486685,-0.14197262978970127,0.9017722939997306,3.651190593185113,0.5891472868217055,0.11831526715742491
Blend_loss3_domestic_raw_w0.25_s0.150_v0.145,loss3_domestic_raw,0.25,0.15,0.145,129.0,0.1238223851893614,0.13596271998707576,0.9292020635461157,1.7383177967496548,-0.12841832893344562,0.9642111544181039,3.507519091135173,0.5968992248062015,0.10230340799974179
Blend_loss3_domestic_raw_w0.25_s0.150_v0.150,loss3_domestic_raw,0.25,0.15,0.15,129.0,0.1261335806177064,0.13898308286464622,0.9268235585029482,1.7352919168147931,-0.12967813949056284,0.9726664888409016,3.585845077568965,0.5968992248062015,0.10275514848201041
Blend_loss3_domestic_raw_w0.25_s0.150_v0.155,loss3_domestic_raw,0.25,0.15,0.155,129.0,0.12812302042032786,0.1419243920647864,0.9229872945673088,1.7285530869382044,-0.13094564389368746,0.9784443117813737,3.65453361700795,0.5968992248062015,0.10328103081798055
Blend_loss3_domestic_raw_w0.25_s0.200_v0.145,loss3_domestic_raw,0.25,0.2,0.145,129.0,0.12408241972433864,0.13571857060357928,0.9323470732942192,1.7472211608944366,-0.1281843102189525,0.9680000579820777,3.516253465385378,0.5968992248062015,0.10477943094642155
Blend_loss3_domestic_raw_w0.25_s0.200_v0.150,loss3_domestic_raw,0.25,0.2,0.15,129.0,0.12645012964400149,0.13872218338448822,0.9303481571730626,1.7450882623012032,-0.1294322754417676,0.976959797797051,3.596695490521757,0.5968992248062015,0.10519631341567778
Blend_loss3_domestic_raw_w0.25_s0.200_v0.155,loss3_domestic_raw,0.25,0.2,0.155,129.0,0.1283936819027387,0.1416546476150827,0.9261820278303355,1.7375193908756306,-0.13068768296690403,0.9824466926638659,3.663970279830664,0.5968992248062015,0.10583487862918685
Blend_loss3_domestic_raw_w0.25_s0.250_v0.145,loss3_domestic_raw,0.25,0.25,0.145,129.0,0.12438811226859947,0.13547542605375007,0.9358005593111938,1.7566727576888497,-0.12796355906192958,0.9720588672311019,3.5265466833387973,0.5968992248062015,0.10719839941166492
Blend_loss3_domestic_raw_w0.25_s0.250_v0.150,loss3_domestic_raw,0.25,0.25,0.15,129.0,0.12676546762758756,0.13847325535195468,0.9338097018136035,1.7545285979405245,-0.12920102306141135,0.9811491010201512,3.6075339913484554,0.5968992248062015,0.10770163949597461
Blend_loss3_domestic_raw_w0.25_s0.250_v0.155,loss3_domestic_raw,0.25,0.25,0.155,129.0,0.12866100498055433,0.14139738953015688,0.9292986511560914,1.74611427068054,-0.13044573619985933,0.9863182096149884,3.6733122364020487,0.5968992248062015,0.10843075758092104
Blend_loss3_domestic_raw_w0.50_s0.150_v0.145,loss3_domestic_raw,0.5,0.15,0.145,129.0,0.12361511789659874,0.1358321644369008,0.9285882273483536,1.7394810568856887,-0.13182483559195968,0.93772252657479,3.5005712294394002,0.5968992248062015,0.10326668163404298
Blend_loss3_domestic_raw_w0.50_s0.150_v0.150,loss3_domestic_raw,0.5,0.15,0.15,129.0,0.12594802537507888,0.13883392776168943,0.9264670577949706,1.7368626544551116,-0.13319871292410113,0.9455648827991768,3.579498574686616,0.5968992248062015,0.10391749285635718
Blend_loss3_domestic_raw_w0.50_s0.150_v0.155,loss3_domestic_raw,0.5,0.15,0.155,129.0,0.12781713530874628,0.1417653829079996,0.921927989788897,1.7282654046121566,-0.13458004494215103,0.9497480504163022,3.643895413039723,0.5968992248062015,0.1047206231883166
Blend_loss3_domestic_raw_w0.50_s0.200_v0.145,loss3_domestic_raw,0.5,0.2,0.145,129.0,0.1238797827422573,0.13551999202928444,0.9321647642899916,1.75038753432451,-0.13259738557384926,0.9342550926335064,3.5094453397570695,0.5891472868217055,0.10603653406797882
Blend_loss3_domestic_raw_w0.50_s0.200_v0.150,loss3_domestic_raw,0.5,0.2,0.15,129.0,0.1261234333581822,0.13850855861868677,0.9294490450058178,1.746265959443869,-0.13399381592812443,0.9412630910208277,3.5854977495907714,0.5891472868217055,0.10679602430405903
Blend_loss3_domestic_raw_w0.50_s0.200_v0.155,loss3_domestic_raw,0.5,0.2,0.155,129.0,0.12797856510412897,0.14144126528288442,0.9247338472620984,1.737137754244864,-0.13539742511427377,0.945206786584875,3.649506182685364,0.5891472868217055,0.10767217610488752
Blend_loss3_domestic_raw_w0.50_s0.250_v0.145,loss3_domestic_raw,0.5,0.25,0.145,129.0,0.12413475958347164,0.13519736848086952,0.9357564795641634,1.7611404034619826,-0.1327869728157126,0.9348414001104696,3.5180139069524814,0.5891472868217055,0.10885944510189197
Blend_loss3_domestic_raw_w0.50_s0.250_v0.150,loss3_domestic_raw,0.5,0.25,0.15,129.0,0.12635134784693736,0.13818361558771833,0.9327845062392904,1.7563240519378043,-0.13418648579781323,0.9416100816390591,3.5933063355055053,0.5891472868217055,0.10969086033327335
Blend_loss3_domestic_raw_w0.50_s0.250_v0.155,loss3_domestic_raw,0.5,0.25,0.155,129.0,0.1281965431365557,0.14111677804058553,0.9279145950638283,1.7467229652412233,-0.1355929500544596,0.945451390246077,3.657094817013073,0.5891472868217055,0.11057698656545277
Blend_loss3_domestic_raw_w0.75_s0.150_v0.145,loss3_domestic_raw,0.75,0.15,0.145,129.0,0.12341533952542583,0.13570248674134935,0.9280187192392135,1.7403950645823179,-0.13488692249922318,0.9149540758937292,3.4938862223121983,0.5891472868217055,0.1053473052110278
Blend_loss3_domestic_raw_w0.75_s0.150_v0.150,loss3_domestic_raw,0.75,0.15,0.15,129.0,0.12563254748507546,0.13869393073956915,0.9252185245160962,1.7359947639089084,-0.13636309932834523,0.9213089765770728,3.56873173838309,0.5891472868217055,0.10617917411977902
Blend_loss3_domestic_raw_w0.75_s0.150_v0.155,loss3_domestic_raw,0.75,0.15,0.155,129.0,0.1274778977208566,0.14163230705413574,0.9205131158016174,1.726823282018637,-0.13784650266035037,0.9247815161111363,3.632130115730163,0.5891472868217055,0.10708408011250205
Blend_loss3_domestic_raw_w0.75_s0.200_v0.145,loss3_domestic_raw,0.75,0.2,0.145,129.0,0.12360084865682097,0.1353179558860248,0.9314979027478989,1.7516921903775258,-0.1355963516694365,0.9115352082491218,3.500093366050748,0.5891472868217055,0.10860229940193215
Blend_loss3_domestic_raw_w0.75_s0.200_v0.150,loss3_domestic_raw,0.75,0.2,0.15,129.0,0.1257991241560661,0.13831135124559257,0.9284703611920989,1.7466058050861561,-0.13709284667477728,0.9176198992679533,3.574413110528461,0.5891472868217055,0.10951542340659473
Blend_loss3_domestic_raw_w0.75_s0.200_v0.155,loss3_domestic_raw,0.75,0.2,0.155,129.0,0.1276616590682813,0.14124004985339578,0.9238375006391274,1.7375635897557655,-0.1385962967601284,0.9211044021560553,3.6384989667091165,0.5891472868217055,0.11050173578888402
Blend_loss3_domestic_raw_w0.75_s0.250_v0.145,loss3_domestic_raw,0.75,0.25,0.145,129.0,0.12378610854265615,0.13493301888284143,0.934998537468963,1.763295401993401,-0.13629014809738849,0.9082542668763016,3.5063021498533824,0.5891472868217055,0.11234196227656107
Blend_loss3_domestic_raw_w0.75_s0.250_v0.150,loss3_domestic_raw,0.75,0.25,0.15,129.0,0.12612714978999717,0.1378782414206132,0.9330814189779492,1.7611693902980738,-0.13780651548970113,0.9152480878120977,3.58562495485346,0.5891472868217055,0.1131846286797449
