Strategy,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
loss3_base_stress,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss3_base_stress,0.025,129.0,0.1220050083369828,0.13755798778930817,0.908148397671673,1.6814135868997493,-0.1399488414503457,0.8717829106164525,3.447021971564992,0.5968992248062015,0.07630632659771157
loss3_base_stress,0.05,129.0,0.12262466305621067,0.13771403868430027,0.9112944491510767,1.693022563775339,-0.1399488414503457,0.876210633724455,3.4675419574982222,0.5968992248062015,0.07726430770967427
loss3_base_stress,0.075,129.0,0.12321931602806324,0.13792671070453105,0.9139450097621168,1.7037222148308935,-0.1399488414503457,0.8804597076409657,3.48733811765931,0.6046511627906976,0.07861747178814484
loss3_base_stress,0.1,129.0,0.12380053722871387,0.1381969157413631,0.9161693191213168,1.7138437324622142,-0.1399488414503457,0.8846128052631197,3.506786130628094,0.5968992248062015,0.08010398346493328
loss3_base_stress,0.15,129.0,0.12372450771669596,0.1381502166285072,0.9159120682059954,1.7186196992936447,-0.1399488414503457,0.8840695388006754,3.504236557454263,0.5968992248062015,0.08263339904207745
loss3_base_stress,0.2,129.0,0.12365597289646879,0.13782119494647557,0.9173194392336299,1.7251152380813197,-0.1399488414503457,0.8835798254202936,3.501939752140172,0.5968992248062015,0.08503600516413767
loss3_structure_domestic,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss3_structure_domestic,0.025,129.0,0.12252320989960208,0.13754552353649865,0.9116101592614401,1.688214329212537,-0.1399488414503457,0.8754857034173714,3.464174750235724,0.5968992248062015,0.077773657935092
loss3_structure_domestic,0.05,129.0,0.12364595297654102,0.13768512373420447,0.9181299776132426,1.7067073366515966,-0.1399488414503457,0.8835082284008118,3.5016040692997947,0.5968992248062015,0.08059936262507181
