target,horizon,max_shift,events,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
oap_path_loss_2m_4,2,0.05,10,129.0,0.12475851852754483,0.1388091745583854,0.9189929290996035,1.7083674998252727,-0.12982263823850382,0.9609920135681156,3.5390555437318483,0.5891472868217055
oap_path_loss_2m_4,2,0.1,10,129.0,0.1258124989421685,0.13919576896689548,0.9235709266274692,1.7232150564144977,-0.12982263823850382,0.9691106316221361,3.574869635250046,0.5968992248062015
oap_path_loss_2m_4,2,0.15,10,129.0,0.12638881461929485,0.13910613031645466,0.9277776056391343,1.7348769139091103,-0.12982263823850382,0.9735498857071406,3.594591460980784,0.5968992248062015
oap_path_loss_2m_4,2,0.2,10,129.0,0.1267311381441807,0.13891481154209806,0.9310714400099133,1.7429853151289647,-0.12982263823850382,0.976186741108715,3.606352615381147,0.5968992248062015
oap_path_loss_2m_5,2,0.05,9,129.0,0.12475923192626648,0.138810284264734,0.9189913143634306,1.7083549988711773,-0.12982263823850382,0.9609975087477802,3.5390796744485873,0.5891472868217055
oap_path_loss_2m_5,2,0.1,9,129.0,0.12581406828083175,0.13919801637316623,0.9235683930273602,1.7231908259549822,-0.12982263823850382,0.9691227199503701,3.574923205322403,0.5968992248062015
oap_path_loss_2m_5,2,0.15,9,129.0,0.1263953502658477,0.13910862399356352,0.9278056217465935,1.7349165507147006,-0.12982263823850382,0.9736002285952648,3.5948156790020325,0.5968992248062015
oap_path_loss_2m_5,2,0.2,9,129.0,0.12674535653262087,0.13891698863826166,0.9311508121065298,1.7431392293582424,-0.12982263823850382,0.9762962627501875,3.606841868325373,0.5968992248062015
oap_path_loss_3m_5,3,0.05,13,129.0,0.12455516370710429,0.13874321611481807,0.9180419897297661,1.7079218617289331,-0.12982263823850382,0.9594256086390542,3.53218314621184,0.5891472868217055
oap_path_loss_3m_5,3,0.1,13,129.0,0.12541362818253354,0.1390684584956115,0.9217049603158687,1.722425943188108,-0.12982263823850382,0.9660382032302389,3.5612775895900404,0.5968992248062015
oap_path_loss_3m_5,3,0.15,13,129.0,0.12585458766297264,0.13893604025794787,0.9252792389684067,1.734544281378397,-0.12982263823850382,0.9694348333282115,3.5763066045395924,0.5968992248062015
oap_path_loss_3m_5,3,0.2,13,129.0,0.12620825738996544,0.13873290550959438,0.9287104111947903,1.7450750801589914,-0.12982263823850382,0.9721590864460926,3.588402108704772,0.5968992248062015
oap_path_loss_3m_6,3,0.05,9,129.0,0.1239178557619196,0.13894900105534969,0.9127743933577894,1.6938227302234101,-0.12982263823850382,0.9545165422864367,3.5107235907387535,0.5891472868217055
oap_path_loss_3m_6,3,0.1,9,129.0,0.1241488062375129,0.13945915969510536,0.9113808325075073,1.6950026271712544,-0.12982263823850382,0.9562955114918614,3.5184864996220426,0.5968992248062015
oap_path_loss_3m_6,3,0.15,9,129.0,0.12396408174600859,0.1394876182484888,0.9100176470717806,1.6943909860800983,-0.12982263823850382,0.9548726125736856,3.512276134235817,0.5968992248062015
oap_path_loss_3m_6,3,0.2,9,129.0,0.12410765822249137,0.1393255170585853,0.9118345468219138,1.7006583508140363,-0.12982263823850382,0.9559785558701005,3.5171022578720077,0.5968992248062015
