Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths
calibration_2007_2017,Existing_VKOSPI_Dynamic,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0
calibration_2007_2017,Previous_CJM_LightGBM,129.0,0.12881357004982186,0.1384200371333637,0.9473517587729272,1.7835632007151192,-0.1298226382385037,0.9922273325948896,3.6786535011595114,0.5968992248062015,0.12830018244134472,0.003046617986182356,30
calibration_2007_2017,LegacySignalMonth,129.0,0.1285868876015417,0.1385615066212281,0.9450614749265872,1.777619284653465,-0.1298226382385037,0.9904812392219933,3.670719945029205,0.5968992248062015,0.12001889624805584,0.0002041182339388421,21
calibration_2007_2017,RobustMultiscale,129.0,0.1283619878918354,0.13857847121390005,0.9435097415585357,1.7744611521518636,-0.1298226382385037,0.9887488779577497,3.66286412098258,0.5968992248062015,0.12085561057544664,0.000425920785187669,6
calibration_2007_2017,PanicInteraction,129.0,0.12847462175224744,0.1385898378135145,0.9441734290221497,1.7749666038303236,-0.1298226382385037,0.9896164759509836,3.666796552276978,0.5968992248062015,0.12165209895752756,0.0005541497219800484,7
locked_2018_2026,Existing_VKOSPI_Dynamic,103.0,0.18298446144639158,0.13389120459522738,1.3289531274434303,2.705242424492421,-0.11289722654519829,1.6208056393053547,4.230614253711762,0.6310679611650486,0.16290812316152145,0.0,0
locked_2018_2026,Previous_CJM_LightGBM,103.0,0.18222886467792088,0.1335674899293347,1.3270020963793738,2.7031432590162923,-0.11210087794674384,1.6255792819436525,4.207476623387747,0.6310679611650486,0.1745608572399758,0.0035702207401736943,47
locked_2018_2026,LegacySignalMonth,103.0,0.18286748547292642,0.13380087132288868,1.3290137167227027,2.7048614741152024,-0.11289722654519829,1.6197695113414996,4.227024916921137,0.6310679611650486,0.16717113634164021,0.0011189628263934752,28
locked_2018_2026,RobustMultiscale,103.0,0.18318513373950518,0.13384679595562263,1.3306353739957761,2.709616064603664,-0.11289722654519829,1.622583116921541,4.236778033689175,0.6310679611650486,0.16404247113852008,0.0002835869942496625,3
locked_2018_2026,PanicInteraction,103.0,0.18287792503897582,0.13390488198010364,1.3281485083499982,2.7035111033536987,-0.1128972265451984,1.61986198098286,4.227345139294455,0.6310679611650486,0.16346254060071663,0.00014702166493247464,4
full_2007_2026,Existing_VKOSPI_Dynamic,232.0,0.15242514946041696,0.1363803293092498,1.1131525325010423,2.160403620187797,-0.1298226382385037,1.174103003363628,15.530283921613602,0.6120689655172413,0.1387358456664485,0.0,0
full_2007_2026,Previous_CJM_LightGBM,232.0,0.15222356983201424,0.13615546413137627,1.1134664948753905,2.1625869856675037,-0.1298226382385037,1.1725502724136345,15.477848611672135,0.6120689655172413,0.14883832685625423,0.003279079553687131,77
full_2007_2026,LegacySignalMonth,232.0,0.15237116419309427,0.13634162967486702,1.113083397116787,2.1600291668510607,-0.1298226382385037,1.1736871647390614,15.51622467067781,0.6120689655172413,0.14095286491029374,0.0006102776866234422,49
full_2007_2026,RobustMultiscale,232.0,0.15238083469516694,0.13637448967314328,1.1129091151033659,2.1600341732903767,-0.1298226382385037,1.1737616548449774,15.518742248167213,0.6120689655172413,0.14002908746336287,0.0003627294900729506,9
full_2007_2026,PanicInteraction,232.0,0.15231193861461367,0.13640350401586504,1.1122587632961218,2.1578839918531294,-0.1298226382385037,1.173230960957624,15.500814582049728,0.6120689655172413,0.14021449330773653,0.00037339890354944457,11
