Model,signal_month,fit_end_month,max_label_month,train_rows,feature_count
LegacySignalMonth_BOND,2012-04,2012-03,2012-04,60,33
LegacySignalMonth_BOND,2012-05,2012-04,2012-05,61,33
LegacySignalMonth_BOND,2012-06,2012-05,2012-06,62,33
LegacySignalMonth_BOND,2012-07,2012-06,2012-07,63,33
LegacySignalMonth_BOND,2012-08,2012-07,2012-08,64,33
LegacySignalMonth_BOND,2012-09,2012-08,2012-09,65,33
LegacySignalMonth_BOND,2012-10,2012-09,2012-10,66,33
LegacySignalMonth_BOND,2012-11,2012-10,2012-11,67,33
LegacySignalMonth_BOND,2012-12,2012-11,2012-12,68,33
LegacySignalMonth_BOND,2013-01,2012-12,2013-01,69,33
LegacySignalMonth_BOND,2013-02,2013-01,2013-02,70,33
LegacySignalMonth_BOND,2013-03,2013-02,2013-03,71,33
LegacySignalMonth_BOND,2013-04,2013-03,2013-04,72,33
LegacySignalMonth_BOND,2013-05,2013-04,2013-05,73,33
LegacySignalMonth_BOND,2013-06,2013-05,2013-06,74,33
LegacySignalMonth_BOND,2013-07,2013-06,2013-07,75,33
LegacySignalMonth_BOND,2013-08,2013-07,2013-08,76,33
LegacySignalMonth_BOND,2013-09,2013-08,2013-09,77,33
LegacySignalMonth_BOND,2013-10,2013-09,2013-10,78,33
LegacySignalMonth_BOND,2013-11,2013-10,2013-11,79,33
LegacySignalMonth_BOND,2013-12,2013-11,2013-12,80,33
LegacySignalMonth_BOND,2014-01,2013-12,2014-01,81,33
LegacySignalMonth_BOND,2014-02,2014-01,2014-02,82,33
LegacySignalMonth_BOND,2014-03,2014-02,2014-03,83,33
LegacySignalMonth_BOND,2014-04,2014-03,2014-04,84,33
LegacySignalMonth_BOND,2014-05,2014-04,2014-05,85,33
LegacySignalMonth_BOND,2014-06,2014-05,2014-06,86,33
LegacySignalMonth_BOND,2014-07,2014-06,2014-07,87,33
LegacySignalMonth_BOND,2014-08,2014-07,2014-08,88,33
LegacySignalMonth_BOND,2014-09,2014-08,2014-09,89,33
LegacySignalMonth_BOND,2014-10,2014-09,2014-10,90,33
LegacySignalMonth_BOND,2014-11,2014-10,2014-11,91,33
LegacySignalMonth_BOND,2014-12,2014-11,2014-12,92,33
LegacySignalMonth_BOND,2015-01,2014-12,2015-01,93,33
LegacySignalMonth_BOND,2015-02,2015-01,2015-02,94,33
LegacySignalMonth_BOND,2015-03,2015-02,2015-03,95,33
LegacySignalMonth_BOND,2015-04,2015-03,2015-04,96,33
LegacySignalMonth_BOND,2015-05,2015-04,2015-05,97,33
LegacySignalMonth_BOND,2015-06,2015-05,2015-06,98,33
LegacySignalMonth_BOND,2015-07,2015-06,2015-07,99,33
LegacySignalMonth_BOND,2015-08,2015-07,2015-08,100,33
LegacySignalMonth_BOND,2015-09,2015-08,2015-09,101,33
LegacySignalMonth_BOND,2015-10,2015-09,2015-10,102,33
LegacySignalMonth_BOND,2015-11,2015-10,2015-11,103,33
LegacySignalMonth_BOND,2015-12,2015-11,2015-12,104,33
LegacySignalMonth_BOND,2016-01,2015-12,2016-01,105,33
LegacySignalMonth_BOND,2016-02,2016-01,2016-02,106,33
LegacySignalMonth_BOND,2016-03,2016-02,2016-03,107,33
LegacySignalMonth_BOND,2016-04,2016-03,2016-04,108,33
LegacySignalMonth_BOND,2016-05,2016-04,2016-05,109,33
LegacySignalMonth_BOND,2016-06,2016-05,2016-06,110,33
LegacySignalMonth_BOND,2016-07,2016-06,2016-07,111,33
LegacySignalMonth_BOND,2016-08,2016-07,2016-08,112,33
LegacySignalMonth_BOND,2016-09,2016-08,2016-09,113,33
LegacySignalMonth_BOND,2016-10,2016-09,2016-10,114,33
LegacySignalMonth_BOND,2016-11,2016-10,2016-11,115,33
LegacySignalMonth_BOND,2016-12,2016-11,2016-12,116,33
LegacySignalMonth_BOND,2017-01,2016-12,2017-01,117,33
LegacySignalMonth_BOND,2017-02,2017-01,2017-02,118,33
LegacySignalMonth_BOND,2017-03,2017-02,2017-03,119,33
LegacySignalMonth_BOND,2017-04,2017-03,2017-04,120,33
LegacySignalMonth_BOND,2017-05,2017-04,2017-05,121,33
LegacySignalMonth_BOND,2017-06,2017-05,2017-06,122,33
LegacySignalMonth_BOND,2017-07,2017-06,2017-07,123,33
