Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
calibration_2007_2017,Current_NoHysteresis_LevCap1.5,129.0,0.11593203736838031,0.13961717239449623,0.8574574650742124,1.5664416190220234,-0.12958799769553853,0.8946201764823752,3.2516647945301034,0.5968992248062015,0.14562619795707665
calibration_2007_2017,Hysteresis_Hard40_LevCap1.0,129.0,0.10547880839571344,0.11291182930546514,0.947093638971604,1.770940400744272,-0.11168978163312282,0.9443908552188677,2.9387797164106835,0.6124031007751938,0.07006179425163796
calibration_2007_2017,Hysteresis_Hard40_LevCap1.1,129.0,0.10878102047448213,0.1197978540745915,0.9242777195746703,1.717605148945344,-0.11172964508919492,0.9736092904227981,3.0345351370037186,0.6124031007751938,0.07731630475605165
calibration_2007_2017,Hysteresis_Hard40_LevCap1.2,129.0,0.11306807381642603,0.12581808361134905,0.9167449489245018,1.6942625744741617,-0.11172964508919503,1.0119791728163328,3.1630681923403983,0.6046511627906976,0.08592472412348379
calibration_2007_2017,Hysteresis_Hard40_LevCap1.3,129.0,0.11652086731200328,0.13118257745707843,0.9081603528218564,1.6815063845538833,-0.11200195710111904,1.0403467075740866,3.270156791151143,0.5968992248062015,0.09315740757002594
validation_2013_2017,Current_NoHysteresis_LevCap1.5,60.0,0.030518417586614444,0.08053529297963194,0.41330431530126605,0.6584376214315012,-0.1066314522892039,0.2862046509864926,1.162194430361526,0.5166666666666667,0.13412918689577422
validation_2013_2017,Hysteresis_Hard40_LevCap1.0,60.0,0.027732426971312396,0.05322252078508704,0.5407383953804231,0.854688968395149,-0.06795935832768485,0.40807370248543,1.146569270426189,0.55,0.04212886769534625
validation_2013_2017,Hysteresis_Hard40_LevCap1.1,60.0,0.026309167916843235,0.058368430282050084,0.4741198804759105,0.739481942993986,-0.07556459021750983,0.3481679426979394,1.1386520756433658,0.55,0.046423960497791815
validation_2013_2017,Hysteresis_Hard40_LevCap1.2,60.0,0.027571649698546308,0.06287590893492602,0.46400117470791397,0.7241878203527619,-0.0833204530211703,0.33091094321751735,1.1456727111276008,0.5333333333333333,0.05803543952284358
validation_2013_2017,Hysteresis_Hard40_LevCap1.3,60.0,0.0267726543907969,0.06683985646365741,0.42861254001881655,0.6657404981775172,-0.09112529773274514,0.2938004599920925,1.1412255044720372,0.5166666666666667,0.06237086863023554
locked_2018_2026,Current_NoHysteresis_LevCap1.5,103.0,0.20907823332988906,0.13357225120050709,1.4969186464577038,3.581010224776775,-0.09760421330851343,2.1421025408915666,5.101919757045714,0.6213592233009708,0.158863824661938
locked_2018_2026,Hysteresis_Hard40_LevCap1.0,103.0,0.16196732662286917,0.10977207906885697,1.4286603795837556,3.4187403830492347,-0.09685119514265073,1.6723317289405653,3.6272802802377204,0.6310679611650486,0.0733242322382583
locked_2018_2026,Hysteresis_Hard40_LevCap1.1,103.0,0.17056964697215138,0.11851479360050778,1.394305110806149,3.2793329359453005,-0.1049193285985297,1.625721868892532,3.8643501379714347,0.6310679611650486,0.08395318491374114
locked_2018_2026,Hysteresis_Hard40_LevCap1.2,103.0,0.1727431365267551,0.12024757741865783,1.3919104260395307,3.0875707915275084,-0.11216420749545408,1.5400914461394133,3.9263730275885105,0.6310679611650486,0.09244395891278638
locked_2018_2026,Hysteresis_Hard40_LevCap1.3,103.0,0.18084845462541055,0.125399530060204,1.3952657059033846,3.1017278753437707,-0.11216420749545386,1.6123544102314504,4.165494715190193,0.6310679611650486,0.10258945431409948
locked_early_2018_2021,Current_NoHysteresis_LevCap1.5,48.0,0.15723152826689812,0.10400395434280212,1.4628800516317353,3.1313816210861805,-0.04871840802972072,3.227353573847874,1.7934159553747533,0.6041666666666666,0.18027203578108242
locked_early_2018_2021,Hysteresis_Hard40_LevCap1.0,48.0,0.11687383518443051,0.07753957507576788,1.4698620244197638,2.8608346931196937,-0.04376515605750608,2.6704768293493997,1.5560246320989228,0.625,0.06861814819460961
locked_early_2018_2021,Hysteresis_Hard40_LevCap1.1,48.0,0.1229502214720164,0.08371172278112492,1.432668579336742,2.79388871053427,-0.04412567171504855,2.786364868641436,1.5901643784538526,0.625,0.07443819169323453
locked_early_2018_2021,Hysteresis_Hard40_LevCap1.2,48.0,0.12870146930252213,0.08990403797211859,1.3971567276334662,2.7241311261019994,-0.04899377262786808,2.6268944479959404,1.6229919344294044,0.625,0.08021871641321072
locked_early_2018_2021,Hysteresis_Hard40_LevCap1.3,48.0,0.13559088706873745,0.09556945759116213,1.3839432914060301,2.732714326402696,-0.05385539153774643,2.5176845473995644,1.6629821777885243,0.625,0.09488242505593199
locked_late_2022_2026,Current_NoHysteresis_LevCap1.5,55.0,0.2562209175152752,0.15481951691948617,1.560943067746565,3.9316549346111294,-0.09760421330851332,2.6251009954395776,2.8448056022673307,0.6363636363636364,0.14018029495795742
locked_late_2022_2026,Hysteresis_Hard40_LevCap1.0,55.0,0.20280693385098414,0.13142745368070502,1.4778293534449478,3.842013699454965,-0.09685119514265084,2.0940054849325556,2.3311200898824316,0.6363636363636364,0.07743136013089714
locked_late_2022_2026,Hysteresis_Hard40_LevCap1.1,55.0,0.2137756628058025,0.14193931445216293,1.4428214935560353,3.6506175122240356,-0.10491932859852982,2.0375241212589885,2.4301576556059046,0.6363636363636364,0.09225717899709233
