Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
bridge_2007_04_2010_05,EarlyStart_BalancedLogisticMedium,38.0,0.28330685564203417,0.19428818210593643,1.3907910782314312,2.6796963394001407,-0.12594393544651428,2.24946802430474,2.203162996694602,0.6842105263157895,0.14793410979509042
bridge_2007_04_2010_05,Legacy2010_BalancedLogisticMedium,38.0,0.28283901488263674,0.19420430107988468,1.3893989186865705,2.675858245491251,-0.12594393544651405,2.2457533495350632,2.2006205901861393,0.6842105263157895,0.14789932354670052
bridge_2007_04_2010_05,EarlyStart_BalancedLogistic_RobustVKOSPI,38.0,0.2936054272715607,0.19394144492499088,1.4349061191707795,2.8080825529412046,-0.12594393544651417,2.3312391043731435,2.2596393292275865,0.6842105263157895,0.16880748122373265
bridge_2007_04_2010_05,Legacy2010_BalancedLogistic_RobustVKOSPI,38.0,0.2931712900469834,0.19387662449115686,1.4335579188395173,2.8045064971813636,-0.12594393544651417,2.327792037048797,2.257238790217486,0.6842105263157895,0.1687787824779808
calibration_2007_2017,EarlyStart_BalancedLogisticMedium,129.0,0.11300403334445175,0.13990669703638645,0.8370878379987996,1.5145240712358634,-0.12978717681455065,0.8706871982115777,3.161112376280172,0.5968992248062015,0.1291089049669866
calibration_2007_2017,Legacy2010_BalancedLogisticMedium,129.0,0.1128844931335784,0.13986255737510103,0.8365368799591557,1.5130497272411871,-0.12978717681455054,0.8697661502790531,3.1574645151407594,0.5968992248062015,0.1290986578550578
calibration_2007_2017,EarlyStart_BalancedLogistic_RobustVKOSPI,129.0,0.11604238199387451,0.13965313460630727,0.8579841957156853,1.5678076017286855,-0.12958799769553864,0.8954716799198568,3.2551228904217977,0.5968992248062015,0.14563465185117414
calibration_2007_2017,Legacy2010_BalancedLogistic_RobustVKOSPI,129.0,0.11593203736838031,0.13961717239449623,0.8574574650742124,1.5664416190220234,-0.12958799769553853,0.8946201764823752,3.2516647945301034,0.5968992248062015,0.14562619795707665
validation_2013_2017,EarlyStart_BalancedLogisticMedium,60.0,0.028254515910439704,0.08133055492145044,0.3829343502905954,0.6067049802071255,-0.10696952654205438,0.26413612197611835,1.1494845216008516,0.5166666666666667,0.1202741111084605
validation_2013_2017,Legacy2010_BalancedLogisticMedium,60.0,0.02825451591043948,0.0813305549214503,0.3829343502905948,0.6067049802071246,-0.10696952654205416,0.2641361219761168,1.1494845216008505,0.5166666666666667,0.12027411110846047
validation_2013_2017,EarlyStart_BalancedLogistic_RobustVKOSPI,60.0,0.030518417586614,0.08053529297963209,0.41330431530126505,0.6584376214314995,-0.10663145228920401,0.2862046509864882,1.1621944303615235,0.5166666666666667,0.13412918689577424
validation_2013_2017,Legacy2010_BalancedLogistic_RobustVKOSPI,60.0,0.030518417586614444,0.08053529297963194,0.41330431530126605,0.6584376214315012,-0.1066314522892039,0.2862046509864926,1.162194430361526,0.5166666666666667,0.13412918689577422
locked_2018_2026,EarlyStart_BalancedLogisticMedium,103.0,0.20987675377732629,0.15158239944701896,1.3394173191634449,3.00011393777884,-0.12672341031269074,1.6561798112870716,5.130913814655735,0.6116504854368932,0.13695229980540113
locked_2018_2026,Legacy2010_BalancedLogisticMedium,103.0,0.20987675377732629,0.15158239944701882,1.3394173191634455,3.0001139377788415,-0.12672341031269063,1.656179811287073,5.130913814655732,0.6116504854368932,0.13695229980540105
locked_2018_2026,EarlyStart_BalancedLogistic_RobustVKOSPI,103.0,0.20907823332988862,0.13357225120050722,1.4969186464577038,3.5810102247767723,-0.09760421330851354,2.1421025408915595,5.101919757045701,0.6213592233009708,0.15886382466193807
locked_2018_2026,Legacy2010_BalancedLogistic_RobustVKOSPI,103.0,0.20907823332988906,0.13357225120050709,1.4969186464577038,3.581010224776775,-0.09760421330851343,2.1421025408915666,5.101919757045714,0.6213592233009708,0.158863824661938
full_2007_2026,EarlyStart_BalancedLogisticMedium,232.0,0.15501599734689764,0.14541126876558338,1.0677217745674565,2.1210433195738774,-0.12978717681455065,1.1943860799776527,16.219395161135154,0.603448275862069,0.13259110181335168
full_2007_2026,Legacy2010_BalancedLogisticMedium,232.0,0.1549470182730519,0.1453891310079465,1.0674483362855283,2.120177300851086,-0.12978717681455054,1.1938546016333462,16.200678300020964,0.603448275862069,0.13258540406577055
full_2007_2026,EarlyStart_BalancedLogistic_RobustVKOSPI,232.0,0.1564291168472658,0.13717721740613728,1.1327947719975777,2.283275468740109,-0.12958799769553864,1.2071265829323885,16.607375786254675,0.6077586206896551,0.15150794840078052
full_2007_2026,Legacy2010_BalancedLogistic_RobustVKOSPI,232.0,0.15636553973863587,0.13715819260316825,1.1325286822772858,2.282422546924721,-0.12958799769553853,1.2066359733870573,16.58973285850312,0.6077586206896551,0.1515032477441487
