method,max_shift,target_vol,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
minimum_consensus,0.1,0.145,129.0,0.12466220775099823,0.1359381517288266,0.9349002353296751,1.7518013144721223,-0.12909154393719136,0.9656884095495195,3.5357992006603585,0.5968992248062015
minimum_consensus,0.1,0.15,129.0,0.12696604885775398,0.13896811246667248,0.9322863087368551,1.7480065697114884,-0.13038427811873865,0.9737834245792139,3.614443586170703,0.5968992248062015
minimum_consensus,0.1,0.155,129.0,0.12905948883974605,0.14187879490762534,0.9291511210868516,1.7436131746382795,-0.1306081539215238,0.9881426615775591,3.687277886014123,0.5968992248062015
minimum_consensus,0.15,0.145,129.0,0.12510505669803096,0.13585646819916555,0.9382888659119284,1.763893927230663,-0.12909154393719147,0.9691189126911357,3.5507947850813855,0.5891472868217055
minimum_consensus,0.15,0.15,129.0,0.12745889038400948,0.13889153028984025,0.9358847514414317,1.760280875887703,-0.13038427811873843,0.9775633398678263,3.631471931602645,0.5891472868217055
minimum_consensus,0.15,0.155,129.0,0.12963411284880766,0.1417959199397738,0.9332169429895482,1.756844566455628,-0.13060815392152392,0.9925422644492662,3.7075015136247154,0.5891472868217055
minimum_consensus,0.2,0.145,129.0,0.12559305243123964,0.1356103140494449,0.9429704506390453,1.7775093323670323,-0.12909154393719113,0.9728991427381667,3.567385896154452,0.5891472868217055
minimum_consensus,0.2,0.15,129.0,0.12813303565132683,0.13859723495758766,0.9419288580532125,1.7772951759360798,-0.13038427811873843,0.9827337889207667,3.654882406771504,0.5891472868217055
minimum_consensus,0.2,0.155,129.0,0.13032996828588828,0.14145027312538136,0.9395446083407198,1.7747087504626218,-0.1306081539215238,0.9978700745146227,3.732126477379035,0.5891472868217055
median_committee,0.1,0.145,129.0,0.12399678432656613,0.13603663058276508,0.9299246770159927,1.7415209991425085,-0.12979987021713846,0.9552920516725902,3.5133748574746004,0.5891472868217055
median_committee,0.1,0.15,129.0,0.12617432912411886,0.1390519700434594,0.9266993239764552,1.736310739625544,-0.13109155299358377,0.9624901547264026,3.587240155224818,0.5891472868217055
median_committee,0.1,0.155,129.0,0.12825907725894892,0.14196305153934052,0.9236335734288963,1.7320081189561216,-0.13131524671395445,0.9767264690774041,3.6592745050197273,0.5891472868217055
median_committee,0.15,0.145,129.0,0.12404866387891134,0.136000747488337,0.9304570799638893,1.7474291300228058,-0.13020652030817625,0.9527070041140003,3.515118517568509,0.5968992248062015
median_committee,0.15,0.15,129.0,0.12625087908146226,0.13902309467956495,0.9273364683050412,1.7421792370899913,-0.13149759947299267,0.9601002572476011,3.5898622728110876,0.5968992248062015
median_committee,0.15,0.155,129.0,0.12838082183350896,0.14193287251036432,0.9245464624140128,1.738439059747084,-0.13172118865985571,0.9746406264600861,3.663521411528046,0.5968992248062015
median_committee,0.2,0.145,129.0,0.12410069562242954,0.13581292361792002,0.9318935659207823,1.7542402549413032,-0.1306131690609328,0.9501392280324727,3.516868081060143,0.5968992248062015
median_committee,0.2,0.15,129.0,0.126469172692786,0.13878877646745147,0.9300710281776018,1.752210563649642,-0.1319036446161055,0.9587996833663236,3.5973491814190117,0.5968992248062015
median_committee,0.2,0.155,129.0,0.12860991601054694,0.14164942575021905,0.9275537014973914,1.749244306072803,-0.13212712926980508,0.9733800826620856,3.6715251971009297,0.5968992248062015
mean_committee,0.1,0.145,129.0,0.12413214437593934,0.13600132414758462,0.9310258855676242,1.7439163957153074,-0.1302065203081768,0.953348143258414,3.5179259259568774,0.5891472868217055
mean_committee,0.1,0.15,129.0,0.12631605340570218,0.13901543037118957,0.9278216499531647,1.738760130557214,-0.13149759947299244,0.9605958885328969,3.5920961030552117,0.5891472868217055
mean_committee,0.1,0.155,129.0,0.12837380090739758,0.1419173591953444,0.9246104806919875,1.7340902776816218,-0.13172118865985583,0.9745873250422739,3.663276373927376,0.5891472868217055
mean_committee,0.15,0.145,129.0,0.12424120895288926,0.13594610338143312,0.9320501290788559,1.7509528488728625,-0.13081649293493758,0.9497365826393268,3.5215967784099287,0.5968992248062015
mean_committee,0.15,0.15,129.0,0.12645581707459952,0.13896662430221307,0.9289806416411859,1.7458224513823337,-0.1321066666860342,0.9572250988296862,3.596890711715968,0.5968992248062015
mean_committee,0.15,0.155,129.0,0.1285571543549855,0.14186328844051763,0.9260449948276501,1.7416959860658414,-0.1323300990732813,0.9714883859022395,3.6696804766797726,0.5968992248062015
mean_committee,0.2,0.145,129.0,0.12436417381245701,0.1357342923662724,0.934100292856452,1.7590541773103097,-0.13142646254497203,0.9462643321918642,3.5257396473175513,0.5968992248062015
mean_committee,0.2,0.15,129.0,0.12674582693521308,0.13870811685046455,0.932321180937734,1.7571494000235337,-0.1327157308868272,0.9550173599487997,3.606858055847678,0.5968992248062015
mean_committee,0.2,0.155,129.0,0.12882946300541054,0.14154732173625992,0.929511460247842,1.753435740770177,-0.13293900647523382,0.969087000280923,3.6792103144642896,0.5968992248062015
maximum_union,0.1,0.145,129.0,0.12355970303311592,0.13601696113838724,0.927151340983971,1.7359439752693608,-0.1318331072729363,0.9372433494820706,3.4987157691523234,0.5891472868217055
maximum_union,0.1,0.15,129.0,0.12573273172012867,0.13903084162196463,0.9239693842866309,1.7308038459574981,-0.13312177201112185,0.9444941260970005,3.572147704505451,0.5891472868217055
maximum_union,0.1,0.155,129.0,0.12765654373504698,0.14190438114458256,0.9201549623719224,1.7246456301262976,-0.13334494306739952,0.9573407194791231,3.6383215411296117,0.5891472868217055
maximum_union,0.15,0.145,129.0,0.1233611848957199,0.13597701768431703,0.9260512606382416,1.7386087803214907,-0.13325635321860785,0.9257433654464875,3.4920760896449723,0.5968992248062015
maximum_union,0.15,0.15,129.0,0.12550173717216917,0.1389881488461071,0.9226987707781699,1.7327939956298306,-0.13454290535968938,0.9328008551372561,3.564275979471238,0.5968992248062015
maximum_union,0.15,0.155,129.0,0.12736527631724437,0.14184151737179843,0.9186391325610298,1.7259804409070898,-0.13476571055624176,0.9450866677550818,3.628231851347477,0.5968992248062015
maximum_union,0.2,0.145,129.0,0.12312324854320811,0.1357926097425345,0.9255419120259349,1.7416462769625727,-0.1346795826173549,0.9141938677744488,3.484133078755543,0.5968992248062015
maximum_union,0.2,0.15,129.0,0.12527759379883285,0.13872865959190592,0.9227080066631742,1.737221078431532,-0.13596402218589299,0.9214025282920109,3.556652768737862,0.5968992248062015
maximum_union,0.2,0.155,129.0,0.12711166615705616,0.14153118147737653,0.9187300293640196,1.7307876374220723,-0.13618646152697345,0.9333649228552728,3.619467308611463,0.5968992248062015
