Experiment,Period,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgStress,AvgTransfer
LevelOnly,calibration_2007_2017,129.0,0.12984552272036165,0.1399160451652536,0.9451654277296565,1.7966420909161291,-0.1298226382385036,1.0001762749715193,3.7149672651121817,0.5968992248062015,0.12660124142444462,0.06015713742866574,0.021054998100033008
LevelOnly,locked_2018_2026,103.0,0.18108182609344148,0.13304241191255814,1.3243766867337528,2.6963525846488325,-0.11394343716577038,1.5892255894474638,4.172566053510946,0.6310679611650486,0.17897666124763928,0.1069110567820852,0.037418869873729825
ShockOnly,calibration_2007_2017,129.0,0.12796566360359285,0.13826925828006634,0.9427976173906388,1.7650559705507651,-0.12982263823850382,0.9856960645684967,3.6490574809695495,0.5968992248062015,0.12565640023482538,0.033433549074446595,0.011701742176056308
ShockOnly,locked_2018_2026,103.0,0.17939980278566647,0.13734332165972354,1.2765386105976584,2.51487522549232,-0.11201898098829266,1.6015125401329613,4.121835792865603,0.6504854368932039,0.1764534048891174,0.042726864262659814,0.014954402491930939
AccelerationOnly,calibration_2007_2017,129.0,0.12085799244477657,0.13663982385395504,0.905781523291332,1.676944985836442,-0.12964308383427803,0.9322363281582272,3.4093286996904832,0.5968992248062015,0.19944734874154946,0.0746480950982588,0.026126833284390583
AccelerationOnly,locked_2018_2026,103.0,0.1715788288619191,0.13982536857453598,1.208503138333507,2.2448198079323833,-0.12019792828370002,1.427469102936168,3.893039749690726,0.6407766990291263,0.18065530315379907,0.06841204751376809,0.023944216629818826
LevelShockRenormalized,calibration_2007_2017,129.0,0.12847262538437443,0.1389167950256474,0.9422333474494071,1.775600049734593,-0.1298226382385037,0.9896010982949746,3.666726818962393,0.5968992248062015,0.12363121312390714,0.04768612953003014,0.01669014533551055
LevelShockRenormalized,locked_2018_2026,103.0,0.1862434121828389,0.130797412802614,1.3786603881364243,2.8705158992204565,-0.11175284921486461,1.6665652239859496,4.331701949593482,0.6310679611650486,0.16571793679323468,0.07695843360635336,0.026935451762223683
SelectedAccelerationBlend,calibration_2007_2017,129.0,0.12921730977455437,0.13862881616580935,0.9487292185919352,1.7860193940342168,-0.12976559766677598,0.9957747823608106,3.6928223310357464,0.5968992248062015,0.12242886657615752,0.05442662092208731,0.019049317322730554
SelectedAccelerationBlend,locked_2018_2026,103.0,0.18440771587188687,0.1311874079360174,1.3630158205660192,2.8037359571948715,-0.11134481013746977,1.656186001343137,4.274502150893456,0.6310679611650486,0.16299327583695278,0.07482183708320705,0.026187642979122478
