Month,ExistingReturn,RobustReturn,ReturnDelta,RelativeFactor,CumulativeRelative,ExistingAvgStress,RobustAvgStress,ExistingAvgTransfer,RobustAvgTransfer
2018-01,0.06383026384209578,0.06384368284089881,1.3418998803027549e-05,1.0000126138532237,1.261385322370856e-05,0.019147619865956342,0.021642600396800254,0.004786904966489086,0.007574910138880089
2018-02,-0.04829982998731863,-0.04548124238958895,0.0028185875977296826,1.0029616340172474,0.0029742852280878473,0.50452901852479,0.32725933314240085,0.1261322546311975,0.11454076659984029
2018-03,0.025157431666937624,0.025240983467227363,8.355180028973841e-05,1.0000815014335447,0.003056029070142463,0.34262495720655006,0.15110329930073393,0.08565623930163752,0.05288615475525687
2018-04,0.03297744067076391,0.03460766069181842,0.001630220021054507,1.0015781758215319,0.004639027842862742,0.11392641193037327,0.0538779522760431,0.028481602982593317,0.01885728329661508
2018-05,-0.013038607578619188,-0.013088493468090823,-4.988588947163475e-05,0.9999494550750874,0.004588248438636144,0.009824344855560847,0.018489491398957492,0.0024560862138902117,0.006471321989635121
2018-06,0.07092827282772052,0.07092827282772052,0.0,1.0,0.004588248438636144,0.06660301934933655,0.028188543016335516,0.016650754837334136,0.00986599005571743
2018-07,-0.03732802821195136,-0.03763687066238042,-0.0003088424504290588,0.9996791820480081,0.00426595849417688,0.06900571112355282,0.03866933461431354,0.017251427780888205,0.013534267115009735
2018-08,0.027658231342164497,0.027692700948729554,3.4469606565057376e-05,1.0000335418970177,0.0042996434795350424,0.00841455079681225,0.018660218664435315,0.0021036376992030624,0.006531076532552359
2018-09,-0.009721598396640996,-0.009790645418797594,-6.904702215659864e-05,0.9999302751407636,0.004229618828262227,0.0,0.0246191999425376,0.0,0.00861671997988816
2018-10,0.022040070766172315,0.022031476388201465,-8.59437797084972e-06,0.9999915909579119,0.004221174219131374,0.34351653406591853,0.23711733578295688,0.08587913351647963,0.0829910675240349
2018-11,-0.07522592840700881,-0.07588149305560488,-0.0006555646485960631,0.9992911083163623,0.003509290180194524,0.20867768595041317,0.06546883490518969,0.05216942148760329,0.02291409221681639
2018-12,0.025477669368551892,0.02467398500847029,-0.0008036843600816024,0.9992162829244478,0.0027228228140050437,0.17864240472829085,0.06637303504128098,0.04466060118207271,0.023230562264448345
2019-01,0.02586007054752182,0.02594756763435435,8.74970868325331e-05,1.0000852914440717,0.0028083464915664713,0.05129747379274788,0.019642452407646116,0.01282436844818697,0.00687485834267614
2019-02,-0.005447325432603178,-0.005446533313253399,7.921193497795187e-07,1.0000007964579152,0.002809145186211337,0.0,0.0016536743912333794,0.0,0.0005787860369316827
2019-03,-0.007284071302325779,-0.007296849910567338,-1.2778608241559297e-05,0.9999871276284865,0.0027962366543374806,0.0,0.006953583811159165,0.0,0.0024337543339057075
2019-04,0.015387282909624878,0.013310419088847114,-0.0020768638207777634,0.9979546091863328,0.0007451264439046756,0.045454545454545456,0.05006212371014449,0.011363636363636364,0.01752174329855057
2019-05,-0.02467880572183423,-0.024276791625553407,0.00040201409628082274,1.000412186363466,0.001157619938330079,0.0952604384412594,0.0,0.02381510961031485,0.0
2019-06,0.04155982258892199,0.04155982258892199,0.0,1.0,0.001157619938330079,0.0,0.0,0.0,0.0
2019-07,-0.011563669987860847,-0.011563669987860847,0.0,1.0,0.001157619938330079,0.0,0.014713753191310129,0.0,0.005149813616958545
2019-08,0.01319377616468409,0.013766458106350354,0.0005726819416662643,1.000565224496181,0.0017234987496574927,0.09085125899430824,0.074497949885945,0.02271281474857706,0.026074282460080752
2019-09,0.010616042600901432,0.010599596012966783,-1.6446587934648704e-05,0.9999837261756777,0.0017071968774193813,0.0,0.010107496027120641,0.0,0.003537623609492224
2019-10,-0.0033045829564761764,-0.0033045829564761764,0.0,1.0,0.0017071968774193813,0.0,0.0019634569435326124,0.0,0.0006872099302364144
2019-11,0.005022574844256944,0.005022574844256944,0.0,1.0,0.0017071968774193813,0.0,0.005085006667013618,0.0,0.0017797523334547663
2019-12,0.03614837106906954,0.03614837106906954,0.0,1.0,0.0017071968774193813,0.0,0.025039990503850154,0.0,0.008763996676347556
2020-01,-0.006562760735756568,-0.0018927245011504112,0.004670036234606156,1.0047008870314393,0.0064161092485199855,0.0929009345947656,0.17202683716710077,0.0232252336486914,0.06020939300848527
2020-02,-0.005223013776772922,-0.003408809881916941,0.0018142038948559813,1.001823729257895,0.008251539752573533,0.4969781386385191,0.3450340853099071,0.12424453465962977,0.12076192985846748
2020-03,-0.0601717220060064,-0.043075043597888385,0.017096678408118016,1.0181912789904661,0.026592924804779594,0.6889073852386001,0.5176188142626242,0.17222684630965002,0.18116658499191848
