feature,mean_coefficient,mean_absolute_coefficient
proxy_mom6,0.426768730483491,0.426768730483491
oap_reversal_crowding_stress,0.33908022925449804,0.3536366504895096
downside_convexity_ma21_last,0.2918399031629581,0.2918399031629581
oap_low_risk_tail_stress,-0.19523590834940352,0.23900009327872873
daily_downvol21,0.2319896018209906,0.2355875379239203
call_skew_ma21_last,0.21649561606760287,0.21688215682503997
base_GLD,0.2112141661573431,0.2112141661573431
daily_vol21,0.19688644675963696,0.19688644675963693
parallel_shift_ma21_last,0.18773118976484776,0.18773118976484776
oap_momentum_trend_stress,0.17130219017293277,0.17722418749702396
base_KODEX200,-0.17419815657636611,0.17437535335144708
proxy_mom1,0.14233703287558824,0.14233703287558822
sticky_strike_ma21_last,-0.11686577569952554,0.1386125254818036
base_USO,-0.11475691822892152,0.13583476754051335
oap_liquidity_activity_stress,0.08678442171740018,0.11081692435835905
daily_mom252,0.10449148525864786,0.10759564531606271
daily_mom21,-0.09051968750775485,0.10172535821081086
p_inflation_high,-0.043139400290162236,0.10109494966307728
daily_mean_corr63,0.04915536102128749,0.09647334830936832
proxy_vol6,-0.04334641424293599,0.08421662088774458
put_skew_ma21_last,0.012003689736740927,0.08076042321283636
upside_convexity_ma21_last,-0.03606307006064734,0.051219666262090346
