name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
momentum_lt0.80_mw10_st0.15_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,10,0.15,0.25,0.5,0.05,0.04,0.12716761976323032,0.943800991343327,-0.12957725869678371,0.9814038438705356,0.022050520158679143,0.34068189005543725,-0.1112638667356114,0.19818222038854955,0.17523538948029396,0.07046078916715849
momentum_lt0.80_mw10_st0.15_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,10,0.15,0.25,0.5,0.1,0.04,0.12704064272098492,0.9386326711529264,-0.13001562033708958,0.9771183061820459,0.023028872376491094,0.35595733576873057,-0.10728249169071247,0.21465638999960626,0.14722188176106,0.05887323405575447
momentum_lt0.80_mw10_st0.15_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,10,0.15,0.5,0.5,0.05,0.04,0.12554820852833393,0.9306503488704917,-0.13750862317243462,0.9130206210478711,0.021470259084798826,0.32477098401408944,-0.12143931614793568,0.1767982541884875,0.27609469731325337,0.11192054139290818
momentum_lt0.80_mw10_st0.15_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,10,0.15,0.5,0.5,0.1,0.04,0.12392637185265909,0.917772768703702,-0.13246041577272083,0.9355728738259083,0.02017292958517225,0.31313392502669735,-0.1174753632732185,0.17172051248102999,0.24425915894669015,0.09885646423929498
momentum_lt0.80_mw10_st0.15_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,10,0.15,0.75,0.5,0.05,0.04,0.12297978100089368,0.907684613041529,-0.14826724424731064,0.8294467306329825,0.01925078799139812,0.2900887418636053,-0.13007423235392335,0.14799847474031602,0.3818141012597751,0.15548697538618203
momentum_lt0.80_mw10_st0.15_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,10,0.15,0.75,0.5,0.1,0.04,0.12349821820832352,0.913829625234135,-0.14190060723884468,0.8703149381204086,0.02206650731187665,0.33054992073276207,-0.12517500698688766,0.1762852492925218,0.3436560099567186,0.1396782507075467
momentum_lt0.80_mw10_st0.15_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,10,0.15,1.0,0.5,0.05,0.04,0.12003946334538007,0.8849491771343424,-0.15750301951678392,0.7621407114203824,0.01694582817939927,0.25485469221532225,-0.13864283471971095,0.122226498135717,0.4834507782418773,0.1973427174859919
momentum_lt0.80_mw10_st0.15_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,10,0.15,1.0,0.5,0.1,0.04,0.12179812641089471,0.8989789972002229,-0.1563576865591888,0.7789711468056822,0.019238548390351662,0.2843875287008681,-0.13801540683437497,0.1393942084555736,0.44702029180745356,0.18229120707745794
momentum_lt0.80_mw21_st0.05_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,21,0.05,0.25,0.5,0.05,0.04,0.12439257910023893,0.9338850671478293,-0.13456912838116653,0.9243767912941923,0.018464948315177976,0.2898466514653562,-0.11245862792319461,0.16419325627722314,0.2326278343432576,0.09393670274204999
momentum_lt0.80_mw21_st0.05_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,21,0.05,0.25,0.5,0.1,0.04,0.12537220199940236,0.9401936665283072,-0.12789585128380077,0.9802679347370038,0.01968688107568295,0.3095936639283971,-0.10702187664615781,0.18395193293771986,0.18213292411521226,0.07309103124179103
momentum_lt0.80_mw21_st0.05_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,21,0.05,0.5,0.5,0.05,0.04,0.11429384083621441,0.8717353092887218,-0.1531806116820389,0.7461377754089219,0.007319530520150108,0.13500229519156368,-0.12607183658480103,0.05805841112837834,0.4364691977624078,0.1777829275733119
momentum_lt0.80_mw21_st0.05_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,21,0.05,0.5,0.5,0.1,0.04,0.11804979589445086,0.8931285008893539,-0.14887187050802764,0.7929624011010545,0.011744756751197682,0.19386027233192887,-0.12351712484727739,0.09508606005620251,0.36564408675039767,0.14851741395843118
momentum_lt0.80_mw21_st0.05_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,21,0.05,0.75,0.5,0.05,0.04,0.10585055433316715,0.8107881630069264,-0.18566122444288535,0.5701274170241712,-0.001716422241314186,0.015964110885562346,-0.15014579334194988,-0.011431703833387569,0.6420166239390611,0.2624165101757747
momentum_lt0.80_mw21_st0.05_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,21,0.05,0.75,0.5,0.1,0.04,0.10928856046895952,0.8363274562741715,-0.1676542748316533,0.6518686181947907,0.0029064822158211268,0.07604278434740602,-0.14180669771611298,0.020496085605488813,0.5609761748177476,0.22879923546068076
momentum_lt0.80_mw21_st0.05_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,21,0.05,1.0,0.5,0.05,0.04,0.097784724905841,0.7529728865935881,-0.2151185881629104,0.45456194995008115,-0.010519820388631973,-0.09119682019843242,-0.17553523083544542,-0.05992996584539615,0.8536436209332597,0.3495384644087843
momentum_lt0.80_mw21_st0.05_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,21,0.05,1.0,0.5,0.1,0.04,0.09804999460143349,0.7527277878964265,-0.22207138405923876,0.4415246701721736,-0.011121940138506425,-0.09769206821399923,-0.18113629900861639,-0.06140094613491783,0.7765000279041935,0.3176841462560559
momentum_lt0.80_mw21_st0.10_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,21,0.1,0.25,0.5,0.05,0.04,0.12517785595147468,0.9364990794896868,-0.13467801606549346,0.9294602015120353,0.018074832277630515,0.2844046368453092,-0.11410931827959037,0.15839926616110006,0.2038263812414457,0.08212116609901768
