Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
cost_0.5x_full,FinalBlend,232.0,0.14485277830111176,0.14083329995354563,1.0353627318778083,1.8752417633672314,-0.1473642157882571,0.9829576164490711,13.671822771336878,0.6077586206896551,0.08711950577164283
cost_0.5x_locked,FinalBlend,103.0,0.17295817175068273,0.1451747122101925,1.1776885861526287,2.089821758295177,-0.1473642157882572,1.1736782286359169,3.9325568384648424,0.6310679611650486,0.10127824817423241
cost_0.5x_full,Loss3Stress,232.0,0.14379423773817224,0.13835793122381648,1.0444500821169629,1.930611488451126,-0.13946250849540853,1.0310601701453428,13.429488858900674,0.6163793103448276,0.09416900166311097
cost_0.5x_locked,Loss3Stress,103.0,0.16720844241217758,0.1388725393141354,1.1886127994035163,2.1648067799810247,-0.13311212762560076,1.2561473202688052,3.7701382235914696,0.6310679611650486,0.11178447785305652
cost_0.5x_full,Loss4Domestic,232.0,0.14562784524677586,0.1382604835190821,1.0567303322314412,1.9740631561167084,-0.13946250849540853,1.0442078435120812,13.851883944255773,0.6077586206896551,0.09609527690613993
cost_0.5x_locked,Loss4Domestic,103.0,0.17063145810827485,0.13881089892239723,1.2103192889471526,2.242750859444897,-0.12187458912067728,1.400057709645443,3.866101955510974,0.6213592233009708,0.1106633737339334
cost_0.5x_full,Loss4Stress,232.0,0.14492140663070252,0.13890747591128805,1.0480111365581253,1.9419163725684452,-0.13946250849540853,1.0391424060429382,13.687676287701752,0.6120689655172413,0.09366902081139593
cost_0.5x_locked,Loss4Stress,103.0,0.1705851078350158,0.13956739090797676,1.2042869191281638,2.214134997725452,-0.13156636648566788,1.2965707907848805,3.864788255538713,0.6213592233009708,0.11112200255680149
cost_1.0x_full,FinalBlend,232.0,0.14299110165789664,0.14078463062395463,1.0240004238574387,1.8485605013005593,-0.1490055972547002,0.9596357740406034,13.248348824559365,0.6077586206896551,0.08711950577164283
cost_1.0x_locked,FinalBlend,103.0,0.17067632952001244,0.1451976742823581,1.1639611286518534,2.057461707455003,-0.14900559725469997,1.1454356927832046,3.867374116121918,0.6310679611650486,0.10127824817423241
cost_1.0x_full,Loss3Stress,232.0,0.141784587665005,0.13830469160893066,1.03196124757522,1.9004470245672818,-0.13994884146395348,1.0131172661513197,12.980579373022618,0.6120689655172413,0.09416900166311097
cost_1.0x_locked,Loss3Stress,103.0,0.1647148362794053,0.13889378361640975,1.1728809591464744,2.1265072936983858,-0.13468237231457336,1.222987340130051,3.7015614645693753,0.6310679611650486,0.11178447785305652
cost_1.0x_full,Loss4Domestic,232.0,0.14357001749847353,0.13821632092747263,1.0438890476617368,1.9425218350754498,-0.13994884146395348,1.025874998296808,13.378683104627596,0.603448275862069,0.09609527690613993
cost_1.0x_locked,Loss4Domestic,103.0,0.16815068874577932,0.13883168512638105,1.1947030996617778,2.2035792659286972,-0.12393388955472917,1.3567773056257064,3.7963417010716425,0.6213592233009708,0.1106633737339334
cost_1.0x_full,Loss4Stress,232.0,0.14291977988822469,0.1388409357735787,1.0357214095763732,1.9121195935644604,-0.13994884146395348,1.0212287461131748,13.23237535128042,0.6120689655172413,0.09366902081139593
cost_1.0x_locked,Loss4Stress,103.0,0.16809537889632864,0.1395689476527592,1.1888448175042579,2.1757359408735515,-0.13347108224849158,1.2594142196537734,3.794799123850613,0.6213592233009708,0.11112200255680149
cost_2.0x_full,FinalBlend,232.0,0.13927353387476793,0.14070353552961914,1.0011366338867516,1.7953400554349925,-0.15228312611661188,0.9145697059575612,12.439650104246313,0.6077586206896551,0.08711950577164283
cost_2.0x_locked,FinalBlend,103.0,0.16612168962788898,0.14526262691805708,1.1363703581045517,1.9931382367499542,-0.15228312611661177,1.0908739127188671,3.740114619336764,0.6310679611650486,0.10127824817423241
cost_2.0x_full,Loss3Stress,232.0,0.13777249381212853,0.13821454359999696,1.0068357309851221,1.840354099539028,-0.14166696089176412,0.972509701237884,12.126579515302556,0.6120689655172413,0.09416900166311097
cost_2.0x_locked,Loss3Stress,103.0,0.15973931792435025,0.13895493149267918,1.1412784369005935,2.0505428176977576,-0.13781799699434427,1.1590599298211073,3.5680144441344694,0.6310679611650486,0.11178447785305652
cost_2.0x_full,Loss4Domestic,232.0,0.13946193053324207,0.13814491444347327,1.018057147251801,1.8797113411856239,-0.14166696089176412,0.984435112148649,12.479480859990055,0.603448275862069,0.09609527690613993
cost_2.0x_locked,Loss4Domestic,103.0,0.16320054753938362,0.1388925483814505,1.1633231485376323,2.125874354295026,-0.12804264238951057,1.2745796595084422,3.6604569118398325,0.6213592233009708,0.1106633737339334
