Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths
calibration_2007_2017,Existing_VKOSPI_Dynamic,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0
calibration_2007_2017,CJM,129.0,0.1284474100581774,0.1385141758566633,0.9444358300904439,1.7765514389229542,-0.1298226382385037,0.989406869256502,3.6658461488162604,0.5968992248062015,0.12423725441441195,0.001915322984091316,6
calibration_2007_2017,TVTP-HMM,129.0,0.12891226688663937,0.13456702067066204,0.9711412181263519,1.888733001862231,-0.1120906568126182,1.150071473861928,3.6821126040594496,0.5891472868217055,0.2529769305637546,0.0731724926931545,35
calibration_2007_2017,CJM+LightGBM,129.0,0.12881357004982186,0.13842003713336376,0.947351758772927,1.7835632007151194,-0.1298226382385037,0.9922273325948896,3.6786535011595127,0.5968992248062015,0.12830018244134472,0.0030466179861823642,30
locked_2018_2026,Existing_VKOSPI_Dynamic,103.0,0.18298446144639158,0.13389120459522738,1.3289531274434303,2.705242424492421,-0.11289722654519829,1.6208056393053547,4.230614253711762,0.6310679611650486,0.16290812316152145,0.0,0
locked_2018_2026,CJM,103.0,0.18099064806167475,0.13284934305363927,1.3254795042238599,2.69697754822058,-0.11289722654519829,1.6031452109163666,4.169802026358442,0.6310679611650486,0.18274496354266348,0.012997333266643476,25
locked_2018_2026,TVTP-HMM,103.0,0.1405013327905844,0.1086186607290812,1.2703052906583194,2.4430422220179744,-0.11377065783069129,1.2349522756532936,3.0908096442037603,0.6213592233009708,0.38911515590322343,0.1671705288275975,57
locked_2018_2026,CJM+LightGBM,103.0,0.1822288646779211,0.13356748992933476,1.3270020963793743,2.7031432590162923,-0.11210087794674373,1.625579281943656,4.207476623387751,0.6310679611650486,0.17456085723997586,0.0035702207401737086,47
full_2007_2026,Existing_VKOSPI_Dynamic,232.0,0.15242514946041696,0.1363803293092498,1.1131525325010423,2.160403620187797,-0.1298226382385037,1.174103003363628,15.530283921613602,0.6120689655172413,0.1387358456664485,0.0,0
full_2007_2026,CJM,232.0,0.15147990223765984,0.13589219065273492,1.1105616863313352,2.1542935993466847,-0.1298226382385037,1.166821937167603,15.285852699652331,0.6120689655172413,0.15021265976014433,0.00683535341125887,31
full_2007_2026,TVTP-HMM,232.0,0.13404280575593996,0.12346918237252923,1.0846628293919,2.097118415741597,-0.11377065783069118,1.1781843254823836,11.380709147671165,0.603448275862069,0.31341760819291525,0.11490437942525636,92
full_2007_2026,CJM+LightGBM,232.0,0.15222356983201424,0.13615546413137627,1.1134664948753907,2.162586985667503,-0.1298226382385037,1.1725502724136345,15.477848611672155,0.6120689655172413,0.14883832685625423,0.0032790795536871424,77
