candidate,jump_penalty,keep_features,sjm_weight,is_deployed,growth_switches,inflation_switches,cal_mean_auc,cal_mean_brier,cal_quadrant_accuracy,cal_Soft_CAGR,cal_Soft_Sharpe,cal_Soft_MDD,cal_Soft_Calmar,cal_Soft_AvgTurnover,cal_Proposed_CAGR,cal_Proposed_Sharpe,cal_Proposed_MDD,val_mean_auc,val_mean_brier,val_quadrant_accuracy,val_Soft_CAGR,val_Soft_Sharpe,val_Soft_MDD,val_Soft_Calmar,val_Soft_AvgTurnover,val_Proposed_CAGR,val_Proposed_Sharpe,val_Proposed_MDD,locked_mean_auc,locked_mean_brier,locked_quadrant_accuracy,locked_Soft_CAGR,locked_Soft_Sharpe,locked_Soft_MDD,locked_Soft_Calmar,locked_Soft_AvgTurnover,locked_Proposed_CAGR,locked_Proposed_Sharpe,locked_Proposed_MDD,cal_prediction_score,cal_soft_score,cal_prediction_rank,cal_soft_rank,locked_prediction_score,locked_soft_score,locked_prediction_rank,locked_soft_rank,locked_boot_probability_brier_better_than_deployed,locked_boot_probability_sharpe_better_than_deployed,locked_boot_sharpe_delta_p05,locked_boot_sharpe_delta_median,locked_boot_sharpe_delta_p95,invalid_reason,first_bad_month,reason
no_sjm,3.0,4,0.0,False,11.0,7.0,0.9564893093576669,0.0944644077117974,0.7906976744186046,0.0647319241228923,0.668650044949239,-0.18529264001870704,0.34934967798158095,0.05999968475886934,0.07342897156989903,1.1098954357086988,-0.08944444690752129,0.9702988529937915,0.08269518099406456,0.8333333333333334,0.01124975376221915,0.21208210752436235,-0.09176098707733282,0.12259843884131572,0.04861674991632321,0.02556584431055131,0.5692657401024114,-0.07466177091852877,0.9621361397223466,0.08963776516292804,0.803921568627451,0.13702632502331968,1.0879800032165217,-0.14474690604015839,0.9466615126495573,0.06010502217502384,0.09073394650330724,1.1902322495334157,-0.08061050428991623,0.7297297297297297,0.6756756756756758,11.0,10.0,1.0,0.7117117117117117,1.0,8.0,0.986,0.5485,-0.04012175554034857,0.0030710346035872638,0.04626406246937741,,,
sjm_j0_k2_w0.05,0.0,2,0.05,False,21.0,13.0,0.9566022544283415,0.09428968326097177,0.7829457364341085,0.06492701737064555,0.6697786425255217,-0.18834671429062977,0.34472073279950843,0.059517448064319606,,,,0.969733242134063,0.08237335060322855,0.8333333333333334,0.01141978792953191,0.2157780396302969,-0.09165721541403582,0.1245923507270673,0.04846058624238296,,,,0.961744290192566,0.0909682517083597,0.7843137254901961,0.1370684369868771,1.0885329381141038,-0.14477996199461562,0.9467362409721773,0.059087622522649416,,,,0.7207207207207208,0.6846846846846847,12.0,9.0,0.9684684684684685,0.6576576576576577,2.0,10.0,0.968,0.565,-0.027510745241163287,0.0035867621022031004,0.03370670459050892,,,
sjm_j0_k2_w0.1,0.0,2,0.1,False,21.0,13.0,0.9550243782429773,0.09439512259147056,0.7984496124031008,0.06511489990908492,0.6706849487870921,-0.19139478328670778,0.34021251149538045,0.05912869842751638,,,,0.967470798695149,0.08217631545722758,0.8166666666666667,0.011583967746970458,0.21939836438654642,-0.09156114386396663,0.12651619735311392,0.04846742738470492,,,,0.9597576752749166,0.09269259810065315,0.7745098039215687,0.1371166757597695,1.0888778758661601,-0.14481293728559397,0.9468537710091037,0.05809680941938729,,,,0.6936936936936937,0.6666666666666666,13.0,11.0,0.7342342342342342,0.6126126126126126,8.0,12.0,0.844,0.592,-0.017092166355173133,0.0029566531364650928,0.023694803976393834,,,
sjm_j1.5_k2_w0.05,1.5,2,0.05,False,15.0,7.0,0.9562712470925032,0.09427595891701815,0.7674418604651163,0.06494480614183606,0.6685056950300442,-0.18865454123430414,0.34425254603956906,0.05883458143967952,,,,0.9691676312743345,0.08196569555416526,0.8,0.011535314809974162,0.21790829194619704,-0.09179697548637444,0.1256611642034586,0.047335974613986385,,,,0.9605538140020898,0.09201799980621296,0.7745098039215687,0.13646597782535674,1.0869273076509884,-0.14476480346832477,0.9426737339177623,0.0589507587591736,,,,0.6486486486486487,0.6486486486486487,14.0,13.0,0.7792792792792792,0.5945945945945946,7.0,14.0,0.9485,0.555,-0.023421985531856315,0.0022185805225799493,0.027734178763892465,,,
sjm_j1.5_k2_w0.1,1.5,2,0.1,False,15.0,7.0,0.9558586061907318,0.09448521401641681,0.7829457364341085,0.06514687180007916,0.6680673045718354,-0.19200832089327924,0.33929191973033634,0.05788304846106326,,,,0.968602020414606,0.08147740026036107,0.8,0.011811011797594029,0.22361518103160558,-0.09182755502516893,0.1286216516856706,0.04631088247199933,,,,0.9575801114594218,0.0949440116204552,0.7843137254901961,0.1359006869677648,1.0854251244543736,-0.14478261370532008,0.9386533609924124,0.05784853945849354,,,,0.6126126126126127,0.6036036036036035,15.0,17.0,0.6981981981981983,0.44144144144144143,9.0,25.0,0.483,0.5375,-0.009983645766247518,0.0006667266599784671,0.01245764427401028,,,
sjm_j1.5_k4_w0.2,1.5,4,0.2,False,13.0,9.0,0.9557579620683485,0.09557090566606247,0.7906976744186046,0.06529661311238555,0.6660544982093807,-0.19862028980301927,0.3287509708959903,0.05590476719580009,,,,0.9652083552562349,0.081253621821758,0.8333333333333334,0.012323477358301416,0.23428838080566056,-0.09139432203334596,0.1348385444973824,0.04493114163847039,,,,0.9512557844454396,0.0971084629767798,0.7647058823529411,0.13406469952091138,1.0750813090604803,-0.14478141083303908,0.9259800602130743,0.056601706880539074,,,,0.581081081081081,0.5315315315315315,16.0,21.0,0.44144144144144143,0.21621621621621623,25.0,34.0,0.149,0.2695,-0.0380671170411704,-0.010686496107634114,0.016091487577738258,,,
sjm_j0_k2_w0.2,0.0,2,0.2,False,21.0,13.0,0.952480318482734,0.09544649259644136,0.8062015503875969,0.06547161217745678,0.6718633774568563,-0.1974729146084343,0.33154730261250936,0.058581691084325586,,,,0.9642875933915606,0.08215663089973065,0.8333333333333334,0.011897364987068393,0.22644692081270323,-0.09139862111749386,0.13017007085669496,0.04888748641646772,,,,0.9563771956013335,0.09732287042582555,0.7745098039215687,0.13723338209029867,1.0889564998142165,-0.1448786458730934,0.9472298782424319,0.05614704221952929,,,,0.5765765765765766,0.6666666666666666,17.0,11.0,0.5720720720720721,0.6036036036036037,17.0,13.0,0.249,0.5555,-0.028229153014926935,0.0020939491347248262,0.025621614643114597,,,
sjm_j1.5_k6_w0.2,1.5,6,0.2,False,13.0,9.0,0.9557579620683485,0.09559757837874101,0.7906976744186046,0.06527427178367384,0.6659246460875213,-0.19878542527319687,0.3283654809901954,0.0558838349030431,,,,0.9652083552562349,0.08128268571733711,0.8333333333333334,0.012314855008256131,0.23414422326951764,-0.09136247265246356,0.13479117465549534,0.04493921109423116,,,,0.9514541971438523,0.09708253083926566,0.7745098039215687,0.13408882479105322,1.075272371670044,-0.14478123188865766,0.9261478372705979,0.05663646819338824,,,,0.572072072072072,0.4774774774774775,18.0,23.0,0.545045045045045,0.24324324324324328,18.0,33.0,0.151,0.273,-0.037626326281168,-0.010467152957650105,0.016070544442975183,,,
sjm_j3_k4_w0.05,3.0,4,0.05,False,11.0,7.0,0.9561896135265702,0.09502071499008749,0.7596899224806202,0.06458747274990606,0.6656799625522726,-0.18901352464868248,0.34170820775896404,0.05871701005026888,0.07360688063144782,1.1072612359814331,-0.08942284754883534,0.9680364095548775,0.08323071221635378,0.8,0.011274211464976647,0.21358166427732594,-0.0916512501820621,0.12301208595170068,0.047534392212000204,0.02541440913876558,0.5671946878269887,-0.07458961303519118,0.9599585759068519,0.09195956726141497,0.7647058823529411,0.1366771670519069,1.0870456091930367,-0.14467399607790243,0.9447251804554463,0.059068839921900845,0.09047955122760687,1.1878541244368948,-0.08056549759548748,0.5315315315315315,0.4774774774774775,19.0,23.0,0.6981981981981983,0.7567567567567567,9.0,5.0,0.991,0.561,-0.019883919723898153,0.001993397615394521,0.023277114935234742,,,
sjm_j3_k6_w0.05,3.0,6,0.05,False,11.0,7.0,0.9561896135265702,0.09503847515498884,0.7596899224806202,0.06457259254381831,0.6655745357504448,-0.1890366784646288,0.3415876382735992,0.058721841320663104,,,,0.9680364095548775,0.08324932528472889,0.8,0.011272347083393974,0.21355083205159292,-0.09165254586900151,0.12299000509495371,0.04754878882243267,,,,0.9599585759068519,0.09196278229222558,0.7647058823529411,0.13668737669029052,1.0870882007064115,-0.14467352260519017,0.9447988424482231,0.059062340057498955,,,,0.5225225225225225,0.44144144144144143,20.0,26.0,0.6891891891891891,0.7837837837837838,14.0,2.0,0.991,0.562,-0.019889383651530628,0.0020237578263235245,0.02335932415127536,,,
sjm_j3_k4_w0.1,3.0,4,0.1,True,11.0,7.0,0.953513598139202,0.09616162036001799,0.7906976744186046,0.06443650745525842,0.6623537292613909,-0.19272377685962305,0.33434643356015664,0.05753573769794627,0.07383034583342751,1.1053080837733036,-0.08933845439290933,0.9612490792381354,0.08411268895915898,0.8,0.011293665829348543,0.21496278033226018,-0.0915244975666687,0.12339500493976445,0.046553491917530804,0.025324199876027853,0.5665446072534401,-0.07446272962202216,0.9554075235109718,0.09475659684395542,0.7450980392156863,0.13631234750220522,1.0854533084391382,-0.1446009358749364,0.9426795661965849,0.05810375256094908,0.09054290176951185,1.1873384788736583,-0.08051673713268748,0.5,0.3153153153153153,21.0,30.0,0.4774774774774775,0.6936936936936937,21.0,9.0,0.0,0.0,0.0,0.0,0.0,,,
sjm_j3_k6_w0.1,3.0,6,0.1,False,11.0,7.0,0.953513598139202,0.09619707437260411,0.7906976744186046,0.06440673123016594,0.662141426140481,-0.19276991449401404,0.334111945835645,0.05754518670299436,0.07382615235858969,1.1052250735248688,-0.089324892967663,0.9612490792381354,0.08415032722542742,0.8,0.01128996598159726,0.21490128002761755,-0.09152706778015873,0.12335111629179388,0.04658183613571625,0.02532548686403091,0.5665844120738633,-0.07445375872207205,0.9554075235109718,0.09476332911400967,0.7450980392156863,0.13633282193468732,1.0855380890580837,-0.14459998851281297,0.9428273358583766,0.058090828233475604,0.09056049671710298,1.1874945165734,-0.0805166481751386,0.4909909909909909,0.27927927927927926,22.0,31.0,0.4684684684684684,0.7207207207207208,23.0,7.0,0.1165,0.7885,-4.48443200758375e-05,7.080201732778679e-05,0.0002558026271084923,,,
sjm_j3_k2_w0.05,3.0,2,0.05,False,6.0,7.0,0.9557881553050636,0.0952004427086264,0.7596899224806202,0.06471515873128175,0.666006890935612,-0.18902085851162953,0.34237046239687957,0.058822949566452155,,,,0.9680364095548775,0.0828872612193576,0.8,0.011506024916259072,0.21744697497016485,-0.09166783082511898,0.12551867773777595,0.04753657975559943,,,,0.9607497387669801,0.09207525748684887,0.7647058823529411,0.13759513472271623,1.0913285224164107,-0.14475337531854326,0.9505487137686796,0.058819282990640744,,,,0.47297297297297297,0.5135135135135135,23.0,22.0,0.6936936936936937,0.7927927927927928,13.0,1.0,0.952,0.6705,-0.015453331994530101,0.0061909026578848,0.028073190651806145,,,
sjm_j1.5_k2_w0.2,1.5,2,0.2,False,15.0,7.0,0.9535795759527643,0.09609683589774787,0.7751937984496124,0.06552212414828018,0.6663492067619209,-0.19869154276987766,0.32976805773845735,0.05668524342655708,,,,0.9652083552562349,0.08122438011103814,0.8333333333333334,0.01233499515585379,0.23468086347638759,-0.09191954804041647,0.13419338344037732,0.044970449360895316,,,,0.9512433447778275,0.10243336676181164,0.7745098039215687,0.13473733071851424,1.0809194057340734,-0.14481797255095818,0.9303909476505287,0.05623207762046959,,,,0.45045045045045046,0.5585585585585586,24.0,19.0,0.46396396396396394,0.26126126126126126,24.0,32.0,0.0065,0.422,-0.041586342192997505,-0.004977468256600059,0.03407128377353148,,,
sjm_j3_k2_w0.1,3.0,2,0.1,False,6.0,7.0,0.952566425120773,0.09645902048345398,0.7829457364341085,0.06469020396556413,0.6630361639566922,-0.19273839025249817,0.3356373573568624,0.057796586432413546,0.07396525224565242,1.1074517534811694,-0.08919148439464919,0.9635115226770494,0.08340736852071985,0.8,0.011755233867331683,0.2227225307250695,-0.09155789620815735,0.12839126229600228,0.0465970603075006,0.025628910798503712,0.5730465427734437,-0.07438040379027422,0.9569848733641837,0.09515874096547716,0.7450980392156863,0.13817972715341642,1.0941203562517101,-0.14475975092428162,0.9545452121266293,0.05754516102187659,0.09132389104175442,1.190751561630297,-0.08055657786739234,0.4144144144144144,0.36936936936936937,25.0,29.0,0.47297297297297297,0.7837837837837838,22.0,2.0,0.3945,0.854,-0.0032308107041235656,0.007444420216318748,0.02211583074204025,,,
sjm_j0_k4_w0.3,0.0,4,0.3,False,21.0,11.0,0.9536846931472536,0.0966272992485952,0.7674418604651163,0.06633201596426108,0.6788924732587588,-0.20060196508945627,0.33066483638224103,0.057034392149036994,,,,0.967470798695149,0.08055116912249632,0.8333333333333334,0.013178726229614357,0.25032934953996405,-0.08548059036608269,0.1541721480066364,0.04859095755854439,,,,0.9435102254067771,0.10433587682842617,0.7450980392156863,0.13351951787186778,1.0708327260013772,-0.14469338000968002,0.9227755814601559,0.054250393366570906,,,,0.3963963963963964,0.7477477477477478,26.0,4.0,0.2207207207207207,0.32432432432432434,31.0,30.0,0.03,0.1985,-0.05348752762998721,-0.015844483466551873,0.01431144064950443,,,
sjm_j0_k6_w0.3,0.0,6,0.3,False,21.0,11.0,0.9538132939702988,0.09687086737013746,0.7674418604651163,0.0662770103543815,0.678748410327184,-0.20061265236794734,0.33037303266805734,0.05700669896844243,,,,0.967470798695149,0.08067014492613118,0.8333333333333334,0.013200008857618961,0.25071490865675666,-0.0853999614566584,0.15456691821012283,0.048565611651670025,,,,0.944899114295666,0.10385448367956396,0.7549019607843137,0.13301102518568997,1.068430490906433,-0.14468444382750223,0.9193180805551583,0.054012987747329294,,,,0.3963963963963964,0.7207207207207208,26.0,8.0,0.27927927927927926,0.3153153153153153,26.0,31.0,0.036,0.153,-0.0555968187832183,-0.018455165056219414,0.010825208217444475,,,
sjm_j0_k2_w0.3,0.0,2,0.3,False,21.0,13.0,0.9490047414564322,0.0976185177267098,0.7596899224806202,0.06580035987853972,0.6721811492777251,-0.20352705279352123,0.323300313031577,0.058492038439362196,,,,0.9613411554246027,0.08263612732157373,0.8166666666666667,0.012196478047890258,0.23330194085258957,-0.0912545593961811,0.13365335527991895,0.049679396487260455,,,,0.9462481962481963,0.10352858213844515,0.7254901960784313,0.1373730949697407,1.0881936106366454,-0.1449440317944931,0.9477664810960499,0.05435075608776727,,,,0.26576576576576577,0.6396396396396397,28.0,15.0,0.22522522522522523,0.5765765765765766,30.0,16.0,0.065,0.5005,-0.059912283206248015,4.299643513416829e-05,0.04938202208371239,,,
sjm_j1.5_k4_w0.3,1.5,4,0.3,False,13.0,9.0,0.950953882626588,0.09881092994502866,0.751937984496124,0.06554007206671719,0.6630537635889614,-0.20523617887429568,0.31933975981330065,0.054424909242372935,,,,0.9601178575186784,0.08192266284128653,0.8,0.012835429256369935,0.24514842794989358,-0.09118915602852184,0.14075609223047653,0.0436984081561779,,,,0.9403629895009205,0.10282004686909468,0.696078431372549,0.1325123941365094,1.0661299910501918,-0.14479811208591586,0.9151527753199106,0.05504453348038629,,,,0.23873873873873874,0.43243243243243246,29.0,27.0,0.1801801801801802,0.07207207207207207,33.0,37.0,0.04,0.3025,-0.08123715454306409,-0.02116252361111659,0.04058357408208841,,,
sjm_j1.5_k6_w0.3,1.5,6,0.3,False,13.0,9.0,0.950833109679728,0.09884843344859268,0.751937984496124,0.06550651895062898,0.6628560724775459,-0.2054821562041439,0.31879419683307725,0.05439360108393915,,,,0.9601178575186784,0.08195818334924437,0.8,0.012822588843135474,0.24493240807383235,-0.09114149446374531,0.1406888148870118,0.043710699055713204,,,,0.9401645768025078,0.10277462955317991,0.7058823529411765,0.13254959004579847,1.0664370895643247,-0.1447978437682812,0.9154113527955327,0.05509838320959474,,,,0.22072072072072071,0.37837837837837834,30.0,28.0,0.18918918918918917,0.0990990990990991,32.0,36.0,0.042,0.3035,-0.08039889537372172,-0.02092471662872364,0.04098013670027751,,,
sjm_j3_k4_w0.2,3.0,4,0.2,False,11.0,7.0,0.9478920647700841,0.10019722537480025,0.751937984496124,0.06411503136779095,0.6546938456637019,-0.20011243172546356,0.32039504400081986,0.055473284378873125,0.07544675915593224,1.1178473816517043,-0.08939192792293926,0.9516336946227508,0.08691597900631745,0.7666666666666667,0.011323877092165091,0.217456253792416,-0.09157667832504157,0.12365459524500558,0.04472634503042936,0.025182601160378182,0.5650613631110941,-0.07443088645738549,0.9439294422053043,0.10177633846119678,0.7352941176470589,0.1355408047609472,1.0803277677762029,-0.1444551643510793,0.9382897826451748,0.056267388241339776,0.09015080607277515,1.1810382436069495,-0.08045720926329492,0.17567567567567569,0.18918918918918917,31.0,33.0,0.2747747747747748,0.5315315315315315,27.0,20.0,0.002,0.406,-0.04793646340042727,-0.006377280877110758,0.03895230820491568,,,
sjm_j1.5_k2_w0.3,1.5,2,0.3,False,15.0,7.0,0.9483818661656825,0.09929927335579058,0.7441860465116279,0.06587453299811119,0.6637087855929275,-0.20534236074079215,0.32080342682563173,0.056110987891690806,,,,0.9601178575186784,0.08193612054609568,0.8,0.0128505407425763,0.24570315225211944,-0.09196880144858366,0.13972717421744982,0.043814387208757535,,,,0.932999328257949,0.11210583058699734,0.6666666666666666,0.13354058682143521,1.07448778845792,-0.14485298246725764,0.9219042959755457,0.0551562383459413,,,,0.16666666666666666,0.4684684684684684,32.0,25.0,0.07657657657657659,0.13513513513513514,34.0,35.0,0.001,0.399,-0.08514242721387053,-0.012597381962126564,0.06744877421520444,,,
sjm_j3_k6_w0.2,3.0,6,0.2,False,11.0,7.0,0.9478842368938987,0.10026786813110608,0.751937984496124,0.06405549430223245,0.6542647118008368,-0.20020402853316943,0.31995107576778786,0.05548923390876824,,,,0.9521993054824793,0.08699290405692703,0.7666666666666667,0.011316744793044675,0.2173365852356946,-0.09158617934944346,0.12356389220982875,0.04477704012146645,,,,0.9439294422053043,0.10179101183503758,0.7352941176470589,0.13558163829355463,1.0804943239448495,-0.14445332357791218,0.9385844156117839,0.056250396624041285,,,,0.15765765765765766,0.15315315315315317,33.0,34.0,0.26576576576576577,0.5675675675675675,28.0,17.0,0.002,0.4075,-0.04782871339484893,-0.00621817133367808,0.03902132464428301,,,
sjm_j3_k2_w0.2,3.0,2,0.2,False,6.0,7.0,0.9460446859903382,0.10054380436710475,0.7441860465116279,0.06461785091734051,0.6562072862230544,-0.20014144169936732,0.3228609245975307,0.0562285153352754,,,,0.9533305272019363,0.08543166435165184,0.7666666666666667,0.012246902441857221,0.23322307983110432,-0.0912885526686682,0.13415594928213348,0.04475378778944294,,,,0.9484705428670945,0.10326368138685585,0.7352941176470589,0.1393959082488021,1.098026021312633,-0.14477222098097864,0.9628636440351156,0.05509364125475053,,,,0.11261261261261261,0.24324324324324328,34.0,32.0,0.26126126126126126,0.7657657657657658,29.0,4.0,0.0045,0.588,-0.042764377894617886,0.008978619297044355,0.06686429993930433,,,
