month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score
2015-01,0.5143378825317194,0.0,0.875,0.3749999999999998,0.44375000000000003,-0.3749999999999998
2015-02,0.41985569753971447,0.0,0.8070175438596491,0.03508771929824517,0.49473684210526325,-0.03508771929824517
2015-03,0.655629615992055,0.0,0.896551724137931,0.482758620689655,0.42758620689655175,-0.482758620689655
2015-04,0.43242244040753325,0.0,0.8135593220338984,0.06779661016949157,0.48983050847457626,-0.06779661016949157
2015-05,0.38115170205847143,0.0,0.7333333333333333,0.0,0.5,-0.0
2015-06,0.5697575228218805,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2015-07,0.7241162778224963,0.0,0.9344262295081968,0.6721311475409836,0.3991803278688525,-0.6721311475409836
2015-08,0.7768633033378776,0.0,0.9344262295081968,0.6721311475409836,0.3991803278688525,-0.6721311475409836
2015-09,0.6945101555904806,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2015-10,0.6053253695704026,0.0,0.819672131147541,0.0983606557377048,0.4852459016393443,-0.0983606557377048
2015-11,0.4106369462703497,0.0,0.6885245901639344,0.0,0.5,-0.0
2015-12,0.4599180645146448,0.0,0.7540983606557377,0.0,0.5,-0.0
2016-01,0.4229478746270462,0.0,0.6885245901639344,0.0,0.5,-0.0
2016-02,0.5585029266235012,0.0,0.7868852459016393,0.0,0.5,-0.0
2016-03,0.4321478995827062,0.0,0.6885245901639344,0.0,0.5,-0.0
2016-04,0.6260087335007787,0.0,0.8360655737704918,0.180327868852459,0.47295081967213115,-0.180327868852459
2016-05,0.32447319865549895,0.0,0.47540983606557374,0.0,0.5,-0.0
2016-06,0.7145997640999161,0.0,0.8852459016393442,0.426229508196721,0.4360655737704918,-0.426229508196721
2016-07,0.26720311670667923,0.0,0.3770491803278688,0.0,0.5,-0.0
2016-08,0.5680457553342378,0.0,0.7540983606557377,0.0,0.5,-0.0
2016-09,0.19638909740920402,0.0,0.11475409836065574,0.0,0.5,-0.0
2016-10,0.19862867198488765,0.0,0.14754098360655737,0.0,0.5,-0.0
2016-11,0.3859914445858078,0.0,0.5901639344262295,0.0,0.5,-0.0
2016-12,0.5450611961710332,0.0,0.7868852459016393,0.0,0.5,-0.0
2017-01,0.42196856117678183,0.0,0.6557377049180327,0.0,0.5,-0.0
2017-02,0.5424870737807125,0.0,0.8032786885245902,0.016393442622950616,0.4975409836065574,-0.016393442622950616
2017-03,0.44089004573625046,0.0,0.7377049180327869,0.0,0.5,-0.0
2017-04,0.3446947445015462,0.0,0.5409836065573771,0.0,0.5,-0.0
2017-05,0.18780448465469887,0.0,0.04918032786885246,0.0,0.5,-0.0
2017-06,0.11641042653854661,0.0,0.01639344262295082,0.0,0.5,-0.0
2017-07,0.15336725101768273,0.0,0.03278688524590164,0.0,0.5,-0.0
2017-08,0.16283336231123793,0.0,0.06557377049180328,0.0,0.5,-0.0
2017-09,0.211851847588448,0.0,0.29508196721311475,0.0,0.5,-0.0
2017-10,0.232953492670984,0.0,0.36065573770491804,0.0,0.5,-0.0
2017-11,0.24202979839869584,0.0,0.36065573770491804,0.0,0.5,-0.0
2017-12,0.33282964903313944,0.0,0.5081967213114754,0.0,0.5,-0.0
2018-01,0.44934283585036183,0.0,0.7540983606557377,0.0,0.5,-0.0
2018-02,0.4418242518269089,0.0,0.7377049180327869,0.0,0.5,-0.0
2018-03,0.2991114252402256,0.0,0.4426229508196721,0.0,0.5,-0.0
2018-04,0.5344348659155614,0.0,0.8032786885245902,0.016393442622950616,0.4975409836065574,-0.016393442622950616
2018-05,0.4006245233726983,0.0,0.5737704918032787,0.0,0.5,-0.0
2018-06,0.44263874162059863,0.0,0.7213114754098361,0.0,0.5,-0.0
2018-07,0.6411250040445242,0.0,0.9180327868852459,0.5901639344262294,0.41147540983606556,-0.5901639344262294
2018-08,0.6189115655444286,0.0,0.8852459016393442,0.426229508196721,0.4360655737704918,-0.426229508196721
2018-09,0.5749155274631625,0.0,0.8524590163934426,0.26229508196721263,0.4606557377049181,-0.26229508196721263
2018-10,0.4540860597281298,0.0,0.6885245901639344,0.0,0.5,-0.0
2018-11,0.6957392921442919,0.0,0.9508196721311475,0.7540983606557372,0.3868852459016394,-0.7540983606557372
2018-12,0.3468093628339236,0.0,0.39344262295081966,0.0,0.5,-0.0
2019-01,0.49072326761144397,0.0,0.7049180327868853,0.0,0.5,-0.0
2019-02,0.19636854428183848,0.0,0.09836065573770492,0.0,0.5,-0.0
2019-03,0.20372632388131137,0.0,0.16393442622950818,0.0,0.5,-0.0
2019-04,0.2656596471364897,0.0,0.2786885245901639,0.0,0.5,-0.0
2019-05,0.24008539144149166,0.0,0.21311475409836064,0.0,0.5,-0.0
2019-06,0.255315170524844,0.0,0.2459016393442623,0.0,0.5,-0.0
2019-07,0.20759224891550673,0.0,0.16393442622950818,0.0,0.5,-0.0
2019-08,0.290007127177015,0.0,0.29508196721311475,0.0,0.5,-0.0
2019-09,0.23659973179446364,0.0,0.19672131147540983,0.0,0.5,-0.0
2019-10,0.22355330175656288,0.0,0.18032786885245902,0.0,0.5,-0.0
2019-11,0.32004309676549597,0.0,0.3442622950819672,0.0,0.5,-0.0
2019-12,0.38367381290163705,0.0,0.4426229508196721,0.0,0.5,-0.0
2020-01,0.26173319956172175,0.0,0.2786885245901639,0.0,0.5,-0.0
2020-02,0.29621156667379134,1.0,0.3442622950819672,0.0,0.5,-0.0
2020-03,0.4457198539593331,1.0,0.6557377049180327,0.0,0.5,-0.0
2020-04,0.31594844628686336,0.0,0.3770491803278688,0.0,0.5,-0.0
2020-05,0.19372742394619583,0.0,0.08196721311475409,0.0,0.5,-0.0
2020-06,0.2826168506799039,0.0,0.3442622950819672,0.0,0.5,-0.0
2020-07,0.4716512222731824,0.0,0.7377049180327869,0.0,0.5,-0.0
2020-08,0.23364960190722572,0.0,0.22950819672131148,0.0,0.5,-0.0
2020-09,0.3509416609551926,0.0,0.5245901639344263,0.0,0.5,-0.0
2020-10,0.47454277792060146,0.0,0.7868852459016393,0.0,0.5,-0.0
2020-11,0.3905963386055553,0.0,0.5737704918032787,0.0,0.5,-0.0
2020-12,0.16465550636241819,0.0,0.06557377049180328,0.0,0.5,-0.0
2021-01,0.3539377318010079,0.0,0.5573770491803278,0.0,0.5,-0.0
2021-02,0.6605233862027197,0.0,0.9672131147540983,0.8360655737704914,0.3745901639344263,-0.8360655737704914
2021-03,0.22131066651957487,0.0,0.21311475409836064,0.0,0.5,-0.0
2021-04,0.8097079609732659,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2021-05,0.7337530352992157,0.0,0.9836065573770492,0.9180327868852456,0.36229508196721316,-0.9180327868852456
2021-06,0.6982064218019362,0.0,0.9508196721311475,0.7540983606557372,0.3868852459016394,-0.7540983606557372
2021-07,0.49673034971114516,0.0,0.8032786885245902,0.016393442622950616,0.4975409836065574,-0.016393442622950616
2021-08,0.6975640865708151,0.0,0.9508196721311475,0.7540983606557372,0.3868852459016394,-0.7540983606557372
2021-09,0.4784002305627228,0.0,0.7704918032786885,0.0,0.5,-0.0
2021-10,0.47232430093008215,0.0,0.7377049180327869,0.0,0.5,-0.0
2021-11,0.601740661673769,1.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2021-12,0.8128897515105935,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2022-01,0.2384572262427713,0.0,0.26229508196721313,0.0,0.5,-0.0
2022-02,0.7981226141155374,0.0,0.9672131147540983,0.8360655737704914,0.3745901639344263,-0.8360655737704914
2022-03,0.8430300141003911,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2022-04,0.8831462234587977,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2022-05,0.7730654826510296,0.0,0.9180327868852459,0.5901639344262294,0.41147540983606556,-0.5901639344262294
2022-06,0.9501333669562461,1.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2022-07,0.9395231979307749,1.0,0.9836065573770492,0.9180327868852456,0.36229508196721316,-0.9180327868852456
2022-08,0.5788850157495271,0.0,0.7377049180327869,0.0,0.5,-0.0
2022-09,0.6194712152886387,0.0,0.7704918032786885,0.0,0.5,-0.0
2022-10,0.7664066051856889,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2022-11,0.5824230552376514,0.0,0.7049180327868853,0.0,0.5,-0.0
2022-12,0.5244360975409675,0.0,0.639344262295082,0.0,0.5,-0.0
2023-01,0.6772198665313809,0.0,0.7868852459016393,0.0,0.5,-0.0
2023-02,0.3632949562780798,0.0,0.39344262295081966,0.0,0.5,-0.0
2023-03,0.5180234373618309,0.0,0.6065573770491803,0.0,0.5,-0.0
2023-04,0.25986614012166265,0.0,0.21311475409836064,0.0,0.5,-0.0
2023-05,0.38705233365281394,0.0,0.4262295081967213,0.0,0.5,-0.0
2023-06,0.2537126978920978,0.0,0.19672131147540983,0.0,0.5,-0.0
2023-07,0.2720791467393387,0.0,0.2786885245901639,0.0,0.5,-0.0
2023-08,0.2929634381036685,0.0,0.32786885245901637,0.0,0.5,-0.0
2023-09,0.3601509217429711,0.0,0.4426229508196721,0.0,0.5,-0.0
