name,model_name,rank_threshold,protection_fraction,vix_threshold,vix_fraction,vol_cap,dd_start,dd_fraction,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD15Pass
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.03_df0.50,none,2.0,0.0,20.0,0.5,0.18,-0.03,0.5,129.0,0.11084902421629539,0.1265050218092309,0.8966842741997754,1.6188985446476787,-0.1532809809258534,0.7231753316474167,3.095933739444263,0.6201550387596899,0.1311360516354835,0.3848834044269719,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.03_df0.75,none,2.0,0.0,20.0,0.5,0.18,-0.03,0.75,129.0,0.10784666707751467,0.11778467059938211,0.9310218919874302,1.702084127909816,-0.1258893703777597,0.856678103591242,3.0071583409564604,0.6046511627906976,0.12402110266275357,0.5004840706846297,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.03_df1.00,none,2.0,0.0,20.0,0.5,0.18,-0.03,1.0,129.0,0.10393559183387358,0.10953710010069466,0.9601492501430652,1.7712567461937363,-0.1021559920479751,1.0174204150948163,2.8949772664372553,0.6434108527131783,0.13593290280632353,0.5991241447062413,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.05_df0.50,none,2.0,0.0,20.0,0.5,0.18,-0.05,0.5,129.0,0.10738569371652096,0.12760754467887206,0.8653771128205271,1.541356905904965,-0.16073838547683839,0.6680774688507414,2.993734396333866,0.6124031007751938,0.13551480322296272,0.3717947071119001,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.05_df0.75,none,2.0,0.0,20.0,0.5,0.18,-0.05,0.75,129.0,0.10482375544816658,0.12116905706056773,0.8855876731338022,1.5889349914057422,-0.13869884927908327,0.755765141477455,2.9201138868175516,0.6046511627906976,0.13026880347360906,0.47487321789016423,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.05_df1.00,none,2.0,0.0,20.0,0.5,0.18,-0.05,1.0,129.0,0.10305298627526893,0.11463571975391083,0.9153228324177078,1.6602975717014898,-0.1193873296360376,0.8631819355490629,2.8701925196373224,0.6434108527131783,0.13523536548536244,0.5777737190214035,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.07_df0.50,none,2.0,0.0,20.0,0.5,0.18,-0.07,0.5,129.0,0.1068472797904434,0.13061599123008666,0.8447122027393927,1.4759018720611374,-0.16819256949733274,0.6352675395219396,2.9781241424719616,0.6046511627906976,0.14381911978373701,0.27924616980786177,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.07_df0.75,none,2.0,0.0,20.0,0.5,0.18,-0.07,0.75,129.0,0.1035972571185737,0.12436901708784251,0.8569036234827396,1.5226796817796346,-0.14185859851554516,0.7302853559999135,2.885453523444526,0.6046511627906976,0.13659905059422453,0.4405948103883629,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.07_df1.00,none,2.0,0.0,20.0,0.5,0.18,-0.07,1.0,129.0,0.09939593383214929,0.11906340822830665,0.8574579229426679,1.5283813006958977,-0.13629651213669758,0.729262490095571,2.7695350038671585,0.6356589147286822,0.14457698619846676,0.5272710093405018,True
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.10_df0.50,none,2.0,0.0,20.0,0.5,0.18,-0.1,0.5,129.0,0.10273048506829396,0.13202316598101604,0.808727247213458,1.3903428725969984,-0.18669385571087416,0.5502617355944956,2.8611843709862335,0.5968992248062015,0.1458504886804163,0.26231070878699303,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.10_df0.75,none,2.0,0.0,20.0,0.5,0.18,-0.1,0.75,129.0,0.10017665903031281,0.1307553494829208,0.7974378262740726,1.3658459662854523,-0.1692158059312332,0.5920053299927733,2.7907509987809362,0.5968992248062015,0.14511368492281612,0.28078415495292514,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.18_dd0.10_df1.00,none,2.0,0.0,20.0,0.5,0.18,-0.1,1.0,129.0,0.09602254259995924,0.1296373997878096,0.7738164092598646,1.3152087924670142,-0.1569411202837403,0.6118380092250911,2.6795352922800935,0.6124031007751938,0.1471415439707097,0.3000847170653986,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.22_dd0.03_df0.50,none,2.0,0.0,20.0,0.5,0.22,-0.03,0.5,129.0,0.11418578965251092,0.13386869721663439,0.8770424087798785,1.5620802023963152,-0.16287599001983488,0.7010596812863914,3.1973808016316343,0.6124031007751938,0.129121992091787,0.37956264090878294,False
none_rq2.00_pf0.00_vx20_vf0.50_vc0.22_dd0.03_df0.75,none,2.0,0.0,20.0,0.5,0.22,-0.03,0.75,129.0,0.11288631285371586,0.12471828557518753,0.9226139255152935,1.669931182594049,-0.13682354094538718,0.8250503683337226,3.1575200166655586,0.6124031007751938,0.12472026639944185,0.5240850490255565,True
