month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,0.019866273428600867,0.021943754722528075,1.0198662734286008,0.0,1.3,0.0019500000000000001,0.00012748129392720927,0.05521652824118857,1.3,,0.5228366104437587,0.5222008017018227,0.19173840853117718,0.06322417932324136
2007-05,0.07269129861026442,0.07342749936849793,1.0940016772529368,0.0,0.24182827431468368,0.0007254848229440511,1.0715935289463351e-05,0.07576076087572939,1.3,,0.7666050356163371,0.27093212453452586,0.1852763584986934,0.0771864813504437
2007-06,0.009377641161275055,0.009522107835092448,1.104260832412048,0.0,0.041751845050236706,0.00012525553515071013,1.9211138666683116e-05,0.09081590076465597,1.3,,0.7474629399790165,0.266106617757173,0.19733391777991283,0.08909652448389774
2007-07,0.09133500016206708,0.09137095404390153,1.2051184957193668,0.0,0.01059133720795534,3.177401162386602e-05,4.179870210583331e-06,0.0852726033373686,1.3,,0.7565468205280343,0.2675260192686028,0.1916853567585343,0.08424180344482851
2007-08,-0.012205985445934809,-0.012122325291836412,1.1904088368999894,-0.012205985445934764,0.02562670972717599,7.688012918152798e-05,6.780024916868077e-06,0.10343859126478644,1.3,,0.7491612023665615,0.26999341664883675,0.1953123534804766,0.08553302750412528
2007-09,0.04776848717167668,0.047811826278403725,1.247272866154497,0.0,0.012048637820381028,3.6145913461143084e-05,7.193193265908504e-06,0.10307278057100948,1.3,,0.7548153489173981,0.27349506915641636,0.19109134127557123,0.08059824065061431
2007-10,0.05268684639316017,0.053548803720026725,1.3129877400639356,0.0,0.28081891105367146,0.0008424567331610144,1.9500593705540886e-05,0.06996320571961714,1.3,,0.5113746082595714,0.5488733875566094,0.18775602828189236,0.051995975901926846
2007-11,-0.06572498583389161,-0.06475592488338261,1.22669163944816,-0.06572498583389175,0.3151433893553324,0.0009454301680659974,2.3630782442992104e-05,0.10867483661953466,1.3,,0.7862417944508111,0.22043794328354802,0.18364761115752812,0.1096726511081128
2007-12,0.06768745637238452,0.06955221408215963,1.3097232762756763,-0.0024862865727142136,0.5741330383172236,0.001722399114951671,0.00014235859482342877,0.175246331880979,0.8559380295724227,,0.1346558322481027,0.12289145761161656,0.14307579814943697,0.45531494156326646
2008-01,-0.01976220364017176,-0.019666320779543525,1.2838402581776434,-0.02219935571132825,0.028719488700799024,8.615846610239707e-05,9.72439452583651e-06,0.17939352647154763,0.8361505732693786,,0.1125032322416737,0.11855058091905192,0.15632440842251083,0.4487723516861421
2008-02,0.07057183016308216,0.07064766867368946,1.3744432148342836,0.0,0.023321289990774513,6.996386997232354e-05,5.8746406349756145e-06,0.17643347125583875,0.8501788177283623,,0.10895558834911058,0.12143079391459846,0.1649155640037335,0.4548768714609198
2008-03,0.007882935076203877,0.007966920619643027,1.3852778614627512,0.0,0.022101383827981026,6.630415148394309e-05,1.768139195520563e-05,0.180053873276275,0.8330839946433127,,0.10779094897007609,0.11793272480340891,0.16024993562327525,0.4471103852465525
2008-04,0.07634911362202593,0.07666574779994541,1.4910425983056481,0.0,0.0992383573914898,0.0002977150721744694,1.891910574501654e-05,0.147124374965909,1.0195455378128697,,0.14319838888739142,0.23110703340879116,0.1945593188487406,0.4506807966679466
2008-05,0.07007146327981766,0.07016580390519499,1.5955221349814661,0.0,0.025018639497201706,7.505591849160511e-05,1.928470688572065e-05,0.15289991041221007,0.9810339299454651,,0.14707855123227978,0.21709820155250223,0.18062687377380984,0.4362303033868733
2008-06,0.07188988535101001,0.07197153770729198,1.7102240383402822,0.0,0.024715028913625564,7.414508674087669e-05,7.507269541088102e-06,0.15259778890270365,0.9829762349678605,,0.14619400058838708,0.20718386488395635,0.18738137990007261,0.4422169895954445
2008-07,-0.09430583802575378,-0.0941628363148913,1.548939927192813,-0.09430583802575376,0.044770791175843726,0.00013431237352753118,8.689337334954029e-06,0.1499385007528495,1.0004101631458344,,0.13307411876933437,0.2160994841459336,0.20853122134231747,0.44270533888824903
