Config,mode,level_threshold,shock_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Cal_Months,Cal_CAGR,Cal_Volatility,Cal_Sharpe,Cal_Sortino,Cal_MDD,Cal_Calmar,Cal_FinalMultiple,Cal_PositiveMonths,Validation_Months,Validation_CAGR,Validation_Volatility,Validation_Sharpe,Validation_Sortino,Validation_MDD,Validation_Calmar,Validation_FinalMultiple,Validation_PositiveMonths,Cal_CAGRDelta,Cal_SharpeDelta,Cal_MDDDelta,Validation_CAGRDelta,Validation_SharpeDelta,Validation_MDDDelta,AvgTurnover,AvgStress,Rank_Cal_CAGR,Rank_Cal_Sharpe,Rank_Cal_MDD,Rank_Cal_Calmar,Rank_Validation_CAGR,Rank_Validation_Sharpe,Rank_Validation_MDD,Rank_Validation_Calmar,MultiObjectiveScore,Selected
robust_mean_lt0.70_st0.00_rt0.15_bs0.00_rb0.10,robust_mean,0.7,0.0,0.15,0.0,0.1,0.04,129.0,0.12611906257985805,0.13692062188095133,0.9386413219940971,1.7649842572469823,-0.12914309033315086,0.9765838981745619,3.5853481527279567,0.6124031007751938,60.0,0.020954179338977585,0.07055832134631583,0.3290463420306899,0.481629547099374,-0.10558498184243381,0.19845795276309133,1.1092546461125588,0.55,-0.001954782885296602,-0.00855920110008701,0.0008725300039386097,-0.0024528616239345435,-0.03253051240787064,0.00013553171639202333,0.11319015500085548,0.13918877629657153,0.45925925925925926,0.5518518518518518,0.7104938271604938,0.5493827160493827,0.5049382716049383,0.528395061728395,0.6302469135802469,0.5123456790123457,0.5558641975308641,False
robust_mean_lt0.70_st0.00_rt0.15_bs0.00_rb0.15,robust_mean,0.7,0.0,0.15,0.0,0.15,0.04,129.0,0.12599561264655468,0.1373281112297269,0.935417949412393,1.7640741155850725,-0.12914309033315075,0.9756279822755014,3.5811252190089076,0.6046511627906976,60.0,0.01968067051310607,0.07057828792018042,0.3112550288748354,0.455594076730028,-0.10558498184243381,0.18639649474463948,1.1023536224578396,0.5333333333333333,-0.0020782328185999788,-0.011782573681791142,0.0008725300039387207,-0.00372637044980606,-0.05032182556372511,0.00013553171639202333,0.11036375761952226,0.13918877629657153,0.4185185185185185,0.28641975308641976,0.7203703703703703,0.4888888888888889,0.24012345679012345,0.24382716049382716,0.6302469135802469,0.25864197530864197,0.41087962962962965,False
robust_mean_lt0.70_st0.00_rt0.15_bs0.00_rb0.20,robust_mean,0.7,0.0,0.15,0.0,0.2,0.04,129.0,0.12553040230983692,0.13703437355974293,0.9341123287997513,1.757731689227071,-0.12914309033315086,0.972025696349729,3.565251960943019,0.6046511627906976,60.0,0.01968067051310607,0.07057828792018042,0.3112550288748354,0.455594076730028,-0.10558498184243381,0.18639649474463948,1.1023536224578396,0.5333333333333333,-0.0025434431553177372,-0.013088194294432864,0.0008725300039386097,-0.00372637044980606,-0.05032182556372511,0.00013553171639202333,0.10983671396317277,0.13918877629657153,0.27901234567901234,0.23209876543209876,0.7104938271604938,0.31851851851851853,0.24012345679012345,0.24382716049382716,0.6302469135802469,0.25864197530864197,0.36412037037037037,False
robust_mean_lt0.70_st0.00_rt0.15_bs0.50_rb0.10,robust_mean,0.7,0.0,0.15,0.5,0.1,0.04,129.0,0.12579736899440697,0.13670239336290135,0.9378134750756325,1.7631694241156943,-0.1290303325130362,0.974944158821705,3.5743532051074456,0.6124031007751938,60.0,0.021257621861194842,0.07054068177439667,0.3333329508001437,0.48782851191807153,-0.10558012219448598,0.20134113713220386,1.1109040598464222,0.55,-0.0022764764707476903,-0.009387048018551614,0.0009852878240532714,-0.002149419101717287,-0.028243903638416834,0.00014039136433985355,0.11171251163192464,0.13918877629657153,0.36419753086419754,0.454320987654321,0.7425925925925926,0.43580246913580245,0.5728395061728395,0.6753086419753086,0.6895061728395062,0.5753086419753086,0.5637345679012347,False
robust_mean_lt0.70_st0.00_rt0.15_bs0.50_rb0.15,robust_mean,0.7,0.0,0.15,0.5,0.15,0.04,129.0,0.1257836366402938,0.13713445056597628,0.9351588238474251,1.763730481395319,-0.1290303325130362,0.9748377314891102,3.573884537573599,0.6046511627906976,60.0,0.020119870166129594,0.0705481447143683,0.31747437760728364,0.4646576061250685,-0.10558012219448598,0.1905649448772884,1.1047297123155937,0.5333333333333333,-0.002290208824860862,-0.012041699246759019,0.0009852878240532714,-0.0032871707967825348,-0.04410247683127688,0.00014039136433985355,0.10911774573632463,0.13918877629657153,0.3567901234567901,0.2679012345679012,0.7425925925925926,0.4271604938271605,0.2993827160493827,0.295679012345679,0.6895061728395062,0.31049382716049384,0.42368827160493827,False
robust_mean_lt0.70_st0.00_rt0.15_bs0.50_rb0.20,robust_mean,0.7,0.0,0.15,0.5,0.2,0.04,129.0,0.1252877259146361,0.1368166055034335,0.9337921257341893,1.756949419361113,-0.1290303325130362,0.970994366010628,3.55699704689436,0.6046511627906976,60.0,0.020119870166129594,0.0705481447143683,0.31747437760728364,0.4646576061250685,-0.10558012219448598,0.1905649448772884,1.1047297123155937,0.5333333333333333,-0.002786119550518551,-0.013408397359994773,0.0009852878240532714,-0.0032871707967825348,-0.04410247683127688,0.00014039136433985355,0.1085910440434779,0.13918877629657153,0.2345679012345679,0.21851851851851853,0.7425925925925926,0.2876543209876543,0.2993827160493827,0.295679012345679,0.6895061728395062,0.31049382716049384,0.3847993827160494,False
robust_mean_lt0.70_st0.00_rt0.25_bs0.00_rb0.10,robust_mean,0.7,0.0,0.25,0.0,0.1,0.04,129.0,0.12386992561310595,0.13744045129558843,0.9209228207450428,1.7225640492098588,-0.13272125413407931,0.9333088842572911,3.509114468557564,0.6124031007751938,60.0,0.01551489687866292,0.07122714378405252,0.25162205823363226,0.357103610544869,-0.11281580697003568,0.13752414041397354,1.0800192414777114,0.55,-0.00420391985204871,-0.026277702349141285,-0.002705633796989848,-0.007892144084249209,-0.10995479620492826,-0.0070952934112098465,0.14851556852345854,0.13918877629657153,0.11728395061728394,0.09382716049382717,0.07962962962962963,0.07777777777777778,0.08024691358024691,0.08024691358024691,0.08580246913580247,0.08271604938271605,0.08719135802469136,False
robust_mean_lt0.70_st0.00_rt0.25_bs0.00_rb0.15,robust_mean,0.7,0.0,0.25,0.0,0.15,0.04,129.0,0.12475230720873909,0.13645932274855632,0.9323658973543711,1.7528084228095433,-0.12858059672940592,0.970226537922177,3.5388454521356074,0.6124031007751938,60.0,0.018458456110357346,0.07051400984058409,0.2944532823343774,0.4274915550046122,-0.10701611154463364,0.17248296395686927,1.0957628998018107,0.55,-0.003321538256415568,-0.014834625739812979,0.0014350236076835499,-0.004948584852554783,-0.06712357210418313,-0.001295597985807806,0.12226778926206006,0.13918877629657153,0.18518518518518517,0.18271604938271604,0.8320987654320988,0.2679012345679012,0.15679012345679014,0.15555555555555556,0.17901234567901234,0.16419753086419753,0.2654320987654321,False
robust_mean_lt0.70_st0.00_rt0.25_bs0.00_rb0.20,robust_mean,0.7,0.0,0.25,0.0,0.2,0.04,129.0,0.125692988703068,0.13694206217521207,0.935665642938709,1.769795110236883,-0.12858059672940603,0.9775424278640197,3.570792238382738,0.6046511627906976,60.0,0.01861555822126748,0.07003912116992829,0.2981760854593026,0.43537846168150807,-0.10562895949999618,0.17623536489790145,1.0966082940379533,0.5333333333333333,-0.0023808567620866583,-0.011534880155475102,0.0014350236076834388,-0.004791482741644648,-0.06340076897925795,9.155405882965706e-05,0.11525551787739405,0.13918877629657153,0.32098765432098764,0.29876543209876544,0.825925925925926,0.5950617283950618,0.16419753086419753,0.1728395061728395,0.4104938271604938,0.18888888888888888,0.372145061728395,False
robust_mean_lt0.70_st0.00_rt0.25_bs0.50_rb0.10,robust_mean,0.7,0.0,0.25,0.5,0.1,0.04,129.0,0.12461819623525638,0.1362848730311534,0.9324732223075544,1.7610761176697725,-0.12855483314449134,0.9693777603459661,3.534312041566424,0.6046511627906976,60.0,0.018286157183181162,0.06957066375599169,0.29506923578535776,0.42946081035108286,-0.10562087027350442,0.17313015065894932,1.0948363283681253,0.5333333333333333,-0.003455649229898272,-0.01472730078662976,0.001460787192598123,-0.005120883779730967,-0.06650761865320276,9.964328532141575e-05,0.14144149963381797,0.13918877629657153,0.1728395061728395,0.18518518518518517,0.8364197530864198,0.24567901234567902,0.15185185185185185,0.1580246913580247,0.45,0.16790123456790124,0.29598765432098767,False
