signal_month,p_current,p_h1,p_h3,p_h6,train_rows,feature_count,risk_state,risk_state_return,fit_method,converged
2011-03,0.01,0.06666666666973906,0.06666666666973906,0.06666666666973906,60,6,1,-0.00036515764520817157,statsmodels_tvtp_markov_regression,True
2011-04,0.01,0.8655737704918033,0.8655737704918033,0.06557377049180328,61,6,1,0.0028573454823960748,statsmodels_tvtp_markov_regression,True
2011-05,0.99,0.06774193548387096,0.06774193548387096,0.867741935483871,62,6,1,0.002673167204580687,statsmodels_tvtp_markov_regression,True
2011-06,0.01,0.06984126984126984,0.06984126984126984,0.06984126984126984,63,6,1,-0.004362151330390556,statsmodels_tvtp_markov_regression,True
2011-07,0.01,0.06875,0.06875,0.06875,64,6,1,0.002476550287334387,statsmodels_tvtp_markov_regression,True
2011-08,0.99,0.8707692307692309,0.8707692307692309,0.8707692307692309,65,6,1,0.0018192263602163276,statsmodels_tvtp_markov_regression,True
2011-09,0.99,0.07272727272727274,0.07272727272727274,0.8727272727272728,66,6,1,-0.0015966512513332473,statsmodels_tvtp_markov_regression,True
2011-10,0.99,0.8716417910447761,0.8716417910447761,0.8716417910447761,67,6,1,-0.006256531919153873,statsmodels_tvtp_markov_regression,True
2011-11,0.14959459806057213,0.8349231008267947,0.7004973427169185,0.6872192567299116,68,6,1,0.0069880386496857195,statsmodels_tvtp_markov_regression,False
2011-12,0.99,0.8724637681159421,0.8724637681159421,0.8724637681159421,69,6,1,-0.005541215129020132,statsmodels_tvtp_markov_regression,False
2012-01,0.99,0.8713622450615788,0.8713622505601065,0.8713622505601065,70,6,1,-0.004282872521440344,statsmodels_tvtp_markov_regression,True
2012-02,0.99,0.07042253521126761,0.07042253521126761,0.8704225352112677,71,6,1,-0.005717604007468433,statsmodels_tvtp_markov_regression,True
2012-03,0.01,0.07222222222222223,0.07222222222222223,0.07222222222222223,72,6,1,0.003738162971851559,statsmodels_tvtp_markov_regression,True
2012-04,0.99,0.07397260273972603,0.07397260273972603,0.8739726027397261,73,6,1,0.007492123089286153,statsmodels_tvtp_markov_regression,True
2012-05,0.99,0.07567567813846561,0.07567567813846561,0.8756756732128858,74,6,1,-0.0039524476813108025,statsmodels_tvtp_markov_regression,True
2012-06,0.09275995530819876,0.6318327117958502,0.535546177079411,0.3881850400113412,75,6,1,0.007922071139154897,statsmodels_tvtp_markov_regression,False
2012-07,0.01,0.8733913145815866,0.8285652125996987,0.2010927027097037,76,6,1,0.007874227671896293,statsmodels_tvtp_markov_regression,False
2012-08,0.99,0.10034298877105165,0.12419833154591714,0.8012620075149699,77,6,1,0.007901339037367273,statsmodels_tvtp_markov_regression,False
2012-09,0.99,0.3740030641033742,0.12687676345935245,0.0909591700160293,78,6,1,0.007988484330505162,statsmodels_tvtp_markov_regression,False
2012-10,0.99,0.8676380915609152,0.856563759141983,0.8410974024684534,79,6,1,0.007059883342944142,statsmodels_tvtp_markov_regression,False
2012-11,0.25437892081283553,0.4668279798337743,0.43327333900290504,0.4314172362327394,80,6,1,0.006265509745666881,statsmodels_tvtp_markov_regression,False
2012-12,0.99,0.4355421614449596,0.44883595292512235,0.44884917631167076,81,6,1,0.006827492010398554,statsmodels_tvtp_markov_regression,False
2013-01,0.99,0.39658851024471103,0.1263511633380016,0.07671669152651123,82,6,1,0.006326769740073364,statsmodels_tvtp_markov_regression,False
2013-02,0.8726484598531137,0.6090555316528937,0.646954347751357,0.6535717274679839,83,6,1,0.006574042963016427,statsmodels_tvtp_markov_regression,True
2013-03,0.5862108790784293,0.5195741194728815,0.5247747598866277,0.5299708127761784,84,6,1,0.006142413366903185,statsmodels_tvtp_markov_regression,False
2013-04,0.01,0.07529411764705883,0.07529411764705883,0.07529411764705883,85,6,1,0.005826624482843689,statsmodels_tvtp_markov_regression,True
2013-05,0.0674150824328949,0.8322504488349858,0.7015492541379466,0.4562215889181948,86,6,1,0.0050483288948073735,statsmodels_tvtp_markov_regression,False
2013-06,0.99,0.5171271392444328,0.6058563970195632,0.6302021364190714,87,6,1,0.004192300373800376,statsmodels_tvtp_markov_regression,True
