Period,Target,Feature,AUC,DirectionalAUC,HighMeansRisk,Observations,Events
calibration,final_loss3,vkospi_raw_close,0.6385941644562334,0.6385941644562334,True,129,13
calibration,final_loss3,vkospi_raw_change,0.504973474801061,0.504973474801061,True,129,13
calibration,final_loss3,vkospi_raw_return_pct,0.7141909814323608,0.7141909814323608,True,129,13
calibration,final_loss3,vkospi_raw_open,0.6093481989708405,0.6093481989708405,True,117,11
calibration,final_loss3,vkospi_raw_high,0.6106346483704974,0.6106346483704974,True,117,11
calibration,final_loss3,vkospi_raw_low,0.6119210977701544,0.6119210977701544,True,117,11
calibration,final_loss3,vkospi_return_5,0.4688328912466843,0.5311671087533156,False,129,13
calibration,final_loss3,vkospi_return_21,0.4840848806366048,0.5159151193633952,False,129,13
calibration,final_loss3,vkospi_return_63,0.4224137931034483,0.5775862068965517,False,129,13
calibration,final_loss3,vkospi_mean_ratio_5,0.6007957559681698,0.6007957559681698,True,129,13
calibration,final_loss3,vkospi_mean_ratio_21,0.5391246684350133,0.5391246684350133,True,129,13
calibration,final_loss3,vkospi_level_z_63,0.39655172413793105,0.603448275862069,False,129,13
calibration,final_loss3,vkospi_level_z_252,0.5623342175066314,0.5623342175066314,True,129,13
calibration,final_loss3,vkospi_return_vol_21,0.4263925729442971,0.5736074270557029,False,129,13
calibration,final_loss3,vkospi_positive_fraction_21,0.5106100795755968,0.5106100795755968,True,129,13
calibration,final_loss3,vkospi_intraday_range_21,0.5463121783876501,0.5463121783876501,True,117,11
calibration,final_loss3,vkospi_close_location_21,0.5368782161234992,0.5368782161234992,True,117,11
calibration,final_loss3,vkospi_month_mean,0.6339522546419099,0.6339522546419099,True,129,13
calibration,final_loss3,vkospi_month_max,0.5608919382504288,0.5608919382504288,True,117,11
calibration,final_loss3,vkospi_month_min,0.6295025728987993,0.6295025728987993,True,117,11
calibration,final_loss3,vkospi_month_range,0.41852487135506,0.58147512864494,False,117,11
calibration,final_loss3,vkospi_month_return,0.4708222811671088,0.5291777188328912,False,129,13
calibration,final_loss3,vkospi_oap_mom12m,0.5523872679045093,0.5523872679045093,True,129,13
calibration,final_loss3,vkospi_oap_mom6m,0.6286472148541115,0.6286472148541115,True,129,13
calibration,final_loss3,vkospi_oap_intmom,0.4847480106100796,0.5152519893899203,False,129,13
calibration,final_loss3,vkospi_oap_streversal,0.4840848806366048,0.5159151193633952,False,129,13
calibration,final_loss3,vkospi_oap_mrreversal,0.45225464190981435,0.5477453580901857,False,129,13
calibration,final_loss3,vkospi_oap_lrreversal,0.5125994694960212,0.5125994694960212,True,129,13
calibration,final_loss3,vkospi_oap_high52,0.4721485411140583,0.5278514588859418,False,129,13
calibration,final_loss3,vkospi_oap_realized_vol_21,0.4263925729442971,0.5736074270557029,False,129,13
calibration,final_loss3,vkospi_oap_max_return_21,0.45557029177718833,0.5444297082228117,False,129,13
calibration,final_loss3,vkospi_oap_return_skew_21,0.4781167108753316,0.5218832891246684,False,129,13
calibration,final_loss3,vkospi_oap_beta_21,0.31994047619047616,0.6800595238095238,False,103,7
calibration,final_loss3,vkospi_oap_residual_vol_21,0.5297619047619047,0.5297619047619047,True,103,7
calibration,final_loss3,vkospi_level_stress,0.4162371134020618,0.5837628865979382,False,105,8
calibration,final_loss3,vkospi_momentum_stress,0.34664948453608246,0.6533505154639175,False,105,8
calibration,final_loss3,vkospi_range_stress,0.2912371134020619,0.7087628865979381,False,105,8
calibration,final_loss3,vkospi_relative_vix_stress,0.44845360824742264,0.5515463917525774,False,105,8
locked,final_loss3,vkospi_raw_close,0.6155913978494624,0.6155913978494624,True,103,10
locked,final_loss3,vkospi_raw_change,0.7129032258064516,0.7129032258064516,True,103,10
locked,final_loss3,vkospi_raw_return_pct,0.5870967741935483,0.5870967741935483,True,103,10
locked,final_loss3,vkospi_raw_open,0.6236559139784946,0.6236559139784946,True,103,10
locked,final_loss3,vkospi_raw_high,0.635483870967742,0.635483870967742,True,103,10
locked,final_loss3,vkospi_raw_low,0.6080645161290323,0.6080645161290323,True,103,10
locked,final_loss3,vkospi_return_5,0.6397849462365591,0.6397849462365591,True,103,10
locked,final_loss3,vkospi_return_21,0.8139784946236559,0.8139784946236559,True,103,10
locked,final_loss3,vkospi_return_63,0.6559139784946236,0.6559139784946236,True,103,10
locked,final_loss3,vkospi_mean_ratio_5,0.6397849462365591,0.6397849462365591,True,103,10
locked,final_loss3,vkospi_mean_ratio_21,0.7419354838709677,0.7419354838709677,True,103,10
locked,final_loss3,vkospi_level_z_63,0.8301075268817204,0.8301075268817204,True,103,10
locked,final_loss3,vkospi_level_z_252,0.7913978494623656,0.7913978494623656,True,103,10
