month,reference_return,overlay_relative_return,return,gross_return,turnover,trade_cost,fx_cost,avg_stress,max_stress,avg_transfer,nav,drawdown,avg_early_warning,avg_confirmed_risk_off,avg_panic,avg_recovery,avg_right_tail_relief
2007-04,0.022418970912662702,0.0,0.02241897091266276,0.02241897091266276,1.4999999999999998,0.00225,0.00014709380068524147,0.0,0.0,0.0,1.0224189709126628,0.0,0.0003602069154989311,0.00872114003252,0.0,0.00025728542945992444,0.0
2007-05,0.0833692018263154,0.0,0.08336920182631546,0.08336920182631546,0.2816266036381635,0.0008448798109144905,1.197336121917153e-05,0.023583171884319326,0.18547082793254355,0.008254110159511763,1.1076572244497342,0.0,0.02220320773587301,0.00036789770947469455,0.0,0.0,0.0
2007-06,0.01032007565723683,-5.641252195254243e-05,0.010263080953789805,0.010263080953789805,0.05049606609493427,0.0001514881982848028,2.5280090882898092e-05,0.07789653996793507,0.39071176088812987,0.027263788988777276,1.119025200213312,0.0,0.0321605049877682,0.01338132896411659,0.0,0.0002084492636546114,0.0
2007-07,0.10488121423025405,0.0059327776645259345,0.11143622881999349,0.11143622881999349,0.567989637504466,0.0017039689125133975,0.0002569782657614602,0.24711848946823078,0.9129909748103596,0.08649147131388077,1.2437251484796217,0.0,0.06415127139713281,0.04042220671444881,0.01667196819079013,0.0,0.0
2007-08,-0.014005761066394843,0.008211811022520443,-0.00590896270697816,-0.00590896270697816,0.12443920223486288,0.00037331760670458866,4.065728203452523e-05,0.4593834616640267,0.9810738982254203,0.16078421158240935,1.2363760229595246,-0.005908962706978271,0.05316105604643102,0.14609146909616527,0.03728125759274525,0.0,0.0
2007-09,0.0530814332402168,0.002498477978627456,0.05571253401086884,0.05571253401086884,0.126223718687492,0.000378671156062476,5.8489622011747124e-05,0.12030977884414659,0.30513833992094874,0.042108422595451306,1.30525766418888,0.0,0.25134365455165153,0.031902854905303604,0.0017448477396715563,0.0007455469218035335,0.0
2007-10,0.060340339650808046,-4.218181599868753e-05,0.06029561256970495,0.06029561256970495,0.3088620716826192,0.0009265862150478576,5.892421472823883e-05,0.07511196843540009,0.35257826619945143,0.02628918895239003,1.3839589746124508,0.0,0.05570132429558893,0.05462363028052258,0.0034670969029323017,0.00032969553565991196,0.0
2007-11,-0.06999217596974312,0.005785205319770448,-0.06461188975873522,-0.06461188975873522,0.31938632092481795,0.0009581589627744539,4.0871518492724106e-05,0.20649169215993665,0.4129823464107849,0.07227209225597782,1.2945387699141788,-0.06461188975873522,0.06498074141808599,0.08798041037740888,0.017841432727338156,0.0011167019778445765,0.0
2007-12,0.06758875498054379,6.2939950575824355e-06,0.06759547437889113,0.06759547437889113,0.6176309448579724,0.0018528928345739174,0.00010439804368194447,0.0015820143956940503,0.020194281761609666,0.0005537050384929176,1.382043732168394,-0.0013838867186023451,0.11487219695774502,0.0025357924770152453,0.0,0.0,0.0
2008-01,-0.01976220364017176,0.0,-0.019762203640171783,-0.019762203640171783,0.026768616517792262,8.03058495533768e-05,6.6143661221611525e-06,0.06334154270206771,0.9295291116561546,0.022169539945723703,1.3547315024936593,-0.021118741707626176,0.0,0.0,0.0,0.0,0.06311115983425344
