target_month,signal_date,factor_name,score,p_up,realized_10d_return,realized_up
2005-03,2005-02-28,duration_aware_hsmm,0.9999999999947646,0.9999999999973823,-0.02216278181123421,0.0
2005-04,2005-03-31,duration_aware_hsmm,-6.924934451115287e-05,0.49996537532774443,-0.018993428434043946,0.0
2005-05,2005-04-29,duration_aware_hsmm,0.00093281125817166,0.5004664056290858,0.01760503486987597,1.0
2005-06,2005-05-31,duration_aware_hsmm,0.9999899219909751,0.9999949609954876,0.035485421339314316,1.0
2005-07,2005-06-30,duration_aware_hsmm,0.9999701724667343,0.9999850862333671,0.058332689484663414,1.0
2005-08,2005-07-29,duration_aware_hsmm,0.9999999999698501,0.9999999999849251,0.018978509628802653,1.0
2005-09,2005-08-31,duration_aware_hsmm,-4.088353994040886e-05,0.4999795582300298,0.08523092297808543,1.0
2005-10,2005-09-30,duration_aware_hsmm,0.9999999972062539,0.9999999986031269,-0.0425261821643923,0.0
2005-11,2005-10-31,duration_aware_hsmm,-0.0026191404867998984,0.49869042975660005,0.0885514646600376,1.0
2005-12,2005-11-30,duration_aware_hsmm,0.9999991691894898,0.9999995845947449,0.03133473937933129,1.0
2006-01,2005-12-29,duration_aware_hsmm,0.9999999394006298,0.9999999697003149,0.02412218903229424,1.0
2006-02,2006-01-31,duration_aware_hsmm,0.007962837986958201,0.5039814189934791,-0.04982009410462218,0.0
2006-03,2006-02-28,duration_aware_hsmm,2.2419274705550068e-07,0.5000001120963735,-0.029134967596506023,0.0
2006-04,2006-03-31,duration_aware_hsmm,0.9591958271255456,0.9795979135627728,0.05368594290902884,1.0
2006-05,2006-04-28,duration_aware_hsmm,0.999963881836348,0.999981940918174,-0.027702335687126545,0.0
2006-06,2006-05-30,duration_aware_hsmm,-0.0015698154289293428,0.49921509228553534,-0.07981989357347508,0.0
2006-07,2006-06-30,duration_aware_hsmm,-0.9649233119446035,0.01753834402769827,-0.030576291430277625,0.0
2006-08,2006-07-31,duration_aware_hsmm,-5.762414425747865e-06,0.49999711879278713,-0.0018989970921606814,0.0
2006-09,2006-08-31,duration_aware_hsmm,0.9989442904903197,0.9994721452451598,0.00518695850433204,1.0
2006-10,2006-09-29,duration_aware_hsmm,0.9947997986031774,0.9973998993015887,-0.010446503791070039,0.0
2006-11,2006-10-31,duration_aware_hsmm,0.2884621536977865,0.6442310768488932,0.030875367563899525,1.0
2006-12,2006-11-30,duration_aware_hsmm,0.9999631756913805,0.9999815878456902,-0.007515138408304645,0.0
2007-01,2006-12-28,duration_aware_hsmm,0.0576558652052541,0.5288279326026271,-0.030044770483844796,0.0
2007-02,2007-01-31,duration_aware_hsmm,-0.0006881975062279013,0.499655901246886,0.05528723222910381,1.0
2007-03,2007-02-28,duration_aware_hsmm,0.9986994234758193,0.9993497117379097,0.006604803493449829,1.0
2007-04,2007-03-30,duration_aware_hsmm,0.09081325554327256,0.5454066277716363,0.04397654584221744,1.0
2007-05,2007-04-30,duration_aware_hsmm,0.9999929592728196,0.9999964796364098,0.028557038529337664,1.0
2007-06,2007-05-31,duration_aware_hsmm,0.9999999925006762,0.9999999962503381,0.037699237699237775,1.0
2007-07,2007-06-29,duration_aware_hsmm,0.9580432063891688,0.9790216031945844,0.13049568478604678,1.0
2007-08,2007-07-31,duration_aware_hsmm,0.2999878973597933,0.6499939486798967,-0.056769810085134154,0.0
2007-09,2007-08-31,duration_aware_hsmm,-0.9999997554350872,1.2228245638290502e-07,-0.007302333389289872,0.0
2007-10,2007-09-28,duration_aware_hsmm,5.266813252719002e-05,0.5000263340662636,0.04239482200647249,1.0
2007-11,2007-10-31,duration_aware_hsmm,-0.9835191229403426,0.008240438529828698,-0.039205898164503594,0.0
2007-12,2007-11-30,duration_aware_hsmm,-0.9999999876716483,6.164175836431696e-09,-0.001694845190360006,0.0
2008-01,2007-12-28,duration_aware_hsmm,-0.932247601101395,0.03387619944930248,-0.08438678658764043,0.0
2008-02,2008-01-31,duration_aware_hsmm,-0.999999998606529,6.967355026255007e-10,0.051017952543678025,1.0
2008-03,2008-02-29,duration_aware_hsmm,-0.9961610529247439,0.001919473537628058,-0.06557528245330879,0.0
2008-04,2008-03-31,duration_aware_hsmm,0.00612361566118866,0.5030618078305943,0.026923960487020393,1.0
2008-05,2008-04-30,duration_aware_hsmm,0.9999839006489155,0.9999919503244578,0.032638297872340516,1.0
2008-06,2008-05-30,duration_aware_hsmm,-0.00015792857783275568,0.4999210357110836,-0.05285100648530283,0.0
2008-07,2008-06-30,duration_aware_hsmm,-0.9999966472776909,1.6763611545567159e-06,-0.06744098913450725,0.0
2008-08,2008-07-31,duration_aware_hsmm,-0.970695136874631,0.014652431562684476,-0.012835586909660912,0.0
2008-09,2008-08-29,duration_aware_hsmm,-0.0021876318480390984,0.4989061840759805,0.004974597798475866,1.0
2008-10,2008-09-30,duration_aware_hsmm,-0.9998637421327593,6.812893362034833e-05,-0.0661236737755867,0.0
2008-11,2008-10-31,duration_aware_hsmm,-0.3,0.35,-0.03552542372881373,0.0
2008-12,2008-11-28,duration_aware_hsmm,-1.0,0.0,0.026446751030854587,1.0
2009-01,2008-12-30,duration_aware_hsmm,-0.9999999999999658,1.709743457922741e-14,-0.008882815169115155,0.0
2009-02,2009-01-30,duration_aware_hsmm,-0.29999890577774735,0.3500005471111263,0.0255071697614484,1.0
2009-03,2009-02-27,duration_aware_hsmm,-0.9999999970719613,1.4640193501946897e-09,0.06677772144564353,1.0
2009-04,2009-03-31,duration_aware_hsmm,-0.9999999999977489,1.1255441023649837e-12,0.09566269664352589,1.0
2009-05,2009-04-30,duration_aware_hsmm,-0.20031072999358066,0.39984463500320966,0.00565006124677625,1.0
2009-06,2009-05-29,duration_aware_hsmm,-0.9999415679054624,2.9216047268798562e-05,0.018899456793172842,1.0
2009-07,2009-06-30,duration_aware_hsmm,-0.00032042096229869995,0.49983978951885066,0.0024959988634452035,1.0
2009-08,2009-07-31,duration_aware_hsmm,0.9999933535091725,0.9999966767545863,0.015670780564702946,1.0
2009-09,2009-08-31,duration_aware_hsmm,0.12304547511122371,0.5615227375556119,0.031189700091434958,1.0
2009-10,2009-09-30,duration_aware_hsmm,0.9973921237034856,0.9986960618517429,-0.012635713975608365,0.0
2009-11,2009-10-30,duration_aware_hsmm,-0.26515403462993603,0.367422982685032,-0.0019155368198130462,0.0
2009-12,2009-11-30,duration_aware_hsmm,-0.00033107396629725,0.49983446301685136,0.07135898009010178,1.0
2010-01,2009-12-30,duration_aware_hsmm,0.9999759137005737,0.9999879568502869,0.00443006075366692,1.0
2010-02,2010-01-29,duration_aware_hsmm,-2.8300019262246525e-05,0.4999858499903689,-0.0070146813254980955,0.0
2010-03,2010-02-26,duration_aware_hsmm,-2.7078346913499925e-05,0.49998646082654324,0.03541036680505072,1.0
2010-04,2010-03-31,duration_aware_hsmm,0.9892029654731087,0.9946014827365544,0.027458617511925132,1.0
2010-05,2010-04-30,duration_aware_hsmm,0.01991007782313513,0.5099550389115676,-0.056644418717430534,0.0
2010-06,2010-05-31,duration_aware_hsmm,-0.29854467177123517,0.3507276641143824,0.034802745157628046,1.0
2010-07,2010-06-30,duration_aware_hsmm,-0.40243506943356794,0.29878246528321606,0.03985622296010294,1.0
2010-08,2010-07-30,duration_aware_hsmm,0.9999867481944348,0.9999933740972173,-0.010640881863293483,0.0
2010-09,2010-08-31,duration_aware_hsmm,-0.9999781573863373,1.0921306831335187e-05,0.039447728425583195,1.0
2010-10,2010-09-30,duration_aware_hsmm,0.9999999954973737,0.9999999977486869,0.015394026098766167,1.0
2010-11,2010-10-29,duration_aware_hsmm,0.9910148316938401,0.99550741584692,0.016700719171326428,1.0
2010-12,2010-11-30,duration_aware_hsmm,0.99999863953447,0.999999319767235,0.048953574787300225,1.0
2011-01,2010-12-30,duration_aware_hsmm,0.9999997720441696,0.9999998860220848,0.02813093657383381,1.0
2011-02,2011-01-31,duration_aware_hsmm,0.987717389442749,0.9938586947213746,-0.042484436287074434,0.0
2011-03,2011-02-28,duration_aware_hsmm,-0.9999844968687388,7.7515656305982e-06,-0.008234651170589746,0.0
2011-04,2011-03-31,duration_aware_hsmm,0.29999999103322084,0.6499999955166105,0.016561388181291825,1.0
