Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost
calibration_2007_2017,ReferenceDaily,129.0,0.12622718934115285,0.13798151366258601,0.9331736096633464,1.7512906012046552,-0.13001562033708958,0.9708617242596349,3.5890506263948656,0.5968992248062015,0.10555517467816555,0.041641379312090124
calibration_2007_2017,VKOSPIDynamicActual,129.0,0.12807384546515466,0.1376298566501574,0.9472005230941841,1.7865369500450174,-0.13001562033708947,0.9850650647445253,3.6528214912922787,0.6046511627906976,0.1194355000696074,0.04751761923344583
calibration_2007_2017,ReferenceMonthly,129.0,0.1267453565326211,0.13891698863826157,0.9311508121065298,1.7431392293582426,-0.1298226382385036,0.9762962627501909,3.606841868325375,0.5968992248062015,0.10532996300336914,0.04153975024949523
calibration_2007_2017,VKOSPIDynamicReconciled,129.0,0.12859286228680977,0.13855935374838924,0.9451125840508845,1.7777383363628463,-0.1298226382385037,0.9905272611281043,3.6709288510499274,0.5968992248062015,0.1194355000696074,0.04751761923344583
validation_2013_2017,ReferenceDaily,60.0,0.02113190436275736,0.07153598058486457,0.32793355229773763,0.4816714548414196,-0.10572051355882583,0.199884617009536,1.1102204629941061,0.5166666666666667,0.0963823809894366,0.018427963329038514
validation_2013_2017,VKOSPIDynamicActual,60.0,0.02340704096291213,0.07092718727900933,0.3615768544385605,0.5344405514091937,-0.10572051355882583,0.22140491163891102,1.1226438531575311,0.5333333333333333,0.10994512257979877,0.02103478554944399
validation_2013_2017,ReferenceMonthly,60.0,0.024129287400933563,0.0781751118041021,0.3437709028820261,0.5287938181084261,-0.10675687852074156,0.22602091532908147,1.1266108513469806,0.5166666666666667,0.09647036302248009,0.01843691433776106
validation_2013_2017,VKOSPIDynamicReconciled,60.0,0.02641110233111199,0.0776525035557021,0.3742836106298207,0.579636246291739,-0.10675687852074156,0.24739485358763685,1.1392176502983224,0.5166666666666667,0.10994512257979877,0.02103478554944399
locked_2018_2026,ReferenceDaily,103.0,0.17305246928293028,0.145041495838767,1.1782848243369541,2.304534906555283,-0.12828931506483787,1.348923479679262,3.9352712842710256,0.6116504854368932,0.1425515045241946,0.04799094540006018
locked_2018_2026,VKOSPIDynamicActual,103.0,0.1774467653081795,0.13376505499524116,1.2944448501077281,2.680844500580589,-0.11593679863800643,1.530547396450266,4.0636159973261226,0.5922330097087378,0.16290812316152145,0.05527349661539471
locked_2018_2026,ReferenceMonthly,103.0,0.17856949843487446,0.14500117495944875,1.2114625945539084,2.3306117187431514,-0.12557237529490872,1.4220444426212466,4.09699508969706,0.6310679611650486,0.14271238270326114,0.048045381964040644
locked_2018_2026,VKOSPIDynamicReconciled,103.0,0.18298446144639136,0.1338912045952275,1.3289531274434303,2.705242424492421,-0.11289722654519863,1.6208056393053478,4.230614253711755,0.6310679611650486,0.16290812316152145,0.05527349661539471
full_2007_2026,ReferenceDaily,232.0,0.14678074628271998,0.14098035711153917,1.0460264749851202,1.9980685874930388,-0.13001562033708958,1.1289470134601036,14.123887867846635,0.603448275862069,0.1219802693942905,0.08963232471215032
full_2007_2026,VKOSPIDynamicActual,232.0,0.1497328867004606,0.13577429461286478,1.100058395791066,2.1529693677435096,-0.13001562033708947,1.1516530576268489,14.843663847391959,0.5991379310344828,0.13873584566644856,0.10279111584884053
full_2007_2026,ReferenceMonthly,232.0,0.1494660961868286,0.1414971828607839,1.0594774864938223,2.0061585732039,-0.1298226382385036,1.1513099580693857,14.777213423842841,0.6120689655172413,0.12192646830116603,0.08958513221353588
full_2007_2026,VKOSPIDynamicReconciled,232.0,0.15242514946041652,0.13638032930924987,1.1131525325010427,2.160403620187797,-0.1298226382385037,1.1741030033636244,15.530283921613536,0.6120689655172413,0.13873584566644856,0.10279111584884053
