month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,risk_state,target_vol,regime,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,0.004425824444882491,0.00608614696416451,1.0044258244448825,0.0,0.9999999999999999,0.0014999999999999998,0.00016032251928201898,NORMAL,0.08,Goldilocks,0.28527257363115627,0.39408238780480565,0.2401207025105579,0.0805243360534801
2007-05,0.035416147364084924,0.03557684429235191,1.039998717459715,0.0,0.05031214116719399,0.00015093642350158198,9.760504765399664e-06,NORMAL,0.08,Goldilocks,0.32944806272171895,0.34319104787191024,0.23169374797932696,0.09566714142704376
2007-06,0.004681081493105299,0.004818516544033394,1.0448670362088688,0.0,0.04017578797576263,0.00012052736392728789,1.6907687000807024e-05,NORMAL,0.08,Goldilocks,0.3070184529259065,0.3385158783023495,0.2447473450745271,0.10971832369721686
2007-07,0.05341882389703928,0.053461192536974615,1.1006826044119316,0.0,0.012291019866536745,3.687305959961024e-05,5.495580335723755e-06,NORMAL,0.08,Goldilocks,0.3179170645539047,0.33966276110730487,0.23853047663157145,0.10388969770721894
2007-08,-0.003821574423586866,-0.0037055792493485345,1.096476263922424,-0.003821574423586882,0.03383738493227774,0.00010151215479683322,1.4483019441498463e-05,NORMAL,0.08,Goldilocks,0.29766251580156294,0.32979864258186875,0.25212300345969607,0.12041583815687232
2007-09,0.03945614073383554,0.03949315835063892,1.1397389857030573,0.0,0.010650834145704585,3.195250243711376e-05,5.0651143662640005e-06,NORMAL,0.08,Goldilocks,0.30261240415385476,0.33168464307075884,0.2488340284220914,0.11686892435329495
2007-10,0.046273177502307104,0.04655529398258453,1.1924783300947943,0.0,0.08575765676504943,0.0002572729702951483,2.4843509982280604e-05,NORMAL,0.08,Slowdown,0.2657309685466389,0.40565139630743524,0.24754512441373672,0.0810725107321891
2007-11,-0.028507297355535893,-0.02809850056212085,1.1584839957487492,-0.02850729735553581,0.1280360922614124,0.0003841082767842372,2.4688516630810565e-05,NORMAL,0.08,Overheating,0.33641526014752915,0.27368799368320645,0.23803038561800482,0.15186636055125954
2007-12,0.050655556026313955,0.05100323170636668,1.217167646700988,0.0,0.09933590858649381,0.00029800772575948146,4.9667954293246886e-05,NORMAL,0.08,Overheating,0.26396930082225745,0.23573894549292057,0.27616367599737,0.22412807768745197
2008-01,-0.0032597544912432532,-0.0031677687553116167,1.2131999789980585,-0.003259754491243161,0.028730500319880697,8.61915009596421e-05,5.794234971994494e-06,NORMAL,0.08,Overheating,0.22942905798566038,0.2334719996364854,0.30557523133327497,0.2315237110445793
2008-02,0.052320345190403655,0.05241334420837921,1.2766750206842274,0.0,0.028727358417800677,8.618207525340203e-05,6.816942722149999e-06,NORMAL,0.08,Overheating,0.2197318920103612,0.23517489263420882,0.3160162855785702,0.22907692977685973
2008-03,-0.004876904923415044,-0.004809773593702466,1.2704487979902515,-0.004876904923415082,0.019180379917879242,5.754113975363773e-05,9.590189958939622e-06,NORMAL,0.08,Overheating,0.22156239874565337,0.23329363099241812,0.31357195055725146,0.231572019704677
2008-04,0.01743489303439858,0.01856703716716825,1.2925989368888917,0.0,0.3270232951673978,0.0009810698855021935,0.00015107424726747615,STRESS,0.056236184945606914,Overheating,0.20298203375588875,0.5614656822065544,0.23555228403755693,0.0
2008-05,0.03299800941914909,0.03400482056457118,1.3352521287835335,0.0,0.2955835640396658,0.0008867506921189974,0.00012006045330308733,CALM,0.10320003380649734,Overheating,0.2744774100366816,0.2606921846991896,0.3234117595788994,0.14141864568522947
2008-06,0.01106364784800448,0.01136902020170282,1.3500248881246928,0.0,0.08737349166667396,0.0002621204750000219,4.325187869831898e-05,NORMAL,0.08339806150749957,Overheating,0.26356379396451846,0.33643753150087036,0.3308337600885274,0.06916491444608389
2008-07,-0.02670509903486149,-0.02595271704518344,1.313972339787795,-0.026705099034861624,0.22352111817276935,0.000670563354518308,8.181863515974256e-05,STRESS,0.05432862186787362,Overheating,0.1751201663513736,0.5547914952899092,0.25590272086032256,0.014185617498394545
2008-08,-0.017146944643233318,-0.016932024132246322,1.291441728814714,-0.043394132823251996,0.06421693003099127,0.00019265079009297381,2.2269720894024376e-05,STRESS,0.05323508093367402,Overheating,0.15039727148184331,0.6364826889404122,0.2131200395777445,0.0
