month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,regime,crash_probability,risk_rank,protection,w_KODEX200,w_BOND,w_GLD,w_USO,hard_w_KODEX200,hard_w_BOND,hard_w_GLD,hard_w_USO
2007-04,0.06077067269343256,0.06227067269343256,1.0607706726934325,0.0,1.0,0.0015,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05,0.09135963155786953,0.09135963155786953,1.157682290518098,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-06,0.013164533736984563,0.013164533736984563,1.1729226380883329,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-07,0.09846975733429919,0.09846975733429919,1.288420045632797,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-08,-0.016444792482380732,-0.016444792482380732,1.2672322453522262,-0.01644479248238062,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-09,0.03670801206838781,0.03670801206838781,1.3137498219080659,0.0,0.0,0.0,0.0,Goldilocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-10,0.03873129978470291,0.03993129978470291,1.3646330601024872,0.0,0.4,0.0012000000000000001,0.0,Slowdown,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0,0.0
2007-11,-0.027189527442937584,-0.024001388846551577,1.3275293320652908,-0.027189527442937567,0.910896741824573,0.002732690225473719,0.0004554483709122865,Overheating,0.0,0.0,0.11571851711094416,0.0057859258555472085,0.0833173323198798,0.02661525893551716,0.8842814828890558,0.0,0.0,0.0,1.0
2007-12,0.12096340472311586,0.12121755837753823,1.4881117999417122,0.0,0.07515829266703522,0.00022547487800110566,2.8678776421267816e-05,Overheating,0.0,0.0,0.04309362842060005,0.0021546814210300024,0.031027412462832034,0.009911534536738011,0.9569063715794,0.0,0.0,0.0,1.0
2008-01,-0.04934831068093027,-0.04916322788382296,1.4146759965102302,-0.04934831068093026,0.05459250535325883,0.0001637775160597765,2.1305281047530212e-05,Overheating,0.0,0.0,0.093848730694304,0.0046924365347152,0.06757108609989887,0.02158520805968992,0.906151269305696,0.0,0.0,0.0,1.0
2008-02,0.1274865127743678,0.1278319857998167,1.5950281060109233,0.0,0.10230297013138476,0.00030690891039415427,3.856411505477358e-05,Overheating,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2008-03,0.030435617840975704,0.030435617840975704,1.643573771891087,0.0,0.0,0.0,0.0,Overheating,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2008-04,0.09806416637013741,0.09919324403528688,1.8047494636994088,0.0,0.33355322456409986,0.0010006596736922995,0.00012841799145717848,Overheating,0.0,0.0,0.33355322456409986,0.016677661228204993,0.2401583216861519,0.07671724164974297,0.6664467754359001,0.0,0.0,0.0,1.0
2008-05,0.14352182813935427,0.14455534303700257,2.063770406063067,0.0,0.30497820470697096,0.0009149346141209129,0.00011858028352739631,Overheating,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2008-06,0.1507925618317937,0.1510360410272598,2.3749716326259582,0.0,0.07192886128983711,0.00021578658386951134,2.7692611596587314e-05,Overheating,0.0,0.0,0.07192886128983711,0.003596443064491856,0.05178878012868272,0.016543638096662535,0.9280711387101629,0.0,0.0,0.0,1.0
2008-07,-0.1070651439002791,-0.1059112409828565,2.1206949530197794,-0.10706514390027899,0.34073463806376536,0.0010222039141912962,0.00013169900323131757,Overheating,0.0,0.0,0.4039239838002485,0.020196199190012427,0.29082526833617894,0.09290251627405717,0.5960760161997515,0.0,0.0,0.0,1.0
2008-08,-0.011621244325189213,-0.00982900659974351,2.096049838831541,-0.11744215802949154,0.5302481699888548,0.0015907445099665645,0.0002014932154791406,Overheating,0.0,0.0,0.9755428658356582,0.04877714329178291,0.7023908634016739,0.2243748591422014,0.02445713416434181,0.0,0.0,0.0,1.0
2008-09,0.04046373908327305,0.04054428827069501,2.180863852615557,-0.08173056778610044,0.024161794197003744,7.248538259101123e-05,8.063804830953841e-06,Stagflation,0.0,0.0,1.0,0.05,0.72,0.23,0.0,0.0,0.0,1.0,0.0
2008-10,-0.0477265419642451,-0.047182510688863775,2.0767787624353953,-0.12555639237714056,0.15543750725180738,0.00046631252175542216,7.771875362590372e-05,Stagflation,0.0,0.0,0.7644213982175037,0.03822106991087519,0.5503834067166027,0.4113955233725222,0.0,0.0,0.0,1.0,0.0
2008-11,0.050679496724719254,0.051215037134959014,2.1820288649242063,-0.08124003042866623,0.1530115457827896,0.00045903463734836883,7.650577289139483e-05,Stagflation,0.0,0.0,1.0,0.05,0.72,0.23,0.0,0.0,0.0,1.0,0.0
