month,signal_month,regime,p_growth_high,p_inflation_high,gross_return,return,turnover,trade_cost,fx_cost,nav,drawdown,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,2007-03,Goldilocks,0.5054730137827693,0.240654476465951,0.00608614696416451,0.004425824444882491,0.9999999999999999,0.0014999999999999998,0.00016032251928201898,1.0044258244448825,0.0,0.28527257363115627,0.39408238780480565,0.2401207025105579,0.0805243360534801
2007-05,2007-04,Goldilocks,0.6709029221649457,0.27867300013307233,0.03557684429235191,0.035416147364084924,0.05031214116719399,0.00015093642350158198,9.760504765399664e-06,1.039998717459715,0.0,0.32944806272171895,0.34319104787191024,0.23169374797932696,0.09566714142704376
2007-06,2007-05,Goldilocks,0.6363908160558794,0.36344692173813936,0.004818516544033394,0.004681081493105299,0.04017578797576263,0.00012052736392728789,1.6907687000807024e-05,1.0448670362088688,0.0,0.3070184529259065,0.3385158783023495,0.2447473450745271,0.10971832369721686
2007-07,2007-06,Goldilocks,0.6557403586277608,0.3263682613401813,0.053461192536974615,0.05341882389703928,0.012291019866536745,3.687305959961024e-05,5.495580335723755e-06,1.1006826044119316,0.0,0.3179170645539047,0.33966276110730487,0.23853047663157145,0.10388969770721894
2007-08,2007-07,Goldilocks,0.6330271352832663,0.42191041484377095,-0.0037055792493485345,-0.003821574423586866,0.03383738493227774,0.00010151215479683322,1.4483019441498463e-05,1.096476263922424,-0.003821574423586882,0.29766251580156294,0.32979864258186875,0.25212300345969607,0.12041583815687232
2007-09,2007-08,Goldilocks,0.6398804176328826,0.40051626014002684,0.03949315835063892,0.03945614073383554,0.010650834145704585,3.195250243711376e-05,5.0651143662640005e-06,1.1397389857030573,0.0,0.30261240415385476,0.33168464307075884,0.2488340284220914,0.11686892435329495
2007-10,2007-09,Slowdown,0.44793509730445513,0.2603911970327475,0.04655529398258453,0.046273177502307104,0.08575765676504943,0.0002572729702951483,2.4843509982280604e-05,1.1924783300947943,0.0,0.2657309685466389,0.40565139630743524,0.24754512441373672,0.0810725107321891
2007-11,2007-10,Overheating,0.8350065146439075,0.5083826470153877,-0.02809850056212085,-0.028507297355535893,0.1280360922614124,0.0003841082767842372,2.4688516630810565e-05,1.1584839957487492,-0.02850729735553581,0.33641526014752915,0.27368799368320645,0.23803038561800482,0.15186636055125954
2007-12,2007-11,Overheating,0.8011525546765939,0.874981649348432,0.05100323170636668,0.050655556026313955,0.09933590858649381,0.00029800772575948146,4.9667954293246886e-05,1.217167646700988,0.0,0.26396930082225745,0.23573894549292057,0.27616367599737,0.22412807768745197
2008-01,2007-12,Overheating,0.6989478991026067,0.9736689669464028,-0.0031677687553116167,-0.0032597544912432532,0.028730500319880697,8.61915009596421e-05,5.794234971994494e-06,1.2131999789980585,-0.003259754491243161,0.22942905798566038,0.2334719996364854,0.30557523133327497,0.2315237110445793
2008-02,2008-01,Overheating,0.6555280581562243,0.9893931424759213,0.05241334420837921,0.052320345190403655,0.028727358417800677,8.618207525340203e-05,6.816942722149999e-06,1.2766750206842274,0.0,0.2197318920103612,0.23517489263420882,0.3160162855785702,0.22907692977685973
2008-03,2008-02,Overheating,0.6697822382933931,0.9930371689901929,-0.004809773593702466,-0.004876904923415044,0.019180379917879242,5.754113975363773e-05,9.590189958939622e-06,1.2704487979902515,-0.004876904923415082,0.22156239874565337,0.23329363099241812,0.31357195055725146,0.231572019704677
2008-04,2008-03,Overheating,0.8123804496006282,0.9916380362122579,0.028187589853045487,0.027607198942085655,0.16857132765995897,0.0005057139829798769,7.467692797995484e-05,1.305522330702102,0.0,0.23537457875438353,0.3762784986330169,0.3171449377263276,0.07120198488627186
2008-05,2008-04,Overheating,0.8600016903248673,0.9921273040390841,0.0227391017163383,0.022717889643941305,0.006732383275605769,2.0197149826817307e-05,1.0149225701779895e-06,1.3351810429386934,0.0,0.25116076451371094,0.36771106328437414,0.3064478494858555,0.0746803227160595
2008-06,2008-05,Overheating,0.9123788442187226,0.9918923287474432,0.013958257073428165,0.01393979661926548,0.005994540651205742,1.7983621953617227e-05,4.7683220906713507e-07,1.3537931951271578,0.0,0.2485395386893217,0.35083104641182644,0.3172495879131314,0.08337982698572056
2008-07,2008-06,Overheating,0.6389656243521475,0.9933271681407723,-0.04536178008484539,-0.045434235270184455,0.021685378168223683,6.505613450467105e-05,7.399050834389964e-06,1.2922846365925758,-0.04543423527018442,0.22287104931160676,0.35752965355662886,0.345741341744787,0.07385795538697744
2008-08,2008-07,Overheating,0.5395528121521835,0.9934238331691112,-0.02435239718297897,-0.024580682983301058,0.06616658629974678,0.00019849975889924036,2.9786041422848186e-05,1.2605193976163032,-0.06889811371972043,0.2142560969236651,0.4424553547652124,0.3378005793771827,0.005487968933939849
2008-09,2008-08,Stagflation,0.2245655801854855,0.9930761671874128,0.049813165930167394,0.049400299267271096,0.12860067942443462,0.0003858020382733039,2.706462462298903e-05,1.3227894330907488,-0.022901401889154016,0.12795323822972363,0.5815254124128315,0.29052134935744484,3.7040425405883466e-17
2008-10,2008-09,Stagflation,0.4411162321961797,0.9852259997903356,-0.06103513963356341,-0.06120008087794671,0.05094512838231247,0.0001528353851469374,1.210585923636437e-05,1.2418346128011017,-0.08269991511926611,0.14457639158914132,0.5591799915984746,0.26951020690280036,0.026733409909583724
2008-11,2008-10,Stagflation,0.15075894377857021,0.9664786627700651,0.05181041629966564,0.05140558446543825,0.1274208765687827,0.0003822626297063481,2.2569204521041413e-05,1.3056718468815536,-0.03554556812577592,0.03899719724802999,0.7309437575650845,0.23005904518688564,4.731250150851955e-17
