Name,routing_preset,confirmation_scale,recovery_relief,Cal_CAGR,Cal_CAGRDelta,Cal_Sharpe,Cal_SharpeDelta,Cal_MDD,Cal_MDDDelta,Cal_Calmar,Cal_CalmarDelta,Validation_CAGR,Validation_CAGRDelta,Validation_Sharpe,Validation_SharpeDelta,Validation_MDD,Validation_MDDDelta,Validation_Calmar,Validation_CalmarDelta,MultiObjectiveScore,StrictAllThree,RetentionGate
legacy_gold_confirm0.00_recovery0.00,legacy_gold,0.0,0.0,0.19593903094000042,0.0,1.1243810201820734,0.0,-0.12958799769553853,0.0,1.5120152670338407,0.0,0.030518417586614,-4.440892098500626e-16,0.41330431530126505,-9.992007221626409e-16,-0.10663145228920401,-1.1102230246251565e-16,0.2862046509864882,-4.440892098500626e-15,-9.43689570931383e-14,False,False
legacy_gold_confirm0.00_recovery0.25,legacy_gold,0.0,0.25,0.19593903094000042,0.0,1.1243810201820734,0.0,-0.12958799769553853,0.0,1.5120152670338407,0.0,0.030518417586614,-4.440892098500626e-16,0.41330431530126505,-9.992007221626409e-16,-0.10663145228920401,-1.1102230246251565e-16,0.2862046509864882,-4.440892098500626e-15,-9.43689570931383e-14,False,False
legacy_gold_confirm0.00_recovery0.50,legacy_gold,0.0,0.5,0.19593903094000042,0.0,1.1243810201820734,0.0,-0.12958799769553853,0.0,1.5120152670338407,0.0,0.030518417586614,-4.440892098500626e-16,0.41330431530126505,-9.992007221626409e-16,-0.10663145228920401,-1.1102230246251565e-16,0.2862046509864882,-4.440892098500626e-15,-9.43689570931383e-14,False,False
legacy_gold_confirm0.00_recovery0.75,legacy_gold,0.0,0.75,0.19593903094000042,0.0,1.1243810201820734,0.0,-0.12958799769553853,0.0,1.5120152670338407,0.0,0.030518417586614,-4.440892098500626e-16,0.41330431530126505,-9.992007221626409e-16,-0.10663145228920401,-1.1102230246251565e-16,0.2862046509864882,-4.440892098500626e-15,-9.43689570931383e-14,False,False
legacy_gold_confirm0.10_recovery0.00,legacy_gold,0.1,0.0,0.19595459087227773,1.555993227730923e-05,1.1294065049587727,0.005025484776699285,-0.12958799769553853,0.0,1.512135339359627,0.00012007232578636895,0.02637116391345118,-0.004147253673163265,0.36471453326981285,-0.0485897820314532,-0.10865922377703163,-0.002027771487827734,0.24269604546011408,-0.04350860552637853,-1.9611062737197757,False,False
legacy_gold_confirm0.10_recovery0.25,legacy_gold,0.1,0.25,0.19595459087227773,1.555993227730923e-05,1.1294065049587727,0.005025484776699285,-0.12958799769553853,0.0,1.512135339359627,0.00012007232578636895,0.02637116391345118,-0.004147253673163265,0.36471453326981285,-0.0485897820314532,-0.10865922377703163,-0.002027771487827734,0.24269604546011408,-0.04350860552637853,-1.9611062737197757,False,False
legacy_gold_confirm0.10_recovery0.50,legacy_gold,0.1,0.5,0.19595459087227773,1.555993227730923e-05,1.1294065049587727,0.005025484776699285,-0.12958799769553853,0.0,1.512135339359627,0.00012007232578636895,0.02637116391345118,-0.004147253673163265,0.36471453326981285,-0.0485897820314532,-0.10865922377703163,-0.002027771487827734,0.24269604546011408,-0.04350860552637853,-1.9611062737197757,False,False
legacy_gold_confirm0.10_recovery0.75,legacy_gold,0.1,0.75,0.19595459087227773,1.555993227730923e-05,1.1294065049587727,0.005025484776699285,-0.12958799769553853,0.0,1.512135339359627,0.00012007232578636895,0.02637116391345118,-0.004147253673163265,0.36471453326981285,-0.0485897820314532,-0.10865922377703163,-0.002027771487827734,0.24269604546011408,-0.04350860552637853,-1.9611062737197757,False,False
macro_soft_confirm0.00_recovery0.00,macro_soft,0.0,0.0,0.19591889040922061,-2.0140530779810817e-05,1.1232611413873606,-0.0011198787947128697,-0.12958799769553864,-1.1102230246251565e-16,1.5118598473102696,-0.00015541972357113742,0.030586962031356357,6.854444474191368e-05,0.4143634742418199,0.0010591589405538615,-0.10669434344801965,-6.28911588157477e-05,0.28667838465361567,0.0004737336671230552,-0.025077409364388514,False,False
macro_soft_confirm0.00_recovery0.25,macro_soft,0.0,0.25,0.19591889040922061,-2.0140530779810817e-05,1.1232611413873606,-0.0011198787947128697,-0.12958799769553864,-1.1102230246251565e-16,1.5118598473102696,-0.00015541972357113742,0.030586962031356357,6.854444474191368e-05,0.4143634742418199,0.0010591589405538615,-0.10669434344801965,-6.28911588157477e-05,0.28667838465361567,0.0004737336671230552,-0.025077409364388514,False,False
macro_soft_confirm0.00_recovery0.50,macro_soft,0.0,0.5,0.19591889040922061,-2.0140530779810817e-05,1.1232611413873606,-0.0011198787947128697,-0.12958799769553864,-1.1102230246251565e-16,1.5118598473102696,-0.00015541972357113742,0.030586962031356357,6.854444474191368e-05,0.4143634742418199,0.0010591589405538615,-0.10669434344801965,-6.28911588157477e-05,0.28667838465361567,0.0004737336671230552,-0.025077409364388514,False,False
macro_soft_confirm0.00_recovery0.75,macro_soft,0.0,0.75,0.19591889040922061,-2.0140530779810817e-05,1.1232611413873606,-0.0011198787947128697,-0.12958799769553864,-1.1102230246251565e-16,1.5118598473102696,-0.00015541972357113742,0.030586962031356357,6.854444474191368e-05,0.4143634742418199,0.0010591589405538615,-0.10669434344801965,-6.28911588157477e-05,0.28667838465361567,0.0004737336671230552,-0.025077409364388514,False,False
macro_soft_confirm0.10_recovery0.00,macro_soft,0.1,0.0,0.195462382651989,-0.00047664828801141645,1.1261579955916519,0.0017769754095784407,-0.12958799769553864,-1.1102230246251565e-16,1.508337084667512,-0.003678182366328775,0.02750818822160528,-0.003010229365009165,0.3799234978745603,-0.03338081742670573,-0.10703965015309636,-0.0004081978638924566,0.25699064021846996,-0.029214010768022658,-1.264855169432742,False,False
macro_soft_confirm0.10_recovery0.25,macro_soft,0.1,0.25,0.195462382651989,-0.00047664828801141645,1.1261579955916519,0.0017769754095784407,-0.12958799769553864,-1.1102230246251565e-16,1.508337084667512,-0.003678182366328775,0.02750818822160528,-0.003010229365009165,0.3799234978745603,-0.03338081742670573,-0.10703965015309636,-0.0004081978638924566,0.25699064021846996,-0.029214010768022658,-1.264855169432742,False,False
macro_soft_confirm0.10_recovery0.50,macro_soft,0.1,0.5,0.195462382651989,-0.00047664828801141645,1.1261579955916519,0.0017769754095784407,-0.12958799769553864,-1.1102230246251565e-16,1.508337084667512,-0.003678182366328775,0.02750818822160528,-0.003010229365009165,0.3799234978745603,-0.03338081742670573,-0.10703965015309636,-0.0004081978638924566,0.25699064021846996,-0.029214010768022658,-1.264855169432742,False,False
macro_soft_confirm0.10_recovery0.75,macro_soft,0.1,0.75,0.195462382651989,-0.00047664828801141645,1.1261579955916519,0.0017769754095784407,-0.12958799769553864,-1.1102230246251565e-16,1.508337084667512,-0.003678182366328775,0.02750818822160528,-0.003010229365009165,0.3799234978745603,-0.03338081742670573,-0.10703965015309636,-0.0004081978638924566,0.25699064021846996,-0.029214010768022658,-1.264855169432742,False,False
macro_strict_confirm0.00_recovery0.00,macro_strict,0.0,0.0,0.19659188854649234,0.0006528576064919189,1.1259013106322804,0.0015202904502069625,-0.12958799769553841,1.1102230246251565e-16,1.5170532151316727,0.005037948097831979,0.030619890100687996,0.00010147251407355284,0.4148740310698286,0.001569715768562574,-0.10672578982089553,-9.433753169163506e-05,0.28690244552955296,0.0006977945430603483,0.06405765942513963,False,False
macro_strict_confirm0.00_recovery0.25,macro_strict,0.0,0.25,0.19659188854649234,0.0006528576064919189,1.1259013106322804,0.0015202904502069625,-0.12958799769553841,1.1102230246251565e-16,1.5170532151316727,0.005037948097831979,0.030619890100687996,0.00010147251407355284,0.4148740310698286,0.001569715768562574,-0.10672578982089553,-9.433753169163506e-05,0.28690244552955296,0.0006977945430603483,0.06405765942513963,False,False
macro_strict_confirm0.00_recovery0.50,macro_strict,0.0,0.5,0.19659188854649234,0.0006528576064919189,1.1259013106322804,0.0015202904502069625,-0.12958799769553841,1.1102230246251565e-16,1.5170532151316727,0.005037948097831979,0.030619890100687996,0.00010147251407355284,0.4148740310698286,0.001569715768562574,-0.10672578982089553,-9.433753169163506e-05,0.28690244552955296,0.0006977945430603483,0.06405765942513963,False,False
macro_strict_confirm0.00_recovery0.75,macro_strict,0.0,0.75,0.19659188854649234,0.0006528576064919189,1.1259013106322804,0.0015202904502069625,-0.12958799769553841,1.1102230246251565e-16,1.5170532151316727,0.005037948097831979,0.030619890100687996,0.00010147251407355284,0.4148740310698286,0.001569715768562574,-0.10672578982089553,-9.433753169163506e-05,0.28690244552955296,0.0006977945430603483,0.06405765942513963,False,False
macro_strict_confirm0.10_recovery0.00,macro_strict,0.1,0.0,0.1961540274737532,0.00021499653375278704,1.1287723805468532,0.004391360364779828,-0.12958799769553853,0.0,1.5136743445531795,0.001659077519338803,0.02806390676165149,-0.002454510824962952,0.38740279252754556,-0.025901522773720487,-0.10623321941819086,0.00039823287101303784,0.264172609239836,-0.022032041746656628,-0.8772410984190326,False,False
macro_strict_confirm0.10_recovery0.25,macro_strict,0.1,0.25,0.1961540274737532,0.00021499653375278704,1.1287723805468532,0.004391360364779828,-0.12958799769553853,0.0,1.5136743445531795,0.001659077519338803,0.02806390676165149,-0.002454510824962952,0.38740279252754556,-0.025901522773720487,-0.10623321941819086,0.00039823287101303784,0.264172609239836,-0.022032041746656628,-0.8772410984190326,False,False
macro_strict_confirm0.10_recovery0.50,macro_strict,0.1,0.5,0.1961540274737532,0.00021499653375278704,1.1287723805468532,0.004391360364779828,-0.12958799769553853,0.0,1.5136743445531795,0.001659077519338803,0.02806390676165149,-0.002454510824962952,0.38740279252754556,-0.025901522773720487,-0.10623321941819086,0.00039823287101303784,0.264172609239836,-0.022032041746656628,-0.8772410984190326,False,False
