Strategy,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
TailRisk10D,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
TailRisk10D,0.025,129.0,0.12034543221910399,0.13705484263687823,0.9000797810764647,1.6635868444072879,-0.13788471937396818,0.8727974554794974,3.3926061041244178,0.5891472868217055,0.07705738655146369
TailRisk10D,0.05,129.0,0.11918685644818261,0.13664313315912693,0.8947173530419734,1.656241983093774,-0.13788471937396796,0.8643949597121534,3.3550806417544368,0.5891472868217055,0.07894590040664974
TailRisk10D,0.075,129.0,0.11797539675145985,0.13625097635664574,0.8888578541668225,1.6479865773376015,-0.13788471937396818,0.8556089266968687,3.316245289629597,0.5891472868217055,0.081305680205455
TailRisk10D,0.1,129.0,0.11675123645061913,0.135889119419555,0.8827062471935347,1.6392961944293474,-0.13788471937396818,0.8467307833725125,3.277417372093829,0.5891472868217055,0.08388177070794554
TailRisk10D,0.15,129.0,0.11428690014984388,0.13525541121737059,0.8696849277055513,1.6210175837927727,-0.13788471937396807,0.8288583439030494,3.200501369253142,0.5891472868217055,0.08914955279276303
TailRisk10D,0.2,129.0,0.11180766992256785,0.13474241254606642,0.8557625582106307,1.6016286220747524,-0.13788471937396818,0.810877887195936,3.1247761177151037,0.5891472868217055,0.09442728904664914
TailRisk20D,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
TailRisk20D,0.025,129.0,0.12124325090584831,0.13707556205252577,0.9058614423126002,1.6766805867372132,-0.13823376107128504,0.8770885633598945,3.421947171581578,0.5891472868217055,0.07735892525782885
TailRisk20D,0.05,129.0,0.12103934882051548,0.13665712665562488,0.9068512837459881,1.6838939387337957,-0.13823376107128493,0.8756135106393975,3.415263446067058,0.5891472868217055,0.07984411953836543
TailRisk20D,0.075,129.0,0.12076985160493248,0.13624359322099047,0.9073887134447434,1.6899427027603562,-0.13823376107128504,0.8736639346928664,3.4064477382388687,0.5891472868217055,0.08277660626521428
TailRisk20D,0.1,129.0,0.12049020522681708,0.13584720252206964,0.9077666916224575,1.6955560853956193,-0.13823376107128504,0.8716409384584575,3.3973218582795734,0.5891472868217055,0.08588790589895817
TailRisk20D,0.15,129.0,0.11998303489983142,0.13512505357508858,0.9084772617479644,1.7065451739388566,-0.13823376107128504,0.8679720060424168,3.3808275984977505,0.5891472868217055,0.09189027364512466
TailRisk20D,0.2,129.0,0.11955778014720186,0.13448998990137703,0.9092485766497941,1.7174227127394446,-0.13823376107128504,0.8648956609489034,3.3670534272749473,0.5891472868217055,0.09777765987522018
TailRiskEnsemble,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
TailRiskEnsemble,0.025,129.0,0.12128646244494412,0.13715932094425645,0.9056745952887901,1.6761798010544382,-0.13788471937396807,0.8796222162659917,3.423365129210924,0.5891472868217055,0.07670211398865805
TailRiskEnsemble,0.05,129.0,0.12108739527103363,0.13684043696315698,0.9061349994343533,1.6817451804322359,-0.13788471937396807,0.8781784944756852,3.416837297988462,0.5891472868217055,0.07814041600681279
TailRiskEnsemble,0.075,129.0,0.1208317811052837,0.13652296394736793,0.9062184452637408,1.686388025474441,-0.13788471937396818,0.8763246692881621,3.408471728047973,0.5891472868217055,0.0799857902395447
TailRiskEnsemble,0.1,129.0,0.12057074515886668,0.1362196795897603,0.9061874086129836,1.6907453301321453,-0.13788471937396818,0.8744315229873814,3.3999478934532052,0.5891472868217055,0.08190780689107478
TailRiskEnsemble,0.15,129.0,0.12003734636984453,0.13565291886288652,0.9058266315551953,1.6987359396440922,-0.13788471937396818,0.8705630828045684,3.3825904440899537,0.5891472868217055,0.0858518332756684
TailRiskEnsemble,0.2,129.0,0.1194936538058835,0.13513942202208726,0.9050941367077673,1.705770037400182,-0.13788471937396818,0.8666199876854752,3.3649807716162123,0.5891472868217055,0.08982438361501327
