month,reference_return,overlay_relative_return,return,gross_return,turnover,trade_cost,fx_cost,avg_stress,max_stress,avg_transfer,nav,drawdown
2007-04,0.022418970912662702,0.0,0.02241897091266276,0.02241897091266276,1.4999999999999998,0.00225,0.00014709380068524147,0.003643578692682666,0.076515152546336,0.0009108946731706665,1.0224189709126628,0.0
2007-05,0.0833692018263154,0.0,0.08336920182631546,0.08336920182631546,0.2816266036381635,0.0008448798109144905,1.197336121917153e-05,0.000380286224926692,0.008746583173313916,9.5071556231673e-05,1.1076572244497342,0.0
2007-06,0.01032007565723683,-0.0005228722841100764,0.009791807291595678,0.009791807291595678,0.059320127033850596,0.0001779603811015518,2.969212135235627e-05,0.0029319949137903262,0.045874433286235944,0.0007329987284475816,1.1185031905366898,0.0
2007-07,0.10488121423025405,-0.0005047345169136852,0.1043235425443425,0.1043235425443425,0.013786026047716449,4.135807814314935e-05,6.069000790024787e-06,0.013965940415288357,0.12361480635885538,0.0034914851038220893,1.235189405720627,0.0
2007-08,-0.014005761066394843,2.5367273123855227e-05,-0.013980749081237254,-0.013980749081237254,0.02648086311561562,7.944258934684687e-05,1.1136737235012405e-06,0.06925174982422848,0.7467813057440564,0.01731293745605712,1.2179205325714444,-0.013980749081237143
2007-09,0.0530814332402168,0.0006510924980542843,0.05376708666123964,0.05376708666123964,0.01091850288715817,3.2755508661474514e-05,1.5134465533140629e-06,0.016321007317787763,0.086998378597487,0.004080251829446941,1.2834045713927165,0.0
2007-10,0.060340339650808046,-4.949891820338337e-05,0.06028785395106784,0.06028785395106784,0.3086945777663216,0.0009260837332989648,2.4920658119566007e-05,0.03112142356324944,0.27999999999999997,0.00778035589081236,1.3607782787529734,0.0
2007-11,-0.06999217596974312,0.0018301990953133451,-0.06829007649156871,-0.06829007649156871,0.3248974881152434,0.0009746924643457301,2.155110905003302e-05,0.02434379068451402,0.10800719674251137,0.006085947671128505,1.2678506260088676,-0.06829007649156882
2007-12,0.06758875498054379,-3.1379307420253966e-06,0.06758540496096965,0.06758540496096965,0.6122164741465939,0.0018366494224397816,0.00012340589505484593,0.007059710340603505,0.061742122991283614,0.0017649275851508762,1.3535388239976958,-0.005320084005097425
2008-01,-0.01976220364017176,2.019622159510348e-06,-0.01976022393019672,-0.01976022393019672,0.026060670890080538,7.818201267024161e-05,6.688611180639792e-06,0.0,0.0,0.0,1.3267925937372862,-0.02497518188402592
2008-02,0.07057183016308216,0.0,0.07057183016308222,0.07057183016308222,0.021332730624263767,6.39981918727913e-05,2.797331412432047e-06,0.0,0.0,0.0,1.4204267753241493,0.0
2008-03,0.007882935076203877,0.0,0.007882935076203967,0.007882935076203967,0.022005497290192882,6.601649187057865e-05,1.7638169350586763e-05,0.0032666113272087753,0.042386993042831646,0.0008166528318021938,1.4316239073745314,0.0
