Period,Target,Feature,AUC,DirectionalAUC,HighMeansRisk,N,Events
calibration,final_loss3,sector_mean_corr_21,0.6047745358090186,0.6047745358090186,True,129,13
calibration,final_loss3,sector_corr_dispersion_21,0.3521220159151194,0.6478779840848806,False,129,13
calibration,final_loss3,sector_eigen_ratio_21,0.5988063660477454,0.5988063660477454,True,129,13
calibration,final_loss3,sector_mean_corr_63,0.6206896551724138,0.6206896551724138,True,129,13
calibration,final_loss3,sector_corr_dispersion_63,0.3408488063660478,0.6591511936339522,False,129,13
calibration,final_loss3,sector_eigen_ratio_63,0.6187002652519895,0.6187002652519895,True,129,13
calibration,final_loss3,sector_positive_breadth_5,0.5762599469496021,0.5762599469496021,True,129,13
calibration,final_loss3,sector_return_dispersion_5,0.6213527851458887,0.6213527851458887,True,129,13
calibration,final_loss3,sector_positive_breadth_20,0.4946949602122016,0.5053050397877984,False,129,13
calibration,final_loss3,sector_return_dispersion_20,0.5669761273209549,0.5669761273209549,True,129,13
calibration,final_loss3,kospi_skew_21,0.47214854111405835,0.5278514588859416,False,129,13
calibration,final_loss3,kospi_excess_kurt_21,0.523209549071618,0.523209549071618,True,129,13
calibration,final_loss3,kospi_skew_63,0.5636604774535809,0.5636604774535809,True,129,13
calibration,final_loss3,kospi_excess_kurt_63,0.44496021220159154,0.5550397877984085,False,129,13
calibration,final_loss3,kospi_skew_126,0.4197612732095491,0.580238726790451,False,129,13
calibration,final_loss3,volume_ratio_5_20,0.4330238726790451,0.5669761273209549,False,129,13
calibration,final_loss3,volume_ratio_20_63,0.5125994694960212,0.5125994694960212,True,129,13
calibration,final_loss3,volume_z_63,0.5364721485411141,0.5364721485411141,True,129,13
calibration,final_loss3,down_volume_share_20,0.5643236074270557,0.5643236074270557,True,129,13
calibration,final_loss3,signed_volume_imbalance_20,0.4383289124668435,0.5616710875331565,False,129,13
calibration,final_loss3,index_volume_proxy_ratio_5_20,0.42506631299734754,0.5749336870026525,False,129,13
calibration,final_loss3,index_volume_proxy_ratio_20_63,0.5424403183023874,0.5424403183023874,True,129,13
calibration,final_loss3,index_volume_proxy_z_63,0.5424403183023874,0.5424403183023874,True,129,13
calibration,final_loss3,index_volume_proxy_momentum_20,0.5563660477453581,0.5563660477453581,True,129,13
calibration,final_loss3,index_volume_proxy_down_share_20,0.5643236074270557,0.5643236074270557,True,129,13
calibration,final_loss3,corr_kospi_semiconductor_63,0.6233421750663131,0.6233421750663131,True,129,13
calibration,final_loss3,corr_kospi_bank_63,0.5086206896551725,0.5086206896551725,True,129,13
calibration,final_loss3,corr_cyclical_defensive_63,0.5550397877984085,0.5550397877984085,True,129,13
locked,final_loss3,sector_mean_corr_21,0.5903225806451612,0.5903225806451612,True,103,10
locked,final_loss3,sector_corr_dispersion_21,0.446236559139785,0.553763440860215,False,103,10
locked,final_loss3,sector_eigen_ratio_21,0.5892473118279571,0.5892473118279571,True,103,10
locked,final_loss3,sector_mean_corr_63,0.4505376344086021,0.5494623655913979,False,103,10
