oap_weight,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,existing
0.0,0.15,129.0,0.12602394158576025,0.13895007738327617,0.9262874316813022,1.7398769391826179,-0.13038427811873865,0.9665578043925854,3.582093886784142,0.5891472868217055,structure
0.25,0.05,129.0,0.12486244153943615,0.13871548374833806,0.9201836338774911,1.7138913929347301,-0.13014873507621483,0.9593826744940469,3.5425723132355063,0.5891472868217055,structure
0.25,0.1,129.0,0.1258147632014155,0.1390239951703227,0.9245376481193114,1.7315357607948183,-0.12991166884783967,0.9684639133438989,3.574946926977797,0.5891472868217055,structure
0.25,0.15,129.0,0.1256801880420002,0.1389651986174989,0.9239806164189938,1.7348351981021266,-0.12967320272807747,0.9692070944337624,3.570355761337481,0.5891472868217055,structure
0.25,0.2,129.0,0.12593682287892993,0.13861118640522704,0.92763997071271,1.7474916419656765,-0.12943345706395315,0.9729850823400666,3.5791157446074937,0.5891472868217055,structure
0.5,0.05,129.0,0.124704131325996,0.13872434178980383,0.9191087046900921,1.7115622518057945,-0.12991166884783956,0.9599147823438176,3.537216335543298,0.5891472868217055,structure
0.5,0.1,129.0,0.12555303166919596,0.13903860955758066,0.9227654054400518,1.7275717422870025,-0.12943345706395337,0.9700199200208329,3.5660226093551213,0.5891472868217055,structure
0.5,0.15,129.0,0.12552373891052482,0.13894223263788638,0.9230986503721367,1.7330895504779396,-0.1289505934370352,0.9734250581158926,3.5650250660260503,0.5891472868217055,structure
0.5,0.2,129.0,0.12589970101340375,0.13852774891171116,0.9278725979550662,1.7486614757313588,-0.12849103993004185,0.9798325321512771,3.5778474207082334,0.5891472868217055,structure
0.75,0.05,129.0,0.12454854826797179,0.1387337290066221,0.9180485478393632,1.7092355546862796,-0.12967320272807714,0.9604802352969435,3.5319597801756935,0.5891472868217055,structure
0.75,0.1,129.0,0.1252916213429287,0.1390546939100851,0.9209872826059086,1.7235150874662593,-0.1289505934370353,0.9716250077135689,3.5571294173093477,0.5891472868217055,structure
0.75,0.15,129.0,0.1255069185463713,0.13888365664446878,0.9233199461322209,1.7339527680144178,-0.12825989883167788,0.9785359234617872,3.5644523753050485,0.5891472868217055,structure
0.75,0.2,129.0,0.12585407580893926,0.13844281266800293,0.9280597431686141,1.7496550807338458,-0.12756212191844696,0.9866100839040629,3.5762891259624943,0.5891472868217055,structure
