feature,mean_gain_share
realized_vol_63,0.06223919993969989
adx_14,0.06004995022485168
realized_vol_252,0.058966969232814165
macd_signal,0.052209612552620056
realized_vol_126,0.04483485941349045
sortino_60,0.04383609509055078
gold_spy,0.03956227674530502
macd,0.03864462206072923
downside_dev_10,0.03562848630598337
ichimoku_cloud_width,0.032693811864493674
realized_vol_20,0.03238039331982803
atr_14,0.030587772323999382
bb_width,0.028732762490839468
dist_sma_200,0.027126545936729272
ret_63,0.02176921575943868
drawdown_252,0.020885049855247386
relative_spy_20,0.020804141567672685
yield_tlt_shy,0.01832350822305222
keltner_width,0.018210299170515254
dist_high_252,0.01779301058943743
macd_hist,0.01680205615220471
ichimoku_kijun,0.013943565729419679
beta_spy_63,0.013505269794689256
aroon_osc,0.013359854371820601
corr_spy_20,0.013102817286831478
vix_level,0.013092298442406109
krw_ret_20,0.012689937778665965
oil_ret_20,0.010090040681947245
relative_spy_63,0.009686813646116114
dist_sma_50,0.009475347900960178
sortino_20,0.008666163150110939
tsi,0.008421097373364604
dist_sma_10,0.008232164693731493
plus_di,0.00771174341047342
dist_low_20,0.00727690433236482
cci_20,0.00714067470513227
ret_20,0.0065868480298042495
corr_krw_20,0.006558716676882023
minus_di,0.006370547523227077
krw_ret_63,0.00613364644802741
vix3m_level,0.006115835090167798
sox_relative_spy_20,0.006103498168195954
kr_hmm_p_bear,0.005905837778679647
ichimoku_tenkan,0.005175859591366986
stoch_k,0.004451358497918748
dist_high_20,0.0042957736467005335
dist_ema_12,0.0037971966153941706
williams_r,0.0036366012561322983
stoch_d,0.0032755858844255798
spy_ret_20,0.0032211286785833043
vix_change_5,0.002987544731053196
vix_change_10,0.0029728838301312597
kr_hmm_score,0.0026441337686610427
ret_10,0.0026162301168888274
rsi_3,0.0025716062038879206
dist_ema_26,0.0024563432418026523
kr_hmm_p_sideways,0.002398479407505719
sox_ret_20,0.0023677505824925196
dist_sma_5,0.0022719067948776357
roc_10,0.0022284344420211138
kr_hmm_p_bull,0.002063912897747664
vix_term_structure,0.002038588980228665
spy_ret_10,0.0018371682089962419
bb_pct_b,0.0018303774750505792
rsi_14,0.0017361592758982519
rsi_9,0.0015999993318333487
sox_ret_5,0.0014960911317668181
kospi200_ret_20,0.0014802617238391484
dist_sma_20,0.0014710736827160701
dollar_ret_20,0.0014515318840888965
ret_5,0.0011339416383090296
roc_5,0.0010764447527674562
roc_20,0.001020274492409512
spy_ret_5,0.0007979602938538801
krw_ret_5,0.0007915256117307645
kospi200_ret_5,0.0005656953266034271
ret_1,0.0005588066064654483
credit_hyg_lqd,0.000397523859426106
lag_ret_2,0.00037574908825153687
lag_ret_5,0.000218540964569236
lag_ret_1,0.0001934596780267151
krw_ret_1,0.00011737796041770215
sox_ret_1,8.282743015622235e-05
consecutive_down,2.3206150600561262e-05
consecutive_up,2.24224318821739e-05
obv_slope_10,0.0
vwap_deviation,0.0
volume_ratio_20,0.0
cmf_20,0.0
corr_btc_20,0.0
btc_vol_20,0.0
btc_ret_5,0.0
btc_ret_10,0.0
btc_rsi_14,0.0
btc_ret_20,0.0
