month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score,prediction_mode,bridge_train_observations,bridge_train_positive,bridge_train_negative,bridge_latest_training_month
2007-04,0.47840213211644816,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,36.0,8.0,28.0,2007-01
2007-05,0.3605426396899062,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,37.0,8.0,29.0,2007-02
2007-06,0.48457665969089125,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,38.0,8.0,30.0,2007-03
2007-07,0.5944295036180969,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,39.0,8.0,31.0,2007-04
2007-08,0.7915549729948643,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,40.0,8.0,32.0,2007-05
2007-09,0.7430670209866076,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,41.0,8.0,33.0,2007-06
2007-10,0.4364493776781615,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,42.0,8.0,34.0,2007-07
2007-11,0.5396463722380577,1.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,43.0,8.0,35.0,2007-08
2007-12,0.6370742697651929,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,44.0,8.0,36.0,2007-09
2008-01,0.44465777029668785,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,45.0,8.0,37.0,2007-10
2008-02,0.6434439813881299,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,46.0,9.0,37.0,2007-11
2008-03,0.36453681707771474,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,47.0,10.0,37.0,2007-12
2008-04,0.5737065691460922,0.0,0.6153846153846154,0.0,0.5,-0.0,vkospi_pretrained_bridge,48.0,11.0,37.0,2008-01
2008-05,0.38802968049712283,0.0,0.21428571428571427,0.0,0.5,-0.0,vkospi_pretrained_bridge,49.0,11.0,38.0,2008-02
2008-06,0.4686293141690503,0.0,0.4,0.0,0.5,-0.0,vkospi_pretrained_bridge,50.0,11.0,39.0,2008-03
2008-07,0.30087497721570305,1.0,0.0625,0.0,0.5,-0.0,vkospi_pretrained_bridge,51.0,11.0,40.0,2008-04
2008-08,0.4328620372670978,0.0,0.29411764705882354,0.0,0.5,-0.0,vkospi_pretrained_bridge,52.0,12.0,40.0,2008-05
2008-09,0.2524900692081709,0.0,0.05555555555555555,0.0,0.5,-0.0,vkospi_pretrained_bridge,53.0,13.0,40.0,2008-06
2008-10,0.6124156458451389,1.0,0.7894736842105263,0.0,0.5,-0.0,vkospi_pretrained_bridge,54.0,14.0,40.0,2008-07
2008-11,0.9688902131480511,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998,vkospi_pretrained_bridge,55.0,15.0,40.0,2008-08
2008-12,0.9563213343092063,0.0,0.9523809523809523,0.7619047619047614,0.3857142857142858,-0.7619047619047614,vkospi_pretrained_bridge,56.0,16.0,40.0,2008-09
2009-01,0.6302698300365437,0.0,0.7272727272727273,0.0,0.5,-0.0,vkospi_pretrained_bridge,57.0,17.0,40.0,2008-10
2009-02,0.6257205680152124,0.0,0.6956521739130435,0.0,0.5,-0.0,vkospi_pretrained_bridge,58.0,17.0,41.0,2008-11
2009-03,0.5864608267815236,1.0,0.5833333333333334,0.0,0.5,-0.0,vkospi_pretrained_bridge,59.0,17.0,42.0,2008-12
2009-04,0.5742738198283784,1.0,0.56,0.0,0.5,-0.0,vkospi_pretrained_bridge,60.0,18.0,42.0,2009-01
2009-05,0.527634706937816,0.0,0.46153846153846156,0.0,0.5,-0.0,vkospi_pretrained_bridge,61.0,19.0,42.0,2009-02
2009-06,0.4673837012632872,0.0,0.3333333333333333,0.0,0.5,-0.0,vkospi_pretrained_bridge,62.0,19.0,43.0,2009-03
2009-07,0.465682017340692,0.0,0.32142857142857145,0.0,0.5,-0.0,vkospi_pretrained_bridge,63.0,19.0,44.0,2009-04
2009-08,0.423690285683536,0.0,0.20689655172413793,0.0,0.5,-0.0,vkospi_pretrained_bridge,64.0,19.0,45.0,2009-05
2009-09,0.38858961975463363,0.0,0.2,0.0,0.5,-0.0,vkospi_pretrained_bridge,65.0,19.0,46.0,2009-06
2009-10,0.3741242669788353,0.0,0.16129032258064516,0.0,0.5,-0.0,vkospi_pretrained_bridge,66.0,19.0,47.0,2009-07
2009-11,0.4973514492437624,0.0,0.53125,0.0,0.5,-0.0,vkospi_pretrained_bridge,67.0,19.0,48.0,2009-08
2009-12,0.4878233127152574,0.0,0.5151515151515151,0.0,0.5,-0.0,vkospi_pretrained_bridge,68.0,19.0,49.0,2009-09
2010-01,0.455172020327014,0.0,0.35294117647058826,0.0,0.5,-0.0,vkospi_pretrained_bridge,69.0,20.0,49.0,2009-10
2010-02,0.5248351387786899,0.0,0.5714285714285714,0.0,0.5,-0.0,vkospi_pretrained_bridge,70.0,20.0,50.0,2009-11
2010-03,0.464103381920581,0.0,0.3611111111111111,0.0,0.5,-0.0,vkospi_pretrained_bridge,71.0,20.0,51.0,2009-12
2010-04,0.4769158969374444,0.0,0.4594594594594595,0.0,0.5,-0.0,vkospi_pretrained_bridge,72.0,21.0,51.0,2010-01
2010-05,0.48418570046038967,0.0,0.5,0.0,0.5,-0.0,vkospi_pretrained_bridge,73.0,21.0,52.0,2010-02
2010-06,0.1530960260458396,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-07,0.2729848417089717,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-08,0.2995320666663355,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-09,0.2740811568693995,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-10,0.3357432543147015,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-11,0.2402859694633684,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2010-12,0.2027667786913728,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2011-01,0.3786046158988054,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2011-02,0.2818304682537337,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2011-03,0.1620134595902692,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2011-04,0.3450424782142534,0.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
2011-05,0.2485224946103336,1.0,0.5,0.0,0.5,-0.0,standard_16_feature_expanding,,,,
