scenario,trigger,max_option_weight,candidate,active_months,average_option_weight,annual_option_budget,full_CAGR,full_CAGR_delta,full_Sharpe,full_Sharpe_delta,full_MDD,full_MDD_delta,pre2018_CAGR,pre2018_CAGR_delta,pre2018_Sharpe,pre2018_Sharpe_delta,pre2018_MDD,pre2018_MDD_delta,locked_CAGR,locked_CAGR_delta,locked_Sharpe,locked_Sharpe_delta,locked_MDD,locked_MDD_delta,full_score,pre2018_score,full_all_three_improve
Base,vix6_score,0.02,Base_vix6_score_w0.020,38,0.0014444116749245755,0.017332940099094904,0.146756254488132,-0.009609285250503863,1.0672926211121145,-0.06523606116517122,-0.1415504538382698,-0.011962456142731281,0.10534877858385117,-0.010583258784529148,0.782597827203485,-0.07485963787072736,-0.1415504538382698,-0.011962456142731281,0.20081087169967726,-0.0082673616302118,1.4499174711772331,-0.04700117528047065,-0.09760421330851332,1.1102230246251565e-16,-3.461895362626939,-3.75176425014059,False
Base,vix6_plus_logistic,0.02,Base_vix6_plus_logistic_w0.020,38,0.0015739609474278013,0.018887531369133615,0.14582334278196862,-0.010542196956667249,1.060516723343033,-0.07201195893425272,-0.14264329891795735,-0.013055301222418825,0.10466408347811917,-0.01126795389026114,0.7773226650803664,-0.08013479999384598,-0.14264329891795735,-0.013055301222418825,0.19954216055064844,-0.009536072779240623,1.441405413528722,-0.055513232928981804,-0.09760421330851343,0.0,-3.7999889965936617,-4.035021511144916,False
Base,vix6_score,0.03,Base_vix6_score_w0.030,38,0.002166617512386863,0.025999410148642356,0.1419467959284595,-0.014418743810176382,1.0333319494139805,-0.09919673286330521,-0.15400549364335736,-0.024417495947818835,0.10005856134578917,-0.01587347602259115,0.7446110656397136,-0.11284639943449881,-0.15400549364335736,-0.024417495947818835,0.19666570510641468,-0.012412528223474384,1.4240975761616699,-0.07282107029603391,-0.10197967895432603,-0.004375465645812593,-5.8675586330656255,-6.286025185730974,False
Base,vix6_sqrt,0.02,Base_vix6_sqrt_w0.020,38,0.0021178641694848312,0.025414370033817975,0.1426388530530176,-0.013726686685618272,1.0384752618567956,-0.09405342042049014,-0.15669617994707308,-0.02710818225153455,0.10023602027488199,-0.015696017093498327,0.7467167329196516,-0.11074073215456082,-0.15669617994707308,-0.02710818225153455,0.19805776814640375,-0.011020465183485317,1.4328258769903761,-0.06409276946732767,-0.09760421330851343,0.0,-5.964555302125085,-6.495234577594504,False
Base,vix6_plus_logistic,0.03,Base_vix6_plus_logistic_w0.030,38,0.002360941421141702,0.028331297053700424,0.14054589381909,-0.015819645919545877,1.0229206929893855,-0.10960798928790028,-0.16385745700724985,-0.034269459311711326,0.09903190025705011,-0.016900137111330205,0.7366964405251045,-0.12076102454910786,-0.16385745700724985,-0.034269459311711326,0.1947579600344287,-0.014320273295460373,1.4105831373793538,-0.08633550907834997,-0.10197967895432591,-0.004375465645812482,-7.201070308883725,-7.53218013328631,False
Base,vix6_sqrt,0.03,Base_vix6_sqrt_w0.030,38,0.0031767962542272473,0.038121555050726966,0.13577550253160098,-0.020590037207034895,0.9893672837103381,-0.14316139856694765,-0.1877277393999619,-0.058139741704423376,0.09239956510441627,-0.023532472263964044,0.6905290205493019,-0.1669284445249105,-0.1877277393999619,-0.058139741704423376,0.1925381094490708,-0.01654012388081827,1.397525018619067,-0.0993936278386367,-0.1045871031604072,-0.00698288985189377,-10.73620586248478,-11.505790287336952,False
Conservative,vix6_squared,0.005,Conservative_vix6_squared_w0.005,38,0.00019776755122540083,0.0023732106147048102,0.15487149099281483,-0.0014940487458210416,1.1226916318974045,-0.009837050379881251,-0.12958799769553841,1.1102230246251565e-16,0.11446415972397195,-0.0014678776444083663,0.8470266974926955,-0.010430767581516842,-0.12958799769553841,1.1102230246251565e-16,0.20755145550032328,-0.0015267778295657841,1.488743526634576,-0.008175119823127686,-0.09760421330851332,1.1102230246251565e-16,-0.3461458821797181,-0.3554031160711624,False
Conservative,vix6_score,0.005,Conservative_vix6_score_w0.005,38,0.00036110291873114387,0.004333235024773726,0.15381144154846482,-0.0025540981901710502,1.1156054702695186,-0.01692321200776714,-0.1312246077940945,-0.0016366100985559795,0.11315888947754615,-0.00277314789083416,0.838060936310632,-0.019396528763580334,-0.1312246077940945,-0.0016366100985559795,0.2068262668789389,-0.0022519664509501602,1.4846440048239467,-0.012274641633757133,-0.09760421330851343,0.0,-0.7575350690280458,-0.8289063742106206,False
Conservative,vix6_squared,0.01,Conservative_vix6_squared_w0.010,38,0.00039553510245080167,0.0047464212294096204,0.15337594047526149,-0.0029895992633743873,1.1126897519693832,-0.019838930307902514,-0.13049944680365033,-0.0009114491081118059,0.1129954134508151,-0.0029366239175652176,0.8365257389795068,-0.020931726094705616,-0.13049944680365033,-0.0009114491081118059,0.2060223213290442,-0.0030559120008448737,1.4802483774891881,-0.016670268968515645,-0.09760421330851332,1.1102230246251565e-16,-0.7868834433066696,-0.8034418244618147,False
Conservative,vix6_plus_logistic,0.005,Conservative_vix6_plus_logistic_w0.005,38,0.0003934902368569503,0.004721882842283404,0.1535615529236245,-0.0028039868150113723,1.1138723505018011,-0.018656331775484647,-0.1312246077940945,-0.0016366100985559795,0.11297929820080488,-0.0029527391675754355,0.8367003606485445,-0.020757104425667916,-0.1312246077940945,-0.0016366100985559795,0.20648140572039853,-0.0025968276094905374,1.4825045542603303,-0.01441409219737344,-0.09760421330851332,1.1102230246251565e-16,-0.8171863268664281,-0.8740770151264998,False
Conservative,vix6_sqrt,0.005,Conservative_vix6_sqrt_w0.005,38,0.0005294660423712078,0.006353592508454494,0.15270733290256278,-0.003658206836073097,1.1081692457059387,-0.024359436571347093,-0.1328842097824684,-0.0032962120869298728,0.11181948218138071,-0.0041125551869996,0.8288530834897352,-0.0286043815844772,-0.1328842097824684,-0.0032962120869298728,0.20604384298206613,-0.003034390347822935,1.4800176127882427,-0.016901033669461052,-0.09760421330851332,1.1102230246251565e-16,-1.1826306237272388,-1.3129643590824913,False
Conservative,vix6_score,0.01,Conservative_vix6_score_w0.010,38,0.0007222058374622877,0.008666470049547452,0.1512570118758969,-0.005108527862738965,1.098420597953989,-0.03410808432329682,-0.13390219400182823,-0.004314196306289708,0.11038643867869191,-0.005545598689688402,0.8185367545932579,-0.03892071048095447,-0.13390219400182823,-0.004314196306289708,0.20457283449605645,-0.004505398833832608,1.4719481530564344,-0.024970493401269334,-0.09760421330851343,0.0,-1.6244341033688037,-1.7643937092169004,False
Conservative,vix6_squared,0.02,Conservative_vix6_squared_w0.020,38,0.0007910702049016033,0.009492842458819241,0.15038028717908491,-0.005985252559550958,1.0922119530421364,-0.040316729235149396,-0.13245300128891646,-0.002865003593377935,0.11005528310478363,-0.005876754263596684,0.8153307093895882,-0.042126755684624206,-0.13245300128891646,-0.002865003593377935,0.2029569162429603,-0.006121317086928757,1.4623130873160088,-0.03460555914169494,-0.09760421330851343,0.0,-1.6913601999958772,-1.716710899389946,False
Conservative,vix6_plus_logistic,0.01,Conservative_vix6_plus_logistic_w0.010,38,0.0007869804737139006,0.009443765684566808,0.1507570789519137,-0.005608460786722169,1.0949006822647387,-0.03762800001254707,-0.13390219400182823,-0.004314196306289708,0.11002738721736849,-0.0059046501510118254,0.8158082841555662,-0.04164918091864622,-0.13390219400182823,-0.004314196306289708,0.20388247339232501,-0.005195759937564048,1.4675279717516732,-0.02939067470603063,-0.09760421330851332,1.1102230246251565e-16,-1.7448257095521291,-1.8548682641030778,False
Conservative,vix6_sqrt,0.01,Conservative_vix6_sqrt_w0.010,38,0.0010589320847424156,0.012707185016908987,0.14905019899585614,-0.00731534074277973,1.0833757039872314,-0.04915297829005438,-0.13722075054921434,-0.007632752853675817,0.10770990953895199,-0.008222127829428327,0.8000120727648226,-0.05744539230938983,-0.13722075054921434,-0.007632752853675817,0.20300886508047378,-0.006069368249415286,1.462514624638722,-0.034404021818981834,-0.09760421330851343,0.0,-2.4778689254466424,-2.734395914498211,False
Conservative,vix6_squared,0.03,Conservative_vix6_squared_w0.030,38,0.0011866053073524051,0.014239263688228861,0.14737848452635882,-0.00898705521227705,1.0711381412858365,-0.06139054099144925,-0.1383420681545412,-0.008754070459002672,0.10711158150429023,-0.008820455864090082,0.793907543168076,-0.0635499219061364,-0.1383420681545412,-0.008754070459002672,0.1998818806310665,-0.009196352698822574,1.4431489207493244,-0.053769725708379346,-0.10056673137820205,-0.0029625180696886133,-3.0019233869569573,-3.0284510704320033,False
Conservative,vix6_score,0.02,Conservative_vix6_score_w0.020,38,0.0014444116749245755,0.017332940099094904,0.1461471338037914,-0.010218405934844466,1.0633250996067134,-0.06920358267057236,-0.1433883518563842,-0.013800354160845685,0.10484361884264826,-0.011088418525732058,0.7791731332250426,-0.07828433184916983,-0.1433883518563842,-0.013800354160845685,0.20006152516694864,-0.009016708162940423,1.4453228649778902,-0.051595781479813585,-0.09760421330851332,1.1102230246251565e-16,-3.7859476629804623,-4.054563905641171,False
Conservative,vix6_plus_logistic,0.02,Conservative_vix6_plus_logistic_w0.020,38,0.0015739609474278013,0.018887531369133615,0.14514664566493063,-0.011218894073705243,1.056091821124427,-0.07643686115285875,-0.14471168991773797,-0.015123692222199447,0.10412604565757189,-0.011805991710808428,0.7737008026012501,-0.08375666247296232,-0.14471168991773797,-0.015123692222199447,0.19867823872814028,-0.010399994601748785,1.4359390582308509,-0.0609795882268529,-0.09760421330851332,1.1102230246251565e-16,-4.162995852647644,-4.368101642760034,False
Conservative,vix6_score,0.03,Conservative_vix6_score_w0.030,38,0.002166617512386863,0.025999410148642356,0.14103585578691713,-0.015329683951718742,1.0273650514927086,-0.10516363078457713,-0.1568712616454867,-0.027283263949948178,0.09930355792330725,-0.016628479445073063,0.739501639007702,-0.11795582606651034,-0.1568712616454867,-0.027283263949948178,0.19554421016388002,-0.013534023166009046,1.4171130057698145,-0.07980564068788931,-0.10331485653625239,-0.005710643227738954,-6.364567405858235,-6.750290860832331,False
Conservative,vix6_sqrt,0.02,Conservative_vix6_sqrt_w0.020,38,0.0021178641694848312,0.025414370033817975,0.14173917294708693,-0.01462636679154894,1.0326358634157498,-0.099892818861536,-0.15936934656029444,-0.02978134886475592,0.09949976860132681,-0.016432268767053504,0.7418142584222797,-0.11564320665193273,-0.15936934656029444,-0.02978134886475592,0.19693712815652065,-0.012141105173368416,1.4257661657252132,-0.07115248073249059,-0.09852183758510602,-0.0009176242765925879,-6.438627942861206,-6.934225896219597,False
Conservative,vix6_plus_logistic,0.03,Conservative_vix6_plus_logistic_w0.030,38,0.002360941421141702,0.028331297053700424,0.13953419083226337,-0.0168313489063725,1.01626923327141,-0.1162594490058757,-0.1668847466196698,-0.03729674892413126,0.09822800352944072,-0.017704033838939592,0.7312971893479642,-0.12616027572624822,-0.1668847466196698,-0.03729674892413126,0.1934654156156086,-0.01561281771428047,1.4022732864142078,-0.094645360043496,-0.10331485653625216,-0.005710643227738732,-7.737998763167891,-8.02328379083205,False
Conservative,vix6_sqrt,0.03,Conservative_vix6_sqrt_w0.030,38,0.0031767962542272473,0.038121555050726966,0.13443250664061135,-0.021933033098024524,0.9806186398799723,-0.15191004239731343,-0.19164374405520712,-0.062055746359668595,0.09130172710621554,-0.02463031026216478,0.6832480180844087,-0.17420944698980367,-0.19164374405520712,-0.062055746359668595,0.19086298446320216,-0.018215248866686906,1.3868203644923556,-0.11009828196534821,-0.10631180632695203,-0.008707593018438597,-11.43707879371558,-12.15279460197941,False
Optimistic,vix6_squared,0.005,Optimistic_vix6_squared_w0.005,38,0.00019776755122540083,0.0023732106147048102,0.15503350290094242,-0.001332036837693451,1.1237498666409262,-0.008778815636359516,-0.12958799769553853,0.0,0.11459865720750839,-0.001333380160871922,0.8479726031528259,-0.009484861921386534,-0.12958799769553853,0.0,0.2077505039635028,-0.0013277293663862544,1.489892632294453,-0.007026014163250771,-0.09760421330851332,1.1102230246251565e-16,-0.3087799964965354,-0.3230352545149229,False
Optimistic,vix6_score,0.005,Optimistic_vix6_score_w0.005,38,0.00036110291873114387,0.004333235024773726,0.15412002649396306,-0.0022455132446728143,1.1175994938189322,-0.01492918845835356,-0.13056081230398908,-0.0009728146084505562,0.11341009649316725,-0.002521940875213069,0.8397746157713764,-0.017682849302836035,-0.13056081230398908,-0.0009728146084505562,0.20721217927398738,-0.001866054055901678,1.486952106032274,-0.009966540425429882,-0.09760421330851343,0.0,-0.6204165544794082,-0.7031325344230832,False
Optimistic,vix6_squared,0.01,Optimistic_vix6_squared_w0.010,38,0.00039553510245080167,0.0047464212294096204,0.15369980924565674,-0.0026657304929791348,1.1148157406899684,-0.0177129415873174,-0.1297323093354077,-0.00014431163986916573,0.11326421099582262,-0.002667826372557691,0.8384166260865296,-0.01904083898768283,-0.1297323093354077,-0.00014431163986916573,0.20642032538748567,-0.0026579079424033925,1.482574639237101,-0.014344007220602695,-0.09760421330851332,1.1102230246251565e-16,-0.635263045031178,-0.6620305809963423,False
Optimistic,vix6_plus_logistic,0.005,Optimistic_vix6_plus_logistic_w0.005,38,0.0003934902368569503,0.004721882842283404,0.1539045383750215,-0.002461001363614379,1.1160972841797088,-0.016431398097576988,-0.13056081230398908,-0.0009728146084505562,0.11324632427497772,-0.0026857130934025975,0.8385113781058503,-0.018946086968362086,-0.13056081230398908,-0.0009728146084505562,0.20692687549306021,-0.002151357836828849,1.48524825619825,-0.011670390259453711,-0.09760421330851332,1.1102230246251565e-16,-0.6720095591580333,-0.7447745095525571,False
Optimistic,vix6_sqrt,0.005,Optimistic_vix6_sqrt_w0.005,38,0.0005294660423712078,0.006353592508454494,0.15316284302875505,-0.0032026967098808257,1.111108044978294,-0.021420637298991796,-0.13195749724010553,-0.0023694995445669997,0.11218426911872181,-0.0037477682496585007,0.831302702575893,-0.026154762498319384,-0.13195749724010553,-0.0023694995445669997,0.20662174008983536,-0.002456493240053703,1.4835719886380316,-0.013346657819672147,-0.09760421330851332,1.1102230246251565e-16,-0.9856323714246185,-1.1348220293889377,False
Optimistic,vix6_score,0.01,Optimistic_vix6_score_w0.010,38,0.0007222058374622877,0.008666470049547452,0.15187326776939902,-0.00449227196923685,1.102417693453788,-0.03011098882349783,-0.13257880605747085,-0.002990808361932329,0.11088795992411304,-0.00504407744426727,0.8219583001303773,-0.03549916494383509,-0.13257880605747085,-0.002990808361932329,0.20534380301606503,-0.003734430313824033,1.4765977222788482,-0.02032092417885556,-0.09760421330851343,0.0,-1.3505278095868745,-1.5134718794966617,False
Optimistic,vix6_squared,0.02,Optimistic_vix6_squared_w0.020,38,0.0007910702049016033,0.009492842458819241,0.15102740695736383,-0.0053381327812720425,1.0964987305917455,-0.03602995168554024,-0.13092253233259676,-0.0013345346370582378,0.11059208879215099,-0.005339948576229325,0.8191067067453922,-0.03835075832882018,-0.13092253233259676,-0.0013345346370582378,0.2037525579156314,-0.005325675414257658,1.4670742843093671,-0.029844362148336634,-0.09760421330851332,1.1102230246251565e-16,-1.3878657755438328,-1.4344634879051599,False
Optimistic,vix6_plus_logistic,0.01,Optimistic_vix6_plus_logistic_w0.010,38,0.0007869804737139006,0.009443765684566808,0.15144193435935804,-0.004923605379277829,1.099360738554933,-0.033167943722352655,-0.13257880605747085,-0.002990808361932329,0.11056041694804697,-0.005371620420333345,0.8194231869016008,-0.038034278172611624,-0.13257880605747085,-0.002990808361932329,0.20477227095092232,-0.004305962378966743,1.4730573720945885,-0.023861274363115248,-0.09760421330851332,1.1102230246251565e-16,-1.4548002485680689,-1.5969284416787999,False
Optimistic,vix6_sqrt,0.01,Optimistic_vix6_sqrt_w0.010,38,0.0010589320847424156,0.012707185016908987,0.14995906311824525,-0.006406476620390622,1.089259282387554,-0.043269399889731774,-0.13537703204242146,-0.0057890343468829375,0.10843737975084333,-0.007494657617536982,0.8048959771539078,-0.05256148792030457,-0.13537703204242146,-0.0057890343468829375,0.20416269086787286,-0.004915542462016198,1.4696673008510093,-0.02725134560669451,-0.09760421330851343,0.0,-2.0849390945219914,-2.3795989548480834,False
Optimistic,vix6_squared,0.03,Optimistic_vix6_squared_w0.030,38,0.0011866053073524051,0.014239263688228861,0.14834824245480305,-0.008017297283832825,1.0776137549413207,-0.054914927335965036,-0.13502914051470916,-0.00544114281917063,0.1079156064886353,-0.008016430879745018,0.7995587819575148,-0.05789868311669755,-0.13502914051470916,-0.00544114281917063,0.2010748036831267,-0.008003429646762372,1.450445696340911,-0.046472950116792866,-0.09853829360414224,-0.000934080295628803,-2.4441425570196462,-2.5037310322255157,False
Optimistic,vix6_score,0.02,Optimistic_vix6_score_w0.020,38,0.0014444116749245755,0.017332940099094904,0.14737599289796766,-0.008989546840668217,1.071346631478969,-0.061182050798316734,-0.1397294865085299,-0.010141488812991373,0.1058430932916139,-0.010088944076766415,0.785985742215143,-0.07147172285906944,-0.1397294865085299,-0.010141488812991373,0.2016000408895784,-0.007478192440310671,1.454747164640864,-0.04217148181683972,-0.09760421330851354,-1.1102230246251565e-16,-3.1367445813322936,-3.4524777461571676,False
Optimistic,vix6_plus_logistic,0.02,Optimistic_vix6_plus_logistic_w0.020,38,0.0015739609474278013,0.018887531369133615,0.1465119024137822,-0.00985363732485367,1.065040610805504,-0.06748807147178182,-0.14060075257582194,-0.011012754880283415,0.1051880200235562,-0.010744017344824108,0.7808937303924501,-0.07656373468176225,-0.14060075257582194,-0.011012754880283415,0.200453277436337,-0.008624955893552055,1.447151479263618,-0.049767167194085804,-0.09760421330851332,1.1102230246251565e-16,-3.436400649949345,-3.7069519161459974,False
Optimistic,vix6_score,0.03,Optimistic_vix6_score_w0.030,38,0.002166617512386863,0.025999410148642356,0.14287367192445743,-0.013491867814178438,1.0394204744555364,-0.09310820782174933,-0.15118996267336993,-0.0216019649778314,0.10079742364610711,-0.015134613722273205,0.7496608965446075,-0.10779656852960484,-0.15118996267336993,-0.0216019649778314,0.19784685928682832,-0.011231374043060738,1.4314191295794327,-0.06549951687827105,-0.10053881558081212,-0.002934602272298692,-5.3715474356359705,-5.829589240602557,False
Optimistic,vix6_sqrt,0.02,Optimistic_vix6_sqrt_w0.020,38,0.0021178641694848312,0.025414370033817975,0.14354828705510836,-0.012817252683527514,1.0444066013354443,-0.08812208094184149,-0.1541232880232679,-0.024535290327729387,0.10094631020605105,-0.014985727162329265,0.7515032245090022,-0.10595424056521019,-0.1541232880232679,-0.024535290327729387,0.1992369115343562,-0.009841321795532876,1.4402286671176197,-0.05668997934008413,-0.09760421330851332,1.1102230246251565e-16,-5.49769591996252,-6.071186560310069,False
Optimistic,vix6_plus_logistic,0.03,Optimistic_vix6_plus_logistic_w0.030,38,0.002360941421141702,0.028331297053700424,0.14157541061167156,-0.014790129126964313,1.0297110948498762,-0.10281758742740954,-0.16086486014804857,-0.031276862452510046,0.09981484647730055,-0.01611719089107977,0.7420152572665252,-0.11544220780768721,-0.16086486014804857,-0.031276862452510046,0.19612116211396113,-0.012957071215927929,1.4192912233404602,-0.07762742311724358,-0.10053881558081212,-0.002934602272298692,-6.663050906495627,-7.048249490512726,False
Optimistic,vix6_sqrt,0.03,Optimistic_vix6_sqrt_w0.030,38,0.0031767962542272473,0.038121555050726966,0.13713327704430234,-0.019232262694333535,0.9982397593477988,-0.1342889229294869,-0.18398172549361724,-0.05439372779807872,0.09345897256097113,-0.022473064807409182,0.6976303797300722,-0.15982708534414014,-0.18398172549361724,-0.05439372779807872,0.19430086802118818,-0.014777365308700885,1.4087101504262154,-0.08820849603148839,-0.10272047164611453,-0.005116258337601098,-10.048377507830963,-10.883220967431592,False
