scenario,trigger,max_option_weight,candidate,active_months,average_option_weight,annual_option_budget,full_CAGR,full_CAGR_delta,full_Sharpe,full_Sharpe_delta,full_MDD,full_MDD_delta,pre2018_CAGR,pre2018_CAGR_delta,pre2018_Sharpe,pre2018_Sharpe_delta,pre2018_MDD,pre2018_MDD_delta,locked_CAGR,locked_CAGR_delta,locked_Sharpe,locked_Sharpe_delta,locked_MDD,locked_MDD_delta,full_score,pre2018_score,full_all_three_improve
Base,vix6_squared,0.005,Base_vix6_squared_w0.005,38,0.00019776755122540083,0.0023732106147048102,0.1549513196607164,-0.0014142200779194702,1.1232119443317117,-0.009316737945574083,-0.12958799769553841,1.1102230246251565e-16,0.11453133964911033,-0.0014006977192699832,0.8474970388389631,-0.009960426235249287,-0.12958799769553841,1.1102230246251565e-16,0.20764830021255642,-0.001429933117332638,1.4893019886456593,-0.007616657812044458,-0.09760421330851343,0.0,-0.3277567667034176,-0.33927829663197295,False
Base,vix6_score,0.005,Base_vix6_score_w0.005,38,0.00036110291873114387,0.004333235024773726,0.15396440795506683,-0.0024011317835690438,1.1165905512929537,-0.015938130984332055,-0.13088716036090997,-0.001299162665371445,0.11328586456599221,-0.0026461728023881026,0.8389217341892056,-0.018535730885006818,-0.13088716036090997,-0.001299162665371445,0.2070142357170104,-0.0020639976128786763,1.4857666129870548,-0.01115203347064897,-0.09760421330851354,-1.1102230246251565e-16,-0.68879206458069,-0.7652481644760911,False
Base,vix6_squared,0.01,Base_vix6_squared_w0.010,38,0.00039553510245080167,0.0047464212294096204,0.15353552312681495,-0.002830016611820918,1.1137354236460972,-0.018793258631188525,-0.1301172206744332,-0.0005292229788946834,0.11312967776151228,-0.0028023596068680323,0.8374662305846816,-0.019991234489530774,-0.1301172206744332,-0.0005292229788946834,0.2062159661614109,-0.0028622671684781498,1.4813795782821444,-0.01553906817555939,-0.09760421330851332,1.1102230246251565e-16,-0.7117891316953306,-0.732982948366887,False
Base,vix6_plus_logistic,0.005,Base_vix6_plus_logistic_w0.005,38,0.0003934902368569503,0.004721882842283404,0.1537315652023794,-0.002633974536256467,1.1149711127320843,-0.01755756954520149,-0.13088716036090997,-0.001299162665371445,0.11311459927119372,-0.0028174380971865975,0.8376116120951561,-0.019845852979056278,-0.13088716036090997,-0.001299162665371445,0.2066982238493864,-0.002380009480502654,1.4838385896648296,-0.013080056792874162,-0.09760421330851343,0.0,-0.744465111066821,-0.8085771358369298,False
Base,vix6_sqrt,0.005,Base_vix6_sqrt_w0.005,38,0.0005294660423712078,0.006353592508454494,0.1529338873636914,-0.0034316523749444716,1.1096251491556441,-0.022903533121641617,-0.1324068366189569,-0.0028188389234183875,0.11200518556441574,-0.0039268518039645706,0.8300915550908358,-0.027365909983376624,-0.1324068366189569,-0.0028188389234183875,0.2063254630533944,-0.002752770276494676,1.481747349314831,-0.015171297142872797,-0.09760421330851343,0.0,-1.0831197922691183,-1.2218872724058283,False
Base,vix6_score,0.01,Base_vix6_score_w0.010,38,0.0007222058374622877,0.008666470049547452,0.1515624869268224,-0.00480305281181348,1.1003960571514628,-0.03213262512582293,-0.13322951465262922,-0.0036415169570906958,0.1106399317893485,-0.005292105579031814,0.8202558921505494,-0.037201572923662996,-0.13322951465262922,-0.0036415169570906958,0.2049483504381615,-0.004129882891727554,1.474211445376252,-0.022707201081451744,-0.09760421330851343,0.0,-1.4871094794068762,-1.6373937120855109,False
Base,vix6_squared,0.02,Base_vix6_squared_w0.020,38,0.0007910702049016033,0.009492842458819241,0.1506991549836345,-0.0056663847550013635,1.0943217995370131,-0.03820688274027262,-0.13169051099112628,-0.002102513295587749,0.11032342979827447,-0.005608607570105839,0.8172098379052322,-0.04024762716898023,-0.13169051099112628,-0.002102513295587749,0.20334403000383583,-0.005734203326053233,1.4646308005735384,-0.032287845884165334,-0.09760421330851343,0.0,-1.5410274598643636,-1.5760646299489633,False
Base,vix6_plus_logistic,0.01,Base_vix6_plus_logistic_w0.010,38,0.0007869804737139006,0.009443765684566808,0.1510965442209471,-0.005268995517688779,1.0971042234577573,-0.03542445881952849,-0.13322951465262922,-0.0036415169570906958,0.11029746118086337,-0.005634576187516949,0.8176276454689273,-0.03982981960528509,-0.13322951465262922,-0.0036415169570906958,0.20431555037678284,-0.004762682953106223,1.4702189820569447,-0.026699664400759104,-0.09760421330851332,1.1102230246251565e-16,-1.5995404238685174,-1.7242057065664662,False
Base,vix6_sqrt,0.01,Base_vix6_sqrt_w0.010,38,0.0010589320847424156,0.012707185016908987,0.149502217387105,-0.006863322351530865,1.0862918964058323,-0.04623678587145341,-0.13627118942668626,-0.006683191731147731,0.10808022115921578,-0.00785181620916453,0.8024819380539346,-0.05497552702027775,-0.13627118942668626,-0.006683191731147731,0.2035711314807247,-0.005507101849164364,1.4659991690191165,-0.03091947743858725,-0.09760421330851354,-1.1102230246251565e-16,-2.279387125696928,-2.553011334436781,False
Base,vix6_squared,0.03,Base_vix6_squared_w0.030,38,0.0011866053073524051,0.014239263688228861,0.14785634249789115,-0.008509197240744726,1.0743271900201008,-0.05820149225718496,-0.13670253986472625,-0.007114542169187721,0.10751322911207373,-0.008418808256306587,0.7967213045653202,-0.06073616050889219,-0.13670253986472625,-0.007114542169187721,0.20046229242515867,-0.00861594090473039,1.4467043607606347,-0.050214285697069094,-0.0995887386453902,-0.0019845253368767635,-2.726403786136944,-2.7680582527272746,False
