target_month,p_tail_raw,risk_percentile,risk_severity,p_up,score,tail_event,adverse_excursion,horizon
2005-01,0.19428623417400226,0.5,0.0,0.5,-0.0,0.0,-0.022039045553145398,10D_20D_ensemble
2005-02,0.20182377694297288,0.5,0.0,0.5,-0.0,0.0,-0.01090368412357512,10D_20D_ensemble
2005-03,0.19428623417400226,0.5,0.0,0.5,-0.0,1.0,-0.05387848681696594,10D_20D_ensemble
2005-04,0.18837043467800613,0.5,0.0,0.5,-0.0,0.0,-0.05770155473633598,10D_20D_ensemble
2005-05,0.18837043467800613,0.5,0.0,0.5,-0.0,0.0,0.002636502806599772,10D_20D_ensemble
2005-06,0.1918432817182163,0.5,0.0,0.5,-0.0,0.0,-0.00040051265620000276,10D_20D_ensemble
2005-07,0.19263625983502905,0.5,0.0,0.5,-0.0,0.0,0.00857606428185087,10D_20D_ensemble
2005-08,0.18708375930731796,0.5,0.0,0.5,-0.0,1.0,-0.04116662015071171,10D_20D_ensemble
2005-09,0.19263625983502905,0.5,0.0,0.5,-0.0,0.0,0.021700335498607837,10D_20D_ensemble
2005-10,0.17823752174848292,0.5,0.0,0.5,-0.0,1.0,-0.06981910504601718,10D_20D_ensemble
2005-11,0.1768473898811435,0.5,0.0,0.5,-0.0,0.0,0.02781510346680993,10D_20D_ensemble
2005-12,0.18229247589682773,0.5,0.0,0.5,-0.0,0.0,0.006146429647484242,10D_20D_ensemble
2006-01,0.17482848517063776,0.11538461538461539,0.0,0.5,-0.0,1.0,-0.05292227920870207,10D_20D_ensemble
2006-02,0.17482848517063776,0.17857142857142855,0.0,0.5,-0.0,1.0,-0.06830888458344875,10D_20D_ensemble
2006-03,0.17112818692700799,0.16666666666666666,0.0,0.5,-0.0,0.0,-0.046661031276415854,10D_20D_ensemble
2006-04,0.16179343021454662,0.0625,0.0,0.5,-0.0,0.0,0.015209125475285079,10D_20D_ensemble
2006-05,0.1715280522671263,0.20588235294117646,0.0,0.5,-0.0,1.0,-0.08565996740901671,10D_20D_ensemble
2006-06,0.17291338012226612,0.2777777777777778,0.0,0.5,-0.0,1.0,-0.09110578328752694,10D_20D_ensemble
2006-07,0.18255727875947161,0.5526315789473684,0.0,0.5,-0.0,0.0,-0.046342191699014657,10D_20D_ensemble
2006-08,0.18118913431716593,0.525,0.0,0.5,-0.0,0.0,-0.008130081300813052,10D_20D_ensemble
2006-09,0.15301478616406344,0.07142857142857142,0.0,0.5,-0.0,0.0,-0.01801185590515275,10D_20D_ensemble
2006-10,0.21016319315737403,0.8636363636363636,0.31818181818181807,0.45227272727272727,-0.31818181818181807,1.0,-0.035214827295703466,10D_20D_ensemble
2006-11,0.17587729192410062,0.43478260869565216,0.0,0.5,-0.0,0.0,0.006220312146573148,10D_20D_ensemble
2006-12,0.18115841252721307,0.5625,0.0,0.5,-0.0,1.0,-0.03800821799307963,10D_20D_ensemble
2007-01,0.1804501628409372,0.54,0.0,0.5,-0.0,1.0,-0.05609795566103881,10D_20D_ensemble
2007-02,0.2003573583634635,0.8076923076923077,0.03846153846153833,0.49423076923076925,-0.03846153846153833,0.0,0.017671458605602597,10D_20D_ensemble
2007-03,0.2003573583634635,0.8148148148148148,0.07407407407407364,0.48888888888888893,-0.07407407407407364,0.0,-0.03007641921397375,10D_20D_ensemble
2007-04,0.17393147524779046,0.42857142857142855,0.0,0.5,-0.0,0.0,0.0051172707889126645,10D_20D_ensemble
2007-05,0.17512041339649392,0.5,0.0,0.5,-0.0,0.0,0.00659783429866545,10D_20D_ensemble
2007-06,0.24250389508833653,0.75,0.0,0.5,-0.0,0.0,0.008962808962808877,10D_20D_ensemble
2007-07,0.18559488069266514,0.596774193548387,0.0,0.5,-0.0,0.0,0.01554380732908589,10D_20D_ensemble
2007-08,0.18819130005625287,0.703125,0.0,0.5,-0.0,1.0,-0.14632449246889323,10D_20D_ensemble
2007-09,0.1694170381671536,0.19696969696969696,0.0,0.5,-0.0,0.0,-0.03709921101225455,10D_20D_ensemble
2007-10,0.15021183629456664,0.029411764705882353,0.0,0.5,-0.0,0.0,-0.02936893203883484,10D_20D_ensemble
2007-11,0.15964854989414862,0.14285714285714285,0.0,0.5,-0.0,1.0,-0.13393748560018437,10D_20D_ensemble
2007-12,0.15964854989414862,0.16666666666666666,0.0,0.5,-0.0,0.0,-0.031333967177876065,10D_20D_ensemble
2008-01,0.1291119702773213,0.02702702702702703,0.0,0.5,-0.0,1.0,-0.15219463671405487,10D_20D_ensemble
2008-02,0.13844795643773136,0.06578947368421052,0.0,0.5,-0.0,0.0,-0.0010107330220918698,10D_20D_ensemble
2008-03,0.12350440968439266,0.038461538461538464,0.0,0.5,-0.0,0.0,-0.07917915609868575,10D_20D_ensemble
2008-04,0.13655397719153745,0.075,0.0,0.5,-0.0,0.0,0.0007351252010108222,10D_20D_ensemble
2008-05,0.13655397719153745,0.0975609756097561,0.0,0.5,-0.0,0.0,-0.01944680851063807,10D_20D_ensemble
2008-06,0.14470735590267658,0.19047619047619047,0.0,0.5,-0.0,1.0,-0.10081697970184456,10D_20D_ensemble
2008-07,0.2178090713003307,0.9534883720930232,0.7674418604651159,0.3848837209302326,-0.7674418604651159,1.0,-0.09853877856875237,10D_20D_ensemble
2008-08,0.10218714117202715,0.022727272727272728,0.0,0.5,-0.0,0.0,-0.0752988438173624,10D_20D_ensemble
2008-09,0.16866087394829415,0.4333333333333333,0.0,0.5,-0.0,0.0,-0.052709568162574216,10D_20D_ensemble
2008-10,0.1300400909304169,0.07608695652173914,0.0,0.5,-0.0,1.0,-0.3394598649662417,10D_20D_ensemble
2008-11,0.14976397952770082,0.2765957446808511,0.0,0.5,-0.0,0.0,-0.16244067796610173,10D_20D_ensemble
2008-12,0.1387464566652747,0.17708333333333331,0.0,0.5,-0.0,0.0,-0.06561922365988893,10D_20D_ensemble
2009-01,0.14268922235944737,0.2142857142857143,0.0,0.5,-0.0,0.0,-0.0314314998291767,10D_20D_ensemble
2009-02,0.13961705462571164,0.21000000000000002,0.0,0.5,-0.0,0.0,-0.09482587722196534,10D_20D_ensemble
2009-03,0.18329745160042898,0.6568627450980392,0.0,0.5,-0.0,0.0,-0.04055913666980526,10D_20D_ensemble
2009-04,0.1770599823976376,0.5576923076923077,0.0,0.5,-0.0,0.0,0.021973122731036243,10D_20D_ensemble
2009-05,0.2887747129684658,0.9905660377358491,0.9528301886792453,0.3570754716981132,-0.9528301886792453,0.0,-0.011299088792689038,10D_20D_ensemble
2009-06,0.2758830767630457,0.9814814814814814,0.907407407407407,0.36388888888888893,-0.907407407407407,0.0,-0.025013811728254898,10D_20D_ensemble
2009-07,0.21027691641864998,0.6,0.0,0.5,-0.0,0.0,-0.0016640234037494928,10D_20D_ensemble
2009-08,0.3137223960223475,0.6785714285714286,0.0,0.5,-0.0,0.0,-0.012977544706329947,10D_20D_ensemble
2009-09,0.3380717403372555,0.6491228070175439,0.0,0.5,-0.0,0.0,0.012236086298972548,10D_20D_ensemble
2009-10,0.1924446147361788,0.7155172413793103,0.0,0.5,-0.0,1.0,-0.055956708008011335,10D_20D_ensemble
2009-11,0.19705330897531698,0.788135593220339,0.0,0.5,-0.0,0.0,-0.02945403985285555,10D_20D_ensemble
2009-12,0.19705330897531698,0.7916666666666667,0.0,0.5,-0.0,0.0,0.010159542558220824,10D_20D_ensemble
