month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,regime,accelerator_asset,sleeve_used,brake_used,early_guard_used,w_KODEX200,w_BOND,w_GLD,w_USO,base_w_KODEX200,base_w_BOND,base_w_GLD,base_w_USO
2007-04,0.004425824444882491,0.00608614696416451,1.0044258244448825,0.0,0.9999999999999999,0.0014999999999999998,0.00016032251928201898,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.28527257363115627,0.39408238780480565,0.2401207025105579,0.0805243360534801,0.28527257363115627,0.39408238780480565,0.2401207025105579,0.0805243360534801
2007-05,0.035416147364084924,0.03557684429235191,1.039998717459715,0.0,0.05031214116719399,0.00015093642350158198,9.760504765399664e-06,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.32944806272171895,0.34319104787191024,0.23169374797932696,0.09566714142704376,0.32944806272171895,0.34319104787191024,0.23169374797932696,0.09566714142704376
2007-06,0.004681081493105299,0.004818516544033394,1.0448670362088688,0.0,0.04017578797576263,0.00012052736392728789,1.6907687000807024e-05,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.3070184529259065,0.3385158783023495,0.2447473450745271,0.10971832369721686,0.3070184529259065,0.3385158783023495,0.2447473450745271,0.10971832369721686
2007-07,0.05341882389703928,0.053461192536974615,1.1006826044119316,0.0,0.012291019866536745,3.687305959961024e-05,5.495580335723755e-06,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.3179170645539047,0.33966276110730487,0.23853047663157145,0.10388969770721894,0.3179170645539047,0.33966276110730487,0.23853047663157145,0.10388969770721894
2007-08,-0.003821574423586866,-0.0037055792493485345,1.096476263922424,-0.003821574423586882,0.03383738493227774,0.00010151215479683322,1.4483019441498463e-05,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.29766251580156294,0.32979864258186875,0.25212300345969607,0.12041583815687232,0.29766251580156294,0.32979864258186875,0.25212300345969607,0.12041583815687232
2007-09,0.03945614073383554,0.03949315835063892,1.1397389857030573,0.0,0.010650834145704585,3.195250243711376e-05,5.0651143662640005e-06,Goldilocks,OFF_HISTORY,0.0,0.0,0.0,0.30261240415385476,0.33168464307075884,0.2488340284220914,0.11686892435329495,0.30261240415385476,0.33168464307075884,0.2488340284220914,0.11686892435329495
2007-10,0.046273177502307104,0.04655529398258453,1.1924783300947943,0.0,0.08575765676504943,0.0002572729702951483,2.4843509982280604e-05,Slowdown,OFF_HISTORY,0.0,0.0,0.0,0.2657309685466389,0.40565139630743524,0.24754512441373672,0.0810725107321891,0.2657309685466389,0.40565139630743524,0.24754512441373672,0.0810725107321891
2007-11,-0.028507297355535893,-0.02809850056212085,1.1584839957487492,-0.02850729735553581,0.1280360922614124,0.0003841082767842372,2.4688516630810565e-05,Overheating,OFF_HISTORY,0.0,0.0,0.0,0.33641526014752915,0.27368799368320645,0.23803038561800482,0.15186636055125954,0.33641526014752915,0.27368799368320645,0.23803038561800482,0.15186636055125954
2007-12,0.04563175449604646,0.04593135763432395,1.211347653030355,0.0,0.09102341107420966,0.000273070233222629,2.653290505485695e-05,Overheating,OFF_HISTORY,0.0,0.0,0.17118575704212544,0.22734080407722504,0.31863754071473294,0.26826111217391285,0.1857605430341292,0.26396930082225745,0.23573894549292057,0.27616367599737,0.22412807768745197
2008-01,-0.0034128707261903276,-0.0031677687553116167,1.2072134800860883,-0.0034128707261904534,0.07194361117738723,0.00021583083353216172,2.9271137346549154e-05,Overheating,OFF_HISTORY,0.0,0.0,0.0,0.22942905798566038,0.2334719996364854,0.30557523133327497,0.2315237110445793,0.22942905798566038,0.2334719996364854,0.30557523133327497,0.2315237110445793
