,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
proposed,103.0,0.09018043689670496,0.07562916784077577,1.1825984023715153,2.51242921230491,-0.08051673734261877,1.1200210027508286,2.098268848141202,0.6407766990291263
soft,103.0,0.13611525362770638,0.12537238909342915,1.0843273376542515,2.034734983506342,-0.1446009358749365,0.9413165468405456,2.9902593301305167,0.6601941747572816
hard,103.0,0.2258441638747215,0.23920282528110628,0.9780505140861996,1.6303501822425792,-0.2667196817244307,0.8467472756962084,5.742081433208998,0.6213592233009708
equal,103.0,0.1347901446460671,0.14347720917801454,0.9575884428725567,1.5717067409839633,-0.2731701816952471,0.4934292015679847,2.9604553627101295,0.6601941747572816
static_defensive,103.0,0.10696039550968606,0.0825025857381628,1.2772939526175395,2.5948080886703804,-0.09709287219952256,1.1016297395125574,2.3922159404116625,0.6213592233009708
kodex,103.0,0.16429992800263604,0.2898965474398074,0.6661057796329768,1.2464899450204867,-0.33401165499942786,0.4918987871932717,3.690258642510054,0.5533980582524272
