month,risk_severity,p_up,score,factor_name
2007-04,,,,blend_0.25
2007-05,,,,blend_0.25
2007-06,,,,blend_0.25
2007-07,,,,blend_0.25
2007-08,,,,blend_0.25
2007-09,,,,blend_0.25
2007-10,,,,blend_0.25
2007-11,,,,blend_0.25
2007-12,,,,blend_0.25
2008-01,,,,blend_0.25
2008-02,,,,blend_0.25
2008-03,,,,blend_0.25
2008-04,,,,blend_0.25
2008-05,,,,blend_0.25
2008-06,,,,blend_0.25
2008-07,,,,blend_0.25
2008-08,,,,blend_0.25
2008-09,,,,blend_0.25
2008-10,,,,blend_0.25
2008-11,,,,blend_0.25
2008-12,,,,blend_0.25
2009-01,,,,blend_0.25
2009-02,,,,blend_0.25
2009-03,,,,blend_0.25
2009-04,,,,blend_0.25
2009-05,,,,blend_0.25
2009-06,,,,blend_0.25
2009-07,,,,blend_0.25
2009-08,,,,blend_0.25
2009-09,,,,blend_0.25
2009-10,,,,blend_0.25
2009-11,,,,blend_0.25
2009-12,,,,blend_0.25
2010-01,,,,blend_0.25
2010-02,,,,blend_0.25
2010-03,,,,blend_0.25
2010-04,,,,blend_0.25
2010-05,,,,blend_0.25
2010-06,0.0,0.5,-0.0,blend_0.25
2010-07,0.0,0.5,-0.0,blend_0.25
2010-08,0.0,0.5,-0.0,blend_0.25
2010-09,0.0,0.5,-0.0,blend_0.25
2010-10,0.0,0.5,-0.0,blend_0.25
2010-11,0.0,0.5,-0.0,blend_0.25
2010-12,0.0,0.5,-0.0,blend_0.25
2011-01,0.0,0.5,-0.0,blend_0.25
2011-02,0.0,0.5,-0.0,blend_0.25
2011-03,0.0,0.5,-0.0,blend_0.25
2011-04,0.0,0.5,-0.0,blend_0.25
2011-05,0.15384615384615385,0.4769230769230769,-0.15384615384615385,blend_0.25
2011-06,0.07142857142857137,0.48928571428571427,-0.07142857142857137,blend_0.25
2011-07,0.0,0.5,-0.0,blend_0.25
2011-08,1.0,0.35,-1.0,blend_0.25
2011-09,0.926470588235294,0.36102941176470593,-0.926470588235294,blend_0.25
2011-10,0.9305555555555555,0.3604166666666667,-0.9305555555555555,blend_0.25
2011-11,0.333333333333333,0.45000000000000007,-0.333333333333333,blend_0.25
2011-12,0.15789473684210492,0.47631578947368425,-0.15789473684210492,blend_0.25
2012-01,0.07142857142857137,0.48928571428571427,-0.07142857142857137,blend_0.25
2012-02,0.1931818181818183,0.47102272727272726,-0.1931818181818183,blend_0.25
2012-03,0.0,0.5,-0.0,blend_0.25
2012-04,0.0,0.5,-0.0,blend_0.25
2012-05,0.0,0.5,-0.0,blend_0.25
2012-06,0.0,0.5,-0.0,blend_0.25
2012-07,0.0,0.5,-0.0,blend_0.25
2012-08,0.0,0.5,-0.0,blend_0.25
2012-09,0.0,0.5,-0.0,blend_0.25
2012-10,0.0,0.5,-0.0,blend_0.25
2012-11,0.0,0.5,-0.0,blend_0.25
2012-12,0.0,0.5,-0.0,blend_0.25
2013-01,0.0,0.5,-0.0,blend_0.25
2013-02,0.0,0.5,-0.0,blend_0.25
2013-03,0.0,0.5,-0.0,blend_0.25
2013-04,0.0,0.5,-0.0,blend_0.25
2013-05,0.0,0.5,-0.0,blend_0.25
2013-06,0.0,0.5,-0.0,blend_0.25
2013-07,0.0,0.5,-0.0,blend_0.25
2013-08,0.0,0.5,-0.0,blend_0.25
2013-09,0.09374999999999994,0.4859375,-0.09374999999999994,blend_0.25
2013-10,0.0,0.5,-0.0,blend_0.25
2013-11,0.0,0.5,-0.0,blend_0.25
2013-12,0.0,0.5,-0.0,blend_0.25
2014-01,0.0,0.5,-0.0,blend_0.25
2014-02,0.16666666666666663,0.475,-0.16666666666666663,blend_0.25
2014-03,0.0,0.5,-0.0,blend_0.25
2014-04,0.0,0.5,-0.0,blend_0.25
2014-05,0.0,0.5,-0.0,blend_0.25
2014-06,0.0,0.5,-0.0,blend_0.25
2014-07,0.0,0.5,-0.0,blend_0.25
2014-08,0.10576923076923067,0.4841346153846154,-0.10576923076923067,blend_0.25
2014-09,0.17307692307692302,0.4740384615384615,-0.17307692307692302,blend_0.25
2014-10,0.0,0.5,-0.0,blend_0.25
2014-11,0.1944444444444446,0.4708333333333333,-0.1944444444444446,blend_0.25
2014-12,0.20454545454545447,0.46931818181818186,-0.20454545454545447,blend_0.25
