Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
calibration_2007_2017,FinalBlend,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
calibration_2007_2017,TailRisk10D,129.0,0.12034543221910399,0.13705484263687823,0.9000797810764647,1.6635868444072879,-0.13788471937396818,0.8727974554794974,3.3926061041244178,0.5891472868217055,0.07705738655146369
calibration_2007_2017,TailRisk20D,129.0,0.12124325090584831,0.13707556205252577,0.9058614423126002,1.6766805867372132,-0.13823376107128504,0.8770885633598945,3.421947171581578,0.5891472868217055,0.07735892525782885
calibration_2007_2017,TailRiskEnsemble,129.0,0.12128646244494412,0.13715932094425645,0.9056745952887901,1.6761798010544382,-0.13788471937396807,0.8796222162659917,3.423365129210924,0.5891472868217055,0.07670211398865805
locked_2018_2026,FinalBlend,103.0,0.17067612032915513,0.145197597223786,1.163960427765985,2.0574593735995084,-0.14900559871229757,1.145434277665629,3.867368184441654,0.6310679611650486,0.10127811177909524
locked_2018_2026,TailRisk10D,103.0,0.17055631301850438,0.1451088783714106,1.1638679746317109,2.057308225914095,-0.14900559871229746,1.1446302319674404,3.8639723262971883,0.6310679611650486,0.10218146735795791
locked_2018_2026,TailRisk20D,103.0,0.17099273551883698,0.14515494105063093,1.1661455957729683,2.0635282316089825,-0.14900559871229757,1.1475591319826346,3.8763551252174904,0.6310679611650486,0.10309825667450762
locked_2018_2026,TailRiskEnsemble,103.0,0.17052819829804,0.1451733890477379,1.1632472559434524,2.0566934311943412,-0.14900559871229746,1.1444415496581357,3.8631758150847646,0.6310679611650486,0.10234646833875326
full_2007_2026,FinalBlend,232.0,0.14299103392526247,0.14078459916496255,1.0240001979038977,1.8485596685854924,-0.14900559871229757,0.9596353100889308,13.248333646250947,0.6077586206896551,0.08711947439829774
full_2007_2026,TailRisk10D,232.0,0.14236585254287393,0.14053115145471992,1.0216442069153786,1.845940323298985,-0.14900559871229757,0.9554396195391035,13.108936100363676,0.6077586206896551,0.08821161208193311
full_2007_2026,TailRisk20D,232.0,0.1430639472685793,0.14056050699736394,1.0258532802627958,1.8558226799139534,-0.14900559871229746,0.9601246429995532,13.264682456783738,0.6077586206896551,0.08878630084368193
full_2007_2026,TailRiskEnsemble,232.0,0.14288709562609014,0.1406112205462248,1.024421397672295,1.8523656503100934,-0.14900559871229768,0.9589377638217391,13.225061373372164,0.6077586206896551,0.0880873230320193
