Strategy,max_shift,probability_scale,hard_fraction,leverage,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDD15Pass,CAGRRetention
JumpModel,0.0,0.15,0.4,1.2,0.04,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389,True,1.0
JumpModel,0.025,0.15,0.4,1.2,0.04,129.0,0.12447402837898691,0.13731854261168755,0.9255521460766387,1.7391034784568482,-0.13574095830616073,0.9169968293448945,3.5294445489866115,0.5968992248062015,0.08348581607214783,True,1.0256871628182442
JumpModel,0.05,0.15,0.4,1.2,0.04,129.0,0.12701821640429145,0.137255071934982,0.942430071291751,1.7998018127225408,-0.1319087948642801,0.9629245459711726,3.616242612426677,0.5891472868217055,0.09592977821604443,True,1.046651704830217
JumpModel,0.075,0.15,0.4,1.2,0.04,129.0,0.12932686549986339,0.13732150651020197,0.9569893441650706,1.853731801127182,-0.12807284131491414,1.009791491873486,3.696675604630271,0.5968992248062015,0.10844316312195633,True,1.0656753660036977
JumpModel,0.1,0.15,0.4,1.2,0.04,129.0,0.13128316823501907,0.13779662674934806,0.9667668758326582,1.8905545706525047,-0.12423310550572109,1.0567486637366021,3.7660991500904974,0.5968992248062015,0.1214998216488824,True,1.0817956332447163
JumpModel,0.125,0.15,0.4,1.2,0.04,129.0,0.13282743306058875,0.1382995184132581,0.973652933135186,1.9166062260953765,-0.12038959541210104,1.1033132274089985,3.821733450512768,0.5968992248062015,0.13544164296555813,True,1.094520638036527
JumpModel,0.15,0.15,0.4,1.2,0.04,129.0,0.13390216803955224,0.138767886417181,0.9776934208165712,1.9316638737177014,-0.11654231913960766,1.148957469081673,3.860891045535359,0.6046511627906976,0.1497934602071087,True,1.1033766370405784
JumpModel,0.2,0.15,0.4,1.2,0.04,129.0,0.13594651634215293,0.1403015230339066,0.9814088630630602,1.9465271006315754,-0.11045913826816944,1.23074033052934,3.9363821441198636,0.6434108527131783,0.17879785802339349,True,1.1202224147310256
GeneralHMM,0.0,0.15,0.4,1.2,0.04,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389,True,1.0
GeneralHMM,0.025,0.15,0.4,1.2,0.04,129.0,0.12130566360568551,0.13699624054391424,0.9067022180245708,1.677966404110252,-0.1422537732587974,0.852741272352743,3.423995373395109,0.5968992248062015,0.08477756321230456,True,0.9995792982506555
GeneralHMM,0.05,0.15,0.4,1.2,0.04,129.0,0.12092644692651078,0.13624083916444346,0.908433325856404,1.6874216908395607,-0.1422537732587973,0.8500754964616196,3.4115677195192955,0.5968992248062015,0.1017564957587247,True,0.9964544883218579
GeneralHMM,0.075,0.15,0.4,1.2,0.04,129.0,0.12044949588600828,0.1356605030370798,0.9085390568627033,1.6921733286402962,-0.1422537732587973,0.8467226782580927,3.3959952147489636,0.6046511627906976,0.1196002155801367,True,0.9925243306342901
GeneralHMM,0.1,0.15,0.4,1.2,0.04,129.0,0.11974078009825151,0.1354507575582202,0.9050027338237089,1.684286012060733,-0.1422537732587974,0.8417406256100584,3.3729746177220945,0.6124031007751938,0.13734923951268815,True,0.986684392013717
GeneralHMM,0.125,0.15,0.4,1.2,0.04,129.0,0.11907072616333458,0.13540683926451463,0.9007737626543698,1.6743867486912405,-0.14805795012906908,0.804217038392974,3.351340098830913,0.6124031007751938,0.15443024012041875,True,0.9811630336356656
