candidate,penalty,solver,C,class_weight,l1_ratio,fit_count,convergence_warning_count,median_coefficient_l1_norm,median_coefficient_l2_norm,median_nonzero_coefficients,cal_roc_auc,cal_average_precision,cal_brier_score,cal_log_loss,cal_ece_5bin,cal_policy_recall,cal_policy_precision,cal_CAGR,cal_Sharpe,cal_MDD,cal_Calmar,cal_AvgTurnover,val_roc_auc,val_average_precision,val_brier_score,val_log_loss,val_ece_5bin,val_policy_recall,val_policy_precision,val_CAGR,val_Sharpe,val_MDD,val_Calmar,val_AvgTurnover,locked_roc_auc,locked_average_precision,locked_brier_score,locked_log_loss,locked_ece_5bin,locked_policy_recall,locked_policy_precision,locked_CAGR,locked_Sharpe,locked_MDD,locked_Calmar,locked_AvgTurnover,cal_prediction_score,cal_portfolio_score,cal_prediction_rank,cal_portfolio_rank,locked_prediction_score,locked_portfolio_score,locked_prediction_rank,locked_portfolio_rank,is_deployed,locked_boot_probability_brier_better_than_deployed,locked_boot_probability_sharpe_better_than_deployed,locked_boot_sharpe_delta_p05,locked_boot_sharpe_delta_median,locked_boot_sharpe_delta_p95
l2_liblinear_c0.1_none,l2,liblinear,0.1,,,194.0,0.0,1.3878657032530195,0.41674747160275416,16.0,0.5069767441860464,0.1003050785531604,0.0924681745928888,0.3425751361243593,0.1744424160831054,0.2,0.07142857142857142,0.1258395674320727,0.923463101657088,-0.12982263823850382,0.9693191352411618,0.1027706352225893,0.41379310344827586,0.04112903225806452,0.06240988272391444,0.27259835453046627,0.1640386509498768,0.0,0.0,0.02236001879244065,0.31833028213646186,-0.10675687852074167,0.20944803840528503,0.09096780829380333,0.7619565217391304,0.34393142834790436,0.08799355841843683,0.3181114518906907,0.09259753569244637,0.5,0.20833333333333334,0.17475688696857472,1.1652850461835478,-0.13215659440581917,1.3223470819166308,0.1457936958976085,0.9285714285714286,0.7142857142857143,1.0,6.0,0.8660714285714285,0.6011904761904762,4.0,10.0,False,1.0,0.216,-0.13764579081081327,-0.0483892046245481,0.010969273877704508
l2_liblinear_c0.3_none,l2,liblinear,0.3,,,194.0,0.0,2.8552052725116295,0.7849267440907621,16.0,0.4511627906976744,0.08452442842930953,0.08561341258438483,0.322083717499422,0.10640076351037003,0.0,0.0,0.12438001340492177,0.9118142697811505,-0.13076376402649104,0.9511810426298527,0.10325555360806735,0.3620689655172414,0.037868162692847124,0.04719298152011866,0.21552475652978514,0.09578582697853867,0.0,0.0,0.020940566677826622,0.3005279281527647,-0.10675687852074167,0.19615191983866503,0.09041826923552088,0.7782608695652175,0.339240128655943,0.0818863547852262,0.2858857531848045,0.04942912368597619,0.5,0.20833333333333334,0.17522675171569801,1.1678862957071765,-0.13215659440581917,1.3259024455308026,0.14699795453197984,0.8928571428571428,0.28571428571428575,2.0,24.0,0.9107142857142857,0.6607142857142857,1.0,7.0,False,1.0,0.226,-0.13216709024392329,-0.0453975872897594,0.01412137025222203
l2_liblinear_c1_none,l2,liblinear,1.0,,,194.0,0.0,5.72521842400624,1.5878389719073622,16.0,0.4534883720930233,0.067952837690897,0.09319001419690003,0.38209171778355855,0.06676543308275909,0.0,0.0,0.12446474925358442,0.9117570944099291,-0.13103571151873417,0.9498536529546734,0.10381408302335904,0.31896551724137934,0.035625000000000004,0.04853717745637038,0.2102956008745144,0.06129376825451245,0.0,0.0,0.02048561908750912,0.29473825162260125,-0.10675687852074167,0.19189039030893915,0.09168689374599379,0.7652173913043478,0.3342417445678315,0.08477356410933906,0.28629269997183204,0.06567412185552163,0.5,0.20833333333333334,0.1742019208059553,1.1585104184645512,-0.13581892708915166,1.282604159371757,0.14552241753172424,0.8660714285714286,0.20833333333333334,3.0,27.0,0.8660714285714286,0.4047619047619047,2.0,19.0,False,1.0,0.192,-0.15418629990066476,-0.05637078625211717,0.009883705604592148
l2_liblinear_c0.03_none,l2,liblinear,0.03,,,194.0,0.0,0.6800687370305013,0.20321341726001102,16.0,0.586046511627907,0.11630974751074537,0.13077615818905788,0.443512173670448,0.27714047264574326,0.2,0.08333333333333333,0.12543557853638831,0.9205343539721309,-0.12982263823850382,0.9662072827848729,0.09934292215707012,0.4310344827586207,0.04265202702702703,0.10917713629309388,0.3974975200841683,0.27406131750904283,0.0,0.0,0.02157143903974701,0.30818078632573154,-0.10675687852074167,0.20206135041271292,0.08359822520293717,0.7608695652173914,0.3758435887100938,0.11593950569342097,0.4038148047903737,0.18737364966105824,0.5,0.21739130434782608,0.17233960270570003,1.1558182783924753,-0.12849426126009023,1.3412241217283685,0.1448212777119286,0.8125,0.6547619047619048,4.0,9.0,0.8660714285714286,0.38095238095238093,2.0,21.0,False,1.0,0.051,-0.136674375841164,-0.057518196124253906,5.353107090339245e-05
l2_liblinear_c3_none,l2,liblinear,3.0,,,194.0,0.0,8.825751613820938,2.5350392952548466,16.0,0.4116279069767442,0.05255217927852199,0.10332199524474743,0.4936109477381154,0.08627274537773301,0.0,0.0,0.12494563203679232,0.9152670547653344,-0.13103571151873417,0.9535235134654788,0.10594680830010499,0.2672413793103448,0.03315789473684211,0.05719957654817916,0.24460202437134226,0.050676728539194124,0.0,0.0,0.021424143372700266,0.30688019324757354,-0.10675687852074167,0.2006816204216555,0.09627225309099761,0.7478260869565218,0.3252641431203449,0.09060679619758895,0.30826764142109325,0.08327746676114502,0.4,0.18181818181818182,0.17387141985434917,1.1548957761001495,-0.13655139356981671,1.273303884412218,0.14464653104129946,0.7232142857142858,0.2916666666666667,5.0,23.0,0.7098214285714286,0.255952380952381,6.0,25.0,False,1.0,0.166,-0.1610931682832222,-0.06005438859004614,0.006851978381295147
l2_liblinear_c0.01_none,l2,liblinear,0.01,,,194.0,0.0,0.3495940726270665,0.0992184404932055,16.0,0.6046511627906976,0.1291243732420203,0.1815091171506127,0.5543962867628949,0.36067123668804907,0.2,0.07692307692307693,0.12450384656283409,0.9144420483397817,-0.12982263823850382,0.9590303220775848,0.0979121744834567,0.33620689655172414,0.036769327467001886,0.16855829678201767,0.5280147006818366,0.36769444124106104,0.0,0.0,0.019753954265289586,0.28608250412479985,-0.10675687852074167,0.18503682890514275,0.08052211770466827,0.7532608695652174,0.3760738543066129,0.16432781671268815,0.517211660681179,0.28644258889092306,0.5,0.20833333333333334,0.17129844886481393,1.1610677439618569,-0.12557237529490894,1.3641411852130414,0.14133672990890242,0.7232142857142857,0.42857142857142855,6.0,19.0,0.7276785714285714,0.5416666666666666,5.0,12.0,False,0.9735,0.0225,-0.10085220277547328,-0.0481180175576309,-0.006580187141508303
l2_lbfgs_c0.03_balanced,l2,lbfgs,0.03,balanced,,194.0,0.0,1.9508514642078711,0.571268456985514,16.0,0.30930232558139537,0.07557098765432099,0.16304474254023948,0.5091389393445771,0.28463365747391306,0.2,0.037037037037037035,0.12586113321735737,0.9249450208963961,-0.12982263823850382,0.9694852525345498,0.10767392434300568,0.08620689655172414,0.027291105121293797,0.1598875414673842,0.5026247284564134,0.3193458088346346,0.0,0.0,0.02240212400554542,0.3216715502272909,-0.10675687852074167,0.20984244121743348,0.10150987990269861,0.7608695652173912,0.335162435429295,0.20986528854648337,0.6093888162685711,0.3403786214090759,0.5,0.1724137931034483,0.17364529124346761,1.1922026962626873,-0.12557237529490906,1.3828303465285132,0.14380125987393194,0.5892857142857143,0.7738095238095237,7.0,5.0,0.5267857142857142,0.6547619047619048,14.0,8.0,False,0.8495,0.212,-0.04144835442254012,-0.013976649927025242,0.015136174173751597
l2_lbfgs_c0.01_balanced,l2,lbfgs,0.01,balanced,,194.0,0.0,1.0514745646001509,0.32126812841306246,16.0,0.3209302325581395,0.07629752024585959,0.17577339066307893,0.540102883019698,0.33566609842369727,0.2,0.038461538461538464,0.12468341219923729,0.91726667248733,-0.12982263823850382,0.9604134832799731,0.10573608436992585,0.06896551724137928,0.026803118908382065,0.17337502372647476,0.535767979956763,0.3588105164681866,0.0,0.0,0.02010408966095545,0.2934696227997899,-0.10675687852074167,0.1883165744402076,0.09734352396057697,0.7532608695652174,0.38240655460615736,0.21758426230114877,0.6261778038509415,0.3712920457697012,0.5,0.15625,0.16945725166324555,1.167618286490425,-0.1257437749629886,1.3476392903992547,0.1396568125644617,0.5625,0.4761904761904762,8.0,17.0,0.5401785714285714,0.4761904761904762,12.0,15.0,False,0.5665,0.0395,-0.07261927587582563,-0.03353848885261623,-0.0016755647349162624
elasticnet_saga_c0.3_r0.5_balanced,elasticnet,saga,0.3,balanced,0.5,194.0,159.0,5.018830325103686,1.6262346283773512,16.0,0.313953488372093,0.058483960483960484,0.1767587548612262,0.5771403499323631,0.23486101920957544,0.0,0.0,0.12190390073691226,0.8964739008199352,-0.13388134785044514,0.9105368499358661,0.11249495117825231,0.18103448275862072,0.02976190476190476,0.172622413456963,0.5222203069502092,0.27844079889370094,0.0,0.0,0.01611280319806263,0.24270877330457974,-0.1099605649193689,0.1465325611038622,0.11028297401141857,0.7293478260869566,0.30915992483950105,0.20422505842194716,0.6205742013813573,0.2769980970337753,0.5,0.2,0.1789123582027976,1.2020332994486715,-0.12557237529490894,1.4247748183676447,0.14614323559057293,0.5535714285714286,0.03571428571428571,9.0,28.0,0.4464285714285714,0.9345238095238094,19.0,2.0,False,0.9145,0.208,-0.03589798881015958,-0.011410952134550234,0.014589331896815093
l2_liblinear_c1_balanced,l2,liblinear,1.0,balanced,,194.0,0.0,9.869934331188455,2.8099459608279655,16.0,0.3930232558139535,0.0527895924189475,0.19642162425986764,0.7271830308123827,0.21181108926791842,0.0,0.0,0.12618635946812407,0.924707808682026,-0.13103571151873417,0.9629921340190014,0.10599661250869763,0.3103448275862069,0.03535980148883375,0.1899658697378304,0.5818608810153278,0.2503645638658687,0.0,0.0,0.023847764770914548,0.33932618055312724,-0.10675687852074167,0.22338387091639433,0.09637933213947175,0.7119565217391304,0.34325679174570206,0.20164164305455595,0.6290395328490078,0.25269331747146917,0.5,0.19230769230769232,0.17451864336848444,1.1591762604341844,-0.13653432731353154,1.2782034144990317,0.14352247630785558,0.5446428571428572,0.625,10.0,10.0,0.5982142857142857,0.4047619047619048,9.0,18.0,False,0.914,0.1395,-0.15764536565742288,-0.057436523643750736,0.004618628749410446
