name,short_window,long_window,trend_rule,protect_fraction,vol_cap,dd_start,skew_limit,corr_limit,use_shape_flags,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,MDD10Pass,ReturnRetention
s3_l9_both_p1.00_v0.18_dd0.03_shape0,3,9,both,1.0,0.18,-0.03,-0.75,0.6,False,129.0,0.11448081739670979,0.12438211745348804,0.9357540616307957,1.8180570060437973,-0.11610519729044777,0.9860094127425283,3.2064939566130835,0.6511627906976745,0.1541039603037352,0.6017748405787746,False,False,0.7510904383940281
s3_l9_both_p1.00_v0.18_dd0.03_shape1,3,9,both,1.0,0.18,-0.03,-0.75,0.6,True,129.0,0.11448081739670979,0.12438211745348804,0.9357540616307957,1.8180570060437973,-0.11610519729044777,0.9860094127425283,3.2064939566130835,0.6511627906976745,0.1541039603037352,0.6017748405787746,False,False,0.7510904383940281
s1_l9_both_p0.75_v0.18_dd0.03_shape0,1,9,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.11130861606753517,0.12421944359907414,0.9136587928775275,1.7699405088817093,-0.11610519729044777,0.958687626955118,3.1097310208034896,0.6589147286821705,0.13171405913856551,0.5959063585229455,False,False,0.7302781299113987
s1_l9_both_p0.75_v0.18_dd0.03_shape1,1,9,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.11130861606753517,0.12421944359907414,0.9136587928775275,1.7699405088817093,-0.11610519729044777,0.958687626955118,3.1097310208034896,0.6589147286821705,0.13171405913856551,0.5959063585229455,False,False,0.7302781299113987
s1_l12_both_p1.00_v0.18_dd0.03_shape0,1,12,both,1.0,0.18,-0.03,-0.75,0.6,False,129.0,0.11116240369239305,0.12524571816150984,0.9061259681839514,1.7547471950287614,-0.11610519729044777,0.9574283174792781,3.105335582332988,0.6356589147286822,0.15361675540917888,0.5765745658649124,False,False,0.7293188537685357
s1_l12_both_p1.00_v0.18_dd0.03_shape1,1,12,both,1.0,0.18,-0.03,-0.75,0.6,True,129.0,0.11116240369239305,0.12524571816150984,0.9061259681839514,1.7547471950287614,-0.11610519729044777,0.9574283174792781,3.105335582332988,0.6356589147286822,0.15361675540917888,0.5765745658649124,False,False,0.7293188537685357
s2_l9_both_p0.75_v0.18_dd0.03_shape0,2,9,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.11090211159459673,0.1242235380609663,0.9106598293658322,1.7640917990566238,-0.11610519729044777,0.9551864531711268,3.0975246198922637,0.6589147286821705,0.13153280849571247,0.5964467692953914,False,False,0.7276111187061028
s2_l9_both_p0.75_v0.18_dd0.03_shape1,2,9,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.11090211159459673,0.1242235380609663,0.9106598293658322,1.7640917990566238,-0.11610519729044777,0.9551864531711268,3.0975246198922637,0.6589147286821705,0.13153280849571247,0.5964467692953914,False,False,0.7276111187061028
s2_l12_both_p1.00_v0.18_dd0.03_shape0,2,12,both,1.0,0.18,-0.03,-0.75,0.6,False,129.0,0.110859648654692,0.12505388922978944,0.9051357270839315,1.743869630588552,-0.11610519729044777,0.9548207250134243,3.0962520648604954,0.6589147286821705,0.1607520686564441,0.5868535649287743,False,False,0.7273325261097727
s2_l12_both_p1.00_v0.18_dd0.03_shape1,2,12,both,1.0,0.18,-0.03,-0.75,0.6,True,129.0,0.110859648654692,0.12505388922978944,0.9051357270839315,1.743869630588552,-0.11610519729044777,0.9548207250134243,3.0962520648604954,0.6589147286821705,0.1607520686564441,0.5868535649287743,False,False,0.7273325261097727
s3_l9_both_p0.75_v0.18_dd0.03_shape0,3,9,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.11058324087468074,0.12421715934469507,0.9083675036433063,1.759560846595631,-0.11610519729044777,0.9524400582865094,3.087980091968882,0.6589147286821705,0.13184288132221383,0.5957468836514546,False,False,0.7255190586190161
s3_l9_both_p0.75_v0.18_dd0.03_shape1,3,9,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.11058324087468074,0.12421715934469507,0.9083675036433063,1.759560846595631,-0.11610519729044777,0.9524400582865094,3.087980091968882,0.6589147286821705,0.13184288132221383,0.5957468836514546,False,False,0.7255190586190161
s1_l12_both_p0.75_v0.18_dd0.03_shape0,1,12,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.11049431391273767,0.12458036388426932,0.9054411590668905,1.7448236116208982,-0.11610519729044777,0.9516741411353536,3.0853230661494466,0.6666666666666666,0.13444822086497354,0.6094940950802196,False,False,0.7249356229627225
s1_l12_both_p0.75_v0.18_dd0.03_shape1,1,12,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.11049431391273767,0.12458036388426932,0.9054411590668905,1.7448236116208982,-0.11610519729044777,0.9516741411353536,3.0853230661494466,0.6666666666666666,0.13444822086497354,0.6094940950802196,False,False,0.7249356229627225
s1_l9_both_p1.00_v0.18_dd0.03_shape0,1,9,both,1.0,0.18,-0.03,-0.75,0.6,False,129.0,0.11026372487694158,0.12444411639477766,0.9045958361078351,1.7565511945884147,-0.11610519729044777,0.9496881057021659,3.0784430121908444,0.6511627906976745,0.15514409220596184,0.6094935161886009,False,False,0.7234227649667425
s1_l9_both_p1.00_v0.18_dd0.03_shape1,1,9,both,1.0,0.18,-0.03,-0.75,0.6,True,129.0,0.11026372487694158,0.12444411639477766,0.9045958361078351,1.7565511945884147,-0.11610519729044777,0.9496881057021659,3.0784430121908444,0.6511627906976745,0.15514409220596184,0.6094935161886009,False,False,0.7234227649667425
s2_l12_both_p0.75_v0.18_dd0.03_shape0,2,12,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.11014321515702719,0.12456727460080254,0.9029612730274963,1.7398245609894085,-0.11610519729044777,0.9486501700823423,3.0748529190287623,0.6666666666666666,0.13881649925041645,0.6049957131739379,False,False,0.7226321198576359
s2_l12_both_p0.75_v0.18_dd0.03_shape1,2,12,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.11014321515702719,0.12456727460080254,0.9029612730274963,1.7398245609894085,-0.11610519729044777,0.9486501700823423,3.0748529190287623,0.6666666666666666,0.13881649925041645,0.6049957131739379,False,False,0.7226321198576359
s1_l6_both_p0.75_v0.18_dd0.03_shape0,1,6,both,0.75,0.18,-0.03,-0.75,0.6,False,129.0,0.10995872673182361,0.12452606154267747,0.9018726602991931,1.737240673453105,-0.11610519729044777,0.9470611936238461,3.0693641985951534,0.6666666666666666,0.13230673014107797,0.5995534128563169,False,False,0.7214217206369122
s1_l6_both_p0.75_v0.18_dd0.03_shape1,1,6,both,0.75,0.18,-0.03,-0.75,0.6,True,129.0,0.10995872673182361,0.12452606154267747,0.9018726602991931,1.737240673453105,-0.11610519729044777,0.9470611936238461,3.0693641985951534,0.6666666666666666,0.13230673014107797,0.5995534128563169,False,False,0.7214217206369122
s1_l12_both_p0.50_v0.18_dd0.03_shape0,1,12,both,0.5,0.18,-0.03,-0.75,0.6,False,129.0,0.1098202326852431,0.12449772172412757,0.9010394274267364,1.7352094777865774,-0.11610519729044777,0.945868361176957,3.0652496991492275,0.6666666666666666,0.13278905434570829,0.6036870984699639,False,False,0.7205130832203863
s1_l12_both_p0.50_v0.18_dd0.03_shape1,1,12,both,0.5,0.18,-0.03,-0.75,0.6,True,129.0,0.1098202326852431,0.12449772172412757,0.9010394274267364,1.7352094777865774,-0.11610519729044777,0.945868361176957,3.0652496991492275,0.6666666666666666,0.13278905434570829,0.6036870984699639,False,False,0.7205130832203863
s2_l6_either_p0.50_v0.18_dd0.03_shape0,2,6,either,0.5,0.18,-0.03,-0.75,0.6,False,129.0,0.10975217625631939,0.12448963632777824,0.9005928148629888,1.73427816355987,-0.11610519729044777,0.9452821993985703,3.063229654283427,0.6666666666666666,0.13576424445596977,0.5998111294777156,False,False,0.720066575812436
s2_l6_either_p0.50_v0.18_dd0.03_shape1,2,6,either,0.5,0.18,-0.03,-0.75,0.6,True,129.0,0.10975217625631939,0.12448963632777824,0.9005928148629888,1.73427816355987,-0.11610519729044777,0.9452821993985703,3.063229654283427,0.6666666666666666,0.13576424445596977,0.5998111294777156,False,False,0.720066575812436
s2_l12_both_p0.50_v0.18_dd0.03_shape0,2,12,both,0.5,0.18,-0.03,-0.75,0.6,False,129.0,0.10975217625631939,0.12448963632777824,0.9005928148629888,1.73427816355987,-0.11610519729044777,0.9452821993985703,3.063229654283427,0.6666666666666666,0.13576424445596977,0.5998111294777156,False,False,0.720066575812436
s2_l12_both_p0.50_v0.18_dd0.03_shape1,2,12,both,0.5,0.18,-0.03,-0.75,0.6,True,129.0,0.10975217625631939,0.12448963632777824,0.9005928148629888,1.73427816355987,-0.11610519729044777,0.9452821993985703,3.063229654283427,0.6666666666666666,0.13576424445596977,0.5998111294777156,False,False,0.720066575812436
s1_l6_both_p1.00_v0.18_dd0.03_shape0,1,6,both,1.0,0.18,-0.03,-0.75,0.6,False,129.0,0.10970352756606183,0.12474894737041217,0.8986139008576113,1.737264537180284,-0.11610519729044777,0.9448631941223822,3.0617864082951582,0.6589147286821705,0.14644754264183257,0.6200643985545583,False,False,0.7197473994916885
s1_l6_both_p1.00_v0.18_dd0.03_shape1,1,6,both,1.0,0.18,-0.03,-0.75,0.6,True,129.0,0.10970352756606183,0.12474894737041217,0.8986139008576113,1.737264537180284,-0.11610519729044777,0.9448631941223822,3.0617864082951582,0.6589147286821705,0.14644754264183257,0.6200643985545583,False,False,0.7197473994916885
