signal_month,horizon,probability,raw_probability,calibration_method,train_rows,feature_count,fit_end_month,max_label_month,best_iteration
2012-09,3,0.4722206490081588,0.3838006019804355,platt_recent_validation,75,39,2012-06,2012-09,44
2012-09,6,0.5000000006230387,0.4999999858831103,platt_recent_validation,72,39,2012-03,2012-09,1
2012-10,1,0.5001265029494428,0.49398032994497065,platt_recent_validation,78,39,2012-09,2012-10,1
2012-10,3,0.5000545298278473,0.4940239645852201,platt_recent_validation,76,39,2012-07,2012-10,2
2012-10,6,0.5000481586349008,0.49181826829889025,platt_recent_validation,73,39,2012-04,2012-10,3
2012-11,1,0.5002957342978699,0.48978124143444224,platt_recent_validation,79,39,2012-10,2012-11,1
2012-11,3,0.4989692242704179,0.4641711024628621,platt_recent_validation,77,39,2012-08,2012-11,4
2012-11,6,0.499514131614257,0.46089087263717615,platt_recent_validation,74,39,2012-05,2012-11,5
2012-12,1,0.5000906218635622,0.49603869510333426,platt_recent_validation,80,39,2012-11,2012-12,1
2012-12,3,0.50011318471364,0.4919139701848977,platt_recent_validation,78,39,2012-09,2012-12,2
2012-12,6,0.5000270506939507,0.48981145612678134,platt_recent_validation,75,39,2012-06,2012-12,5
2013-01,1,0.5001383080868177,0.4897512028775457,platt_recent_validation,81,39,2012-12,2013-01,1
2013-01,3,0.5009624551682075,0.4969332781928492,platt_recent_validation,79,39,2012-10,2013-01,32
2013-01,6,0.5000748166133271,0.4946209765940674,platt_recent_validation,76,39,2012-07,2013-01,2
2013-02,1,0.49771162176342276,0.509624104379528,platt_recent_validation,82,39,2013-01,2013-02,9
2013-02,3,0.49449889412177594,0.4140390911456796,platt_recent_validation,80,39,2012-11,2013-02,32
2013-02,6,0.4999962447754759,0.5004948223551547,platt_recent_validation,77,39,2012-08,2013-02,1
2013-03,1,0.49878869830140027,0.4607128334928501,platt_recent_validation,83,39,2013-02,2013-03,9
2013-03,3,0.48875969413458925,0.3885029058503512,platt_recent_validation,81,39,2012-12,2013-03,30
2013-03,6,0.5002350232748688,0.4358354609941301,platt_recent_validation,78,39,2012-09,2013-03,18
2013-04,1,0.49998046425685044,0.5040928021072688,platt_recent_validation,84,39,2013-03,2013-04,1
2013-04,3,0.5,0.4986587949535719,platt_recent_validation,82,39,2013-01,2013-04,1
2013-04,6,0.5000775731983832,0.49211248527687745,platt_recent_validation,79,39,2012-10,2013-04,1
2013-05,1,0.5007907003426949,0.42568503111969797,platt_recent_validation,85,39,2013-04,2013-05,17
2013-05,3,0.4999717853721288,0.49519674273735914,platt_recent_validation,83,39,2013-02,2013-05,8
2013-05,6,0.49998138501988804,0.49211248527687745,platt_recent_validation,80,39,2012-11,2013-05,1
2013-06,1,0.5018920967225126,0.5000824581844987,platt_recent_validation,86,39,2013-05,2013-06,6
2013-06,3,0.5000150687398682,0.49752462974100203,platt_recent_validation,84,39,2013-03,2013-06,2
2013-06,6,0.49996506368873245,0.5019767592331573,platt_recent_validation,81,39,2012-12,2013-06,1
2013-07,1,0.4995690756074856,0.4765994334343966,platt_recent_validation,87,39,2013-06,2013-07,3
2013-07,3,0.5,0.4944996933755815,platt_recent_validation,85,39,2013-04,2013-07,2
2013-07,6,0.48933374524230233,0.3619577238711262,platt_recent_validation,82,39,2013-01,2013-07,85
2013-08,1,0.4998347357196852,0.4670705537315256,platt_recent_validation,88,47,2013-07,2013-08,10
2013-08,3,0.5000631483928121,0.49565826646151573,platt_recent_validation,86,39,2013-05,2013-08,1
2013-08,6,0.4930644859920133,0.33807702622622154,platt_recent_validation,83,39,2013-02,2013-08,77
2013-09,1,0.49825479303662024,0.364105804994604,platt_recent_validation,89,47,2013-08,2013-09,61
2013-09,3,0.44654995799910596,0.2725007267996457,platt_recent_validation,87,39,2013-06,2013-09,144
2013-09,6,0.5024910457887223,0.4282965370868385,platt_recent_validation,84,39,2013-03,2013-09,19
2013-10,1,0.48675775516387865,0.3031032008037472,platt_recent_validation,90,47,2013-09,2013-10,66
2013-10,3,0.5000090484054276,0.4909165580176869,platt_recent_validation,88,47,2013-07,2013-10,1
2013-10,6,0.5125134887442756,0.3567397790004304,platt_recent_validation,85,39,2013-04,2013-10,23
2013-11,1,0.5691524336863921,0.5303350115641936,platt_recent_validation,91,47,2013-10,2013-11,227
2013-11,3,0.5047868311181368,0.4046015224109169,platt_recent_validation,89,47,2013-08,2013-11,15
2013-11,6,0.5296212937044649,0.2673750488325584,platt_recent_validation,86,39,2013-05,2013-11,41
2013-12,1,0.5201932145471769,0.4637808779616405,platt_recent_validation,92,47,2013-11,2013-12,77
2013-12,3,0.4983303502463951,0.4877644190404973,platt_recent_validation,90,47,2013-09,2013-12,15
2013-12,6,0.500498907567737,0.38970769970608854,platt_recent_validation,87,39,2013-06,2013-12,37
2014-01,1,0.537297021227388,0.5488946164850333,platt_recent_validation,93,47,2013-12,2014-01,46
2014-01,3,0.499423482051156,0.5040392971321009,platt_recent_validation,91,47,2013-10,2014-01,5
2014-01,6,0.49989132978409656,0.446816597075596,platt_recent_validation,88,47,2013-07,2014-01,20
2014-02,1,0.49935817802945415,0.4332465576447707,platt_recent_validation,94,47,2014-01,2014-02,14
2014-02,3,0.4704514202622064,0.361368147939832,platt_recent_validation,92,47,2013-11,2014-02,200
2014-02,6,0.5015456079670882,0.43981208799346244,platt_recent_validation,89,47,2013-08,2014-02,29
2014-03,1,0.5062114526867288,0.5745751721056299,platt_recent_validation,95,47,2014-02,2014-03,41
2014-03,3,0.5000512116692338,0.49661649903080207,platt_recent_validation,93,47,2013-12,2014-03,1
2014-03,6,0.5029793728152536,0.42704791303927314,platt_recent_validation,90,47,2013-09,2014-03,37
2014-04,1,0.5352355696220836,0.5671394892020073,platt_recent_validation,96,47,2014-03,2014-04,33
2014-04,3,0.49942148664186964,0.4940365367797942,platt_recent_validation,94,47,2014-01,2014-04,6
2014-04,6,0.4999500914113604,0.504152787907328,platt_recent_validation,91,47,2013-10,2014-04,1
2014-05,1,0.5689326862372537,0.6369649769830074,platt_recent_validation,97,47,2014-04,2014-05,178
2014-05,3,0.5014844851646739,0.45701075986983464,platt_recent_validation,95,47,2014-02,2014-05,6
2014-05,6,0.5002996554879663,0.49126690893951636,platt_recent_validation,92,47,2013-11,2014-05,1
2014-06,1,0.5479098493235103,0.49869541149561253,platt_recent_validation,98,47,2014-05,2014-06,103
2014-06,3,0.5001788467955013,0.4341998925081586,platt_recent_validation,96,47,2014-03,2014-06,11
2014-06,6,0.49998656880755526,0.5024688975077152,platt_recent_validation,93,47,2013-12,2014-06,1
2014-07,1,0.4985307767533148,0.599457897302727,platt_recent_validation,99,47,2014-06,2014-07,35
2014-07,3,0.4967897363069228,0.33673572136787694,platt_recent_validation,97,47,2014-04,2014-07,27
2014-07,6,0.5000367873862371,0.49447257106239817,platt_recent_validation,94,47,2014-01,2014-07,1
2014-08,1,0.4970729148620802,0.4433814347101915,platt_recent_validation,100,47,2014-07,2014-08,35
2014-08,3,0.631891826506994,0.7189717305932646,platt_recent_validation,98,47,2014-05,2014-08,120
2014-08,6,0.4999957141530065,0.5012583705715216,platt_recent_validation,95,47,2014-02,2014-08,1
2014-09,1,0.5663704545311654,0.5853138699770569,platt_recent_validation,101,47,2014-08,2014-09,73
2014-09,3,0.5114866672259871,0.5284364743382948,platt_recent_validation,99,47,2014-06,2014-09,22
2014-09,6,0.49684426295907713,0.430769277146147,platt_recent_validation,96,47,2014-03,2014-09,16
2014-10,1,0.5022891091621627,0.4413933712839122,platt_recent_validation,102,47,2014-09,2014-10,57
2014-10,3,0.5043178152232345,0.49027984619343845,platt_recent_validation,100,47,2014-07,2014-10,22
2014-10,6,0.49787520219472275,0.45015937930968464,platt_recent_validation,97,47,2014-04,2014-10,8
2014-11,1,0.4493724663611178,0.3672339529995953,platt_recent_validation,103,47,2014-10,2014-11,73
2014-11,3,0.5356595470547816,0.5622681540641917,platt_recent_validation,101,47,2014-08,2014-11,44
2014-11,6,0.4978983070155797,0.4855383222310238,platt_recent_validation,98,47,2014-05,2014-11,6
2014-12,1,0.5176376615277783,0.5165438083792036,platt_recent_validation,104,47,2014-11,2014-12,94
2014-12,3,0.5469105588484311,0.6087520033947174,platt_recent_validation,102,47,2014-09,2014-12,43
2014-12,6,0.5,0.48902226564365714,platt_recent_validation,99,47,2014-06,2014-12,2
2015-01,1,0.3978940606143394,0.32204849898363375,platt_recent_validation,105,47,2014-12,2015-01,98
2015-01,3,0.5000130248296357,0.4883194653323347,platt_recent_validation,103,47,2014-10,2015-01,9
2015-01,6,0.5000080030517204,0.503776288109858,platt_recent_validation,100,47,2014-07,2015-01,2
2015-02,1,0.4968309497671706,0.45756707046141165,platt_recent_validation,106,47,2015-01,2015-02,49
2015-02,3,0.49118569245945204,0.40142083994227745,platt_recent_validation,104,47,2014-11,2015-02,30
2015-02,6,0.5000439422907229,0.4986478230149595,platt_recent_validation,101,47,2014-08,2015-02,1
2015-03,1,0.5057871059563981,0.5709665097148301,platt_recent_validation,107,47,2015-02,2015-03,32
2015-03,3,0.5023159852730452,0.4890079858652431,platt_recent_validation,105,47,2014-12,2015-03,30
2015-03,6,0.5000108293874084,0.4987385113851533,platt_recent_validation,102,47,2014-09,2015-03,1
2015-04,1,0.400408254502546,0.3669818062745143,platt_recent_validation,108,47,2015-03,2015-04,42
2015-04,3,0.4760583768423825,0.420099682588323,platt_recent_validation,106,47,2015-01,2015-04,25
2015-04,6,0.5000281721740455,0.4959110012843965,platt_recent_validation,103,47,2014-10,2015-04,1
2015-05,1,0.49655046369122186,0.4707032259338094,platt_recent_validation,109,47,2015-04,2015-05,8
2015-05,3,0.5003265383437773,0.5080435378618519,platt_recent_validation,107,47,2015-02,2015-05,3
2015-05,6,0.49997121443695297,0.5045773660945247,platt_recent_validation,104,47,2014-11,2015-05,1
2015-06,1,0.49958250393538806,0.49411451341095886,platt_recent_validation,110,47,2015-05,2015-06,8
2015-06,3,0.4862657338717339,0.41061344480292383,platt_recent_validation,108,47,2015-03,2015-06,30
2015-06,6,0.49999999987346566,0.5000000092245284,platt_recent_validation,105,47,2014-12,2015-06,1
2015-07,1,0.49778516515761884,0.4716519158521794,platt_recent_validation,111,47,2015-06,2015-07,22
2015-07,3,0.502452940246227,0.5285688659445018,platt_recent_validation,109,47,2015-04,2015-07,5
2015-07,6,0.5000161015998222,0.49900133445540246,platt_recent_validation,106,47,2015-01,2015-07,1
2015-08,1,0.49996588240354867,0.49143816414872876,platt_recent_validation,112,47,2015-07,2015-08,1
2015-08,3,0.49952194031412606,0.4900725196614771,platt_recent_validation,110,47,2015-05,2015-08,5
2015-08,6,0.4997810316919604,0.4999999885642253,platt_recent_validation,107,47,2015-02,2015-08,1
2015-09,1,0.4999999998863871,0.4999999934500391,platt_recent_validation,113,47,2015-08,2015-09,1
2015-09,3,0.49964920410804475,0.484891343772675,platt_recent_validation,111,47,2015-06,2015-09,2
2015-09,6,0.49973353073755716,0.49999999349144697,platt_recent_validation,108,47,2015-03,2015-09,1
2015-10,1,0.49388125117668924,0.41253560601050004,platt_recent_validation,114,47,2015-09,2015-10,13
2015-10,3,0.49936609851527397,0.4730970251232241,platt_recent_validation,112,47,2015-07,2015-10,5
2015-10,6,0.4999003198026311,0.5031249631247557,platt_recent_validation,109,47,2015-04,2015-10,1
2015-11,1,0.49992371747587455,0.49140571344709844,platt_recent_validation,115,47,2015-10,2015-11,1
2015-11,3,0.4980367605311186,0.4681536126786465,platt_recent_validation,113,47,2015-08,2015-11,28
2015-11,6,0.500274493643476,0.48973358968064173,platt_recent_validation,110,47,2015-05,2015-11,1
2015-12,1,0.5001204062683341,0.4936800806160569,platt_recent_validation,116,47,2015-11,2015-12,1
2015-12,3,0.500132596085963,0.523506425818455,platt_recent_validation,114,47,2015-09,2015-12,7
