month,state,structure,entry_date,entry_signal_date,entry_vkospi_percentile,entry_vkospi_shock5,entry_equity_weight,exit_date,exit_signal_date,exit_vkospi_percentile,exit_vkospi_shock5,expiry,leg1_code,leg1_direction,leg1_option_type,leg1_strike,leg1_entry_price,leg1_entry_iv,leg1_entry_delta,leg1_entry_forward,leg1_entry_dte,leg1_exit_price,leg1_exit_delta,leg1_exit_volume,leg_count,leg2_code,leg2_direction,leg2_option_type,leg2_strike,leg2_entry_price,leg2_entry_iv,leg2_entry_delta,leg2_entry_forward,leg2_entry_dte,leg2_exit_price,leg2_exit_delta,leg2_exit_volume,premium_budget,premium_credit,quantity_per_nav,option_return_on_debit,option_pnl_nav,delta_equivalent,gamma_pnl_for_1pct_move,vega_pnl_for_1vol_point,max_loss_nav,entry_net_debit_points,exit_liquidation_points
2007-08,HighIVRange,CoveredCall,2007-08-13,2007-08-10,1.0,1.938926009593312,0.6452254202983395,2007-08-14,2007-08-13,0.9960474308300395,1.4990316770754395,2007-09-13,201B9245,-1,C,245.0,4.55,0.305,0.31747576504104147,233.95,31.0,3.45,0.2517831385339011,51579.0,1,,,,,,,,,,,,,0.0,0.0023591614640871964,0.0005515925798660736,,0.00034198739951696495,-0.04096868678662858,-5.174531589736928e-05,-0.00013404163337250036,0.1290450840596679,-4.276999999999999,-3.6570000000000005
2009-01,PreCrash,PutSpread,2009-01-12,2009-01-09,0.7470355731225297,-0.3235699755162913,0.0219202754627572,2009-01-13,2009-01-12,0.7549407114624506,-0.1763245240638044,2009-02-12,301D2142,1,P,142.5,4.6,0.47748347486713183,0.31435013027467307,150.95000000000002,31.0,3.8,0.28237857957131784,22453.0,2,301D2125,-1.0,P,125.0,1.29,0.5497190670992869,0.10427469055125593,150.95000000000002,31.0,1.13,0.09297695652109506,286123.0,0.005,0.0,0.0014105367092178576,-0.30284223146907385,-0.001514211157345369,-0.0447293710787077,3.0261606852648662e-05,0.00010796873333903797,0.005,3.5447499999999996,2.4712500000000004
2010-12,PreCrash,PutSpread,2010-12-13,2010-12-10,0.2213438735177865,-0.7639762592266695,0.1941169103501419,2010-12-14,2010-12-13,0.1581027667984189,-1.2983386238421275,2011-01-13,301F1255,1,P,255.0,2.35,0.17369369305457016,0.2787118073217885,262.34999999999997,31.0,1.86,0.24568167050705686,329449.0,2,301F1245,-1.0,P,245.0,0.82,0.19629027771293261,0.11034860787011641,262.34999999999997,31.0,0.6,0.08901721820232389,259410.0,0.005,0.0,0.0030084235860409142,-0.30252707581227434,-0.0015126353790613715,-0.132882326643039,0.00026366485884940424,0.00033905745394867154,0.005,1.6620000000000001,1.1592000000000002
2011-12,PreCrash,PutSpread,2011-12-12,2011-12-09,0.7430830039525692,0.987554269931334,0.0947093315725997,2011-12-13,2011-12-12,0.6798418972332015,0.182373464823591,2012-01-12,301G1237,1,P,237.5,4.5,0.29873889239791307,0.31064424122643086,247.0,31.0,6.2,0.40984686941977033,28738.0,2,301G1217,-1.0,P,217.5,1.14,0.34488539696564624,0.09413800539266726,247.0,31.0,1.57,0.12993203326247682,243823.0,0.005,0.0,0.0013964530093562354,0.20828096634548254,0.0010414048317274128,-0.07467817378988915,8.228327402664908e-05,0.00018619124589553434,0.005,3.5805,4.32625
2013-08,PreCrash,PutSpread,2013-08-12,2013-08-09,0.1304347826086956,-0.4153691232938942,0.4672165319214966,2013-08-13,2013-08-12,0.2134387351778656,-0.1516912797686174,2013-09-12,301H9240,1,P,240.0,2.35,0.14743851755247572,0.33186491834036635,244.29999999999998,31.0,1.3,0.21201017386257975,90203.0,2,301H9230,-1.0,P,230.0,0.59,0.16648398410824972,0.10249726803526565,244.29999999999998,31.0,0.31,0.05832945621732924,61585.0,0.005,0.0,0.0026670222696359514,-0.5051340178690493,-0.0025256700893452467,-0.1494453046260464,0.0003104371066636063,0.00034992134869284933,0.005,1.8747500000000001,0.9277499999999999
2013-10,PreCrash,PutSpread,2013-10-14,2013-10-11,0.0553359683794466,-0.7680154369213592,0.491911742449689,2013-10-15,2013-10-14,0.0869565217391304,-0.8554121968571075,2013-11-14,301HB262,1,P,262.5,2.2,0.13929598641016377,0.3089233021872362,267.65,31.0,1.52,0.23921944683790858,68684.0,2,301HB252,-1.0,P,252.5,0.6,0.15901533382802008,0.10017729393097047,267.65,31.0,0.37,0.06816331910579156,49296.0,0.005,0.0,0.002922267679719462,-0.3707481005260084,-0.0018537405026300417,-0.16326963503737438,0.0003821111510738285,0.0004023893110364964,0.005,1.7110000000000003,1.0766499999999999
2014-10,HighIVRange,CoveredCall,2014-10-13,2014-10-10,0.9565217391304348,1.5846230807446646,0.4728460932109992,2014-10-14,2014-10-13,0.984189723320158,1.0242214355699415,2014-11-13,201JB250,-1,C,250.0,2.15,0.14,0.3391399996103391,245.6,31.0,1.81,0.2756514846837399,114368.0,1,,,,,,,,,,,,,0.0,0.000790611759678733,0.0003850538218330613,,5.1847497109821596e-05,-0.03207220477346573,-8.484636150625338e-05,-0.0001008858106677095,0.09456921864219985,-2.05325,-1.9186
2015-07,HighIVRange,CoveredCall,2015-07-13,2015-07-10,0.9604743083003952,1.121052587603666,0.304312739928452,2015-07-14,2015-07-13,0.932806324110672,-0.3101577974254851,2015-08-13,201K8252,-1,C,252.5,2.38,0.11,0.33426706733340633,248.93,31.0,2.07,0.3389275781954728,95846.0,1,,,,,,,,,,,,,0.0,0.0005557164074907633,0.00024449663755148196,,2.6833505971275147e-05,-0.02034434542561545,-6.910752215041125e-05,-6.456346589942529e-05,0.0608625479856904,-2.2729,-2.16315
2015-12,HighIVRange,CoveredCall,2015-12-14,2015-12-11,0.8023715415019763,-0.0264338769371931,0.4902267759759206,2015-12-15,2015-12-14,0.8814229249011858,1.0252283193970388,2016-01-14,201L1242,-1,C,242.5,1.52,0.14,0.2536053743876161,235.82999999999998,31.0,1.75,0.2853610427197396,36641.0,1,,,,,,,,,,,,,0.0,0.0006082362492072866,0.00041574589829616307,,-0.00014660239738668458,-0.02486482901124147,-7.694308069061098e-05,-9.14884849855484e-05,0.09804535519518413,-1.463,-1.8156250000000003
2016-03,PreCrash,PutSpread,2016-03-14,2016-03-11,0.3478260869565217,-0.2526119477453951,0.5272447950180292,2016-03-15,2016-03-14,0.4189723320158103,-0.025461759191636,2016-04-14,301L4237,1,P,237.5,1.84,0.1403617295836732,0.28945993494611666,242.75,31.0,1.83,0.2907062891400235,39832.0,2,301L4227,-1.0,P,227.5,0.46,0.16474753982914547,0.08450948374992134,242.75,31.0,0.46,0.0848411400698415,25250.0,0.005,0.0,0.0034020548411240383,-0.1286657140913111,-0.0006433285704565558,-0.16925808677919438,0.000423978018732538,0.00045023448626286384,0.005,1.4697000000000002,1.2806000000000002
