target_month,signal_month,p_growth_high,p_inflation_high,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,regime
2007-04,2007-03,0.46169223753641037,0.25622719607327893,0.34339413006365765,0.11829810747275268,0.4003786738630634,0.13792908860052625,Slowdown
2007-05,2007-04,0.6388449135166065,0.3051283334811915,0.4439152297023485,0.19492968381425807,0.25095643681646,0.11019864966693343,Goldilocks
2007-06,2007-05,0.5994993789509773,0.40032032970904374,0.3595075899089551,0.23999178904202217,0.24017208038200116,0.16032854066702157,Goldilocks
2007-07,2007-06,0.6208490581975121,0.35927163065575696,0.397795604667801,0.22305345352971112,0.24293276467644204,0.13621817712604584,Goldilocks
2007-08,2007-07,0.595589671495296,0.3766742730903011,0.37124636492471413,0.22434330657058182,0.25207936198498476,0.15233096651971928,Goldilocks
2007-09,2007-08,0.6032010588802863,0.33958969420072427,0.3983601957535768,0.2048408631267095,0.26205011004569895,0.13474883107401478,Goldilocks
2007-10,2007-09,0.3899279751204015,0.18881364430421615,0.3163042531217548,0.07362372199864674,0.49488210257402915,0.11518992230556943,Slowdown
2007-11,2007-10,0.8200072518772151,0.45926952975461705,0.44340290691219075,0.37660434496502443,0.09732756333319224,0.08266518478959264,Goldilocks
2007-12,2007-11,0.7823917294260353,0.8647507097922191,0.10581792606930941,0.6765738033567259,0.029431364138471455,0.18817690643549326,Overheating
2008-01,2007-12,0.6688309993040359,0.9741256281845418,0.017305581957697058,0.6515254173463388,0.008568789857761095,0.322600210838203,Overheating
2008-02,2008-01,0.6205867313298646,0.9915552858209711,0.00524067756937852,0.6153460537604861,0.003204036609650402,0.37620923206048495,Overheating
2008-03,2008-02,0.6364247092216571,0.9955979568940398,0.0028015690036918895,0.6336231402179652,0.001600474102268262,0.3619748166760747,Overheating
2008-04,2008-03,0.7948671662239365,0.9940424278271381,0.004735478510617285,0.7901316877133192,0.001222093662244573,0.20391074011381893,Overheating
