Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost
cost_0.5x_locked,ReferenceDaily,103.0,0.17633709224933125,0.1450080948335964,1.1980375339518734,2.357198142346948,-0.12778956850687695,1.3799020867641614,4.030861501225322,0.6213592233009708,0.1425515045241946,0.02399547270003009
cost_0.5x_locked,VKOSPIDynamic,103.0,0.18124149055805683,0.1336810615344283,1.3195463899297148,2.757290080326743,-0.11397552485883156,1.5901790387237955,4.1774101200418485,0.6116504854368932,0.16290812316152145,0.027636748307697356
cost_1.0x_locked,ReferenceDaily,103.0,0.17305246928293028,0.145041495838767,1.1782848243369541,2.304534906555283,-0.12828931506483787,1.348923479679262,3.9352712842710256,0.6116504854368932,0.1425515045241946,0.04799094540006018
cost_1.0x_locked,VKOSPIDynamic,103.0,0.1774467653081795,0.13376505499524116,1.2944448501077281,2.680844500580589,-0.11593679863800643,1.530547396450266,4.0636159973261226,0.5922330097087378,0.16290812316152145,0.05527349661539471
cost_1.5x_locked,ReferenceDaily,103.0,0.1697748088306692,0.14508366518495525,1.1584711920541495,2.2522483593004337,-0.12878899362934304,1.3182400455685215,3.8418856783248385,0.6019417475728155,0.1425515045241946,0.0719864181000903
cost_1.5x_locked,VKOSPIDynamic,103.0,0.1736619663771357,0.13385830952818445,1.269288115848075,2.605435294614243,-0.11789476401405319,1.4730252681657263,3.9528562118898622,0.5922330097087378,0.16290812316152145,0.08291024492309207
cost_2.0x_locked,ReferenceDaily,103.0,0.16650409983253733,0.14513459522914846,1.1386003413034713,2.2003168245055535,-0.12928860420388355,1.2878482280616648,3.7506552488989926,0.6019417475728155,0.1425515045241946,0.09598189080012036
cost_2.0x_locked,VKOSPIDynamic,103.0,0.16988707265308123,0.13396080439679547,1.2440817123652121,2.5310412751654194,-0.11984942490757489,1.4175042790909862,3.845051569745277,0.5922330097087378,0.16290812316152145,0.11054699323078943
