name,target_vol,half_life,invvol_tilt,return_reward,vol_penalty,cdar_penalty,turnover_penalty,tracking_penalty,max_cdar,drawdown_guard,regime_strength,use_regime,use_risk_control,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,ValidationScore
rs0.75_tv0.08_iv0.35_dg0.75,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.07383027501925166,0.06662032756482997,1.10530694715596,2.018172347527059,-0.08933845417896868,0.8264109301841062,2.150592732264042,0.6434108527131783,0.02865831361746645,1.3888191099969038
rs0.75_tv0.08_iv0.35_dg0.4,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07370873318138371,0.06676532035325061,1.101342160421106,2.0118745666643356,-0.09001749066717823,0.818826792827486,2.147977458411396,0.6356589147286822,0.028334065383761632,1.382264724833974
rs0.5_tv0.08_iv0.35_dg0.75,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07204276902839868,0.06493262395953206,1.1065790422737223,1.9904726982019594,-0.09056482965347123,0.795482852494245,2.112419667053173,0.6511627906976745,0.025416432689373318,1.3799147541088332
rs0.75_tv0.08_iv0.15_dg0.4,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07525174858693351,0.06813364597442154,1.101767338667461,2.012355356915427,-0.09389061052811476,0.8014832171572683,2.1813943951299213,0.6356589147286822,0.031174577513024028,1.3760515491699
rs0.5_tv0.08_iv0.35_dg0.4,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07191960279831666,0.06507725985501044,1.1024848499182816,1.9836374902606126,-0.09130117826037287,0.7877182328711706,2.1098121631052353,0.6434108527131783,0.025152795301011912,1.3731556723629887
rs0.75_tv0.08_iv0.15_dg0.75,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.0737274879903893,0.06731977819194371,1.093090878424825,1.9811840647793946,-0.09293834279560897,0.7932946270898289,2.1483808263036344,0.6356589147286822,0.029406435734346148,1.364862710759396
rs0.25_tv0.08_iv0.35_dg0.75,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.07015755038878746,0.06358572029655356,1.1008661026688196,1.9524159348659857,-0.09416087665120032,0.7450817460915506,2.072826677857006,0.6511627906976745,0.02391940514537222,1.356860832771788
rs0.25_tv0.08_iv0.35_dg0.4,0.08,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.07009476140765569,0.06374879451593457,1.0972841657850765,1.9462721157611416,-0.09506318263829117,0.7373491972634811,2.071519655692908,0.6511627906976745,0.02242154392212505,1.3508720760428699
rs0.5_tv0.08_iv0.15_dg0.75,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07149278697033723,0.06581376970115131,1.084802553439865,1.9287822662416083,-0.096871990582437,0.7380129853891838,2.10079878268558,0.6511627906976745,0.02659999100992703,1.337787100124094
rs0.5_tv0.08_iv0.15_dg0.4,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07122160374253506,0.0659978033490683,1.0781015534492815,1.9158474287528933,-0.09795387020270441,0.727093310301574,2.095090168091548,0.6434108527131783,0.02650004270044737,1.327284203514743
rs0.25_tv0.08_iv0.15_dg0.75,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.06957190964192339,0.06454517066792721,1.0769333331368314,1.8852495820107646,-0.10100742689637776,0.6887801400316467,2.0606649102702996,0.6434108527131783,0.024317229033211096,1.3131429363412654
rs0.25_tv0.08_iv0.15_dg0.4,0.08,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.06919140423165304,0.06478685725761126,1.0676312516963127,1.867396846705609,-0.10228187823701818,0.6764776461311705,2.052797829351257,0.6434108527131783,0.024549181151181387,1.299488591611986
rs0.75_tv0.1_iv0.35_dg0.75,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.07777713350268933,0.07444252681986738,1.046189836288163,1.8321606738922633,-0.10728972389023228,0.7249262155084193,2.237105039023127,0.6434108527131783,0.028930435815960557,1.2941279245529176
