target_month,signal_date,factor_name,p_up,score,p_risk,switches_in_window,realized_10d_return,realized_up
2008-12,2008-11-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,13,0.026446751030854587,1.0
2009-01,2008-12-30,jump_downside_sortino,0.10979740117765202,-0.780405197644696,0.890202598822348,9,-0.008882815169115155,0.0
2009-02,2009-01-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,9,0.0255071697614484,1.0
2009-03,2009-02-27,jump_downside_sortino,0.030000000000000027,-0.94,0.97,9,0.06677772144564353,1.0
2009-04,2009-03-31,jump_downside_sortino,0.9533609442146551,0.9067218884293103,0.046639055785344816,8,0.09566269664352589,1.0
2009-05,2009-04-30,jump_downside_sortino,0.9324812548757146,0.8649625097514292,0.0675187451242854,8,0.00565006124677625,1.0
2009-06,2009-05-29,jump_downside_sortino,0.9599243183917125,0.9198486367834252,0.0400756816082874,8,0.018899456793172842,1.0
2009-07,2009-06-30,jump_downside_sortino,0.9067984789829313,0.8135969579658626,0.09320152101706869,7,0.0024959988634452035,1.0
2009-08,2009-07-31,jump_downside_sortino,0.97,0.94,0.03,6,0.015670780564702946,1.0
2009-09,2009-08-31,jump_downside_sortino,0.9678188057000036,0.9356376114000071,0.03218119429999642,10,0.031189700091434958,1.0
2009-10,2009-09-30,jump_downside_sortino,0.97,0.94,0.03,10,-0.012635713975608365,0.0
2009-11,2009-10-30,jump_downside_sortino,0.8225198258497504,0.6450396516995007,0.1774801741502496,6,-0.0019155368198130462,0.0
2009-12,2009-11-30,jump_downside_sortino,0.04211420506278074,-0.9157715898744385,0.9578857949372193,11,0.07135898009010178,1.0
2010-01,2009-12-30,jump_downside_sortino,0.97,0.94,0.03,12,0.00443006075366692,1.0
2010-02,2010-01-29,jump_downside_sortino,0.7089165052982798,0.4178330105965594,0.2910834947017203,11,-0.0070146813254980955,0.0
2010-03,2010-02-26,jump_downside_sortino,0.078748011105928,-0.842503977788144,0.921251988894072,11,0.03541036680505072,1.0
2010-04,2010-03-31,jump_downside_sortino,0.9498495273339698,0.8996990546679395,0.050150472666030226,10,0.027458617511925132,1.0
2010-05,2010-04-30,jump_downside_sortino,0.9273890067313868,0.8547780134627735,0.07261099326861327,10,-0.056644418717430534,0.0
2010-06,2010-05-31,jump_downside_sortino,0.045680891201193896,-0.9086382175976122,0.9543191087988061,11,0.034802745157628046,1.0
2010-07,2010-06-30,jump_downside_sortino,0.906156626649197,0.8123132532983941,0.09384337335080296,12,0.03985622296010294,1.0
2010-08,2010-07-30,jump_downside_sortino,0.97,0.94,0.03,12,-0.010640881863293483,0.0
2010-09,2010-08-31,jump_downside_sortino,0.9223283098747068,0.8446566197494138,0.07767169012529312,11,0.039447728425583195,1.0
2010-10,2010-09-30,jump_downside_sortino,0.97,0.94,0.03,10,0.015394026098766167,1.0
2010-11,2010-10-29,jump_downside_sortino,0.9269341809171852,0.8538683618343704,0.0730658190828148,9,0.016700719171326428,1.0
2010-12,2010-11-30,jump_downside_sortino,0.97,0.94,0.03,9,0.048953574787300225,1.0
2011-01,2010-12-30,jump_downside_sortino,0.97,0.94,0.03,9,0.02813093657383381,1.0
2011-02,2011-01-31,jump_downside_sortino,0.959978722408017,0.9199574448160339,0.040021277591983054,9,-0.042484436287074434,0.0
2011-03,2011-02-28,jump_downside_sortino,0.865959984167235,0.73191996833447,0.13404001583276498,9,-0.008234651170589746,0.0
2011-04,2011-03-31,jump_downside_sortino,0.97,0.94,0.03,11,0.016561388181291825,1.0
2011-05,2011-04-29,jump_downside_sortino,0.969277398207937,0.938554796415874,0.030722601792062976,10,-0.045042238650195854,0.0
