Period,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost
2018-01_2020-12,ReferenceDaily,36.0,0.08889263872589237,0.14038582238844188,0.6779191352173338,1.0307933931780902,-0.12828931506483787,0.692907579099364,1.2910860406869993,0.5833333333333334,0.17848990081854932,0.02068253456708316
2018-01_2020-12,VKOSPIDynamicActual,36.0,0.1120821504361369,0.12233565698203258,0.931556466179124,1.6209816659601228,-0.08417297349278963,1.331569336156789,1.3753416984009053,0.5555555555555556,0.20460058321989116,0.02393289847130542
2018-01_2020-12,ReferenceMonthly,36.0,0.10411439815718349,0.1416842029097628,0.7717809080206374,1.1779285218267768,-0.12557237529490872,0.8291186490075477,1.3459911982584742,0.5833333333333334,0.1784372249273715,0.020681344715986094
2018-01_2020-12,VKOSPIDynamicReconciled,36.0,0.1276280788038584,0.12332336938355444,1.0386920083339632,1.8218499230641,-0.07522592840700881,1.6965969248438983,1.433829940303932,0.5833333333333334,0.20460058321989116,0.02393289847130542
2021-01_2023-12,ReferenceDaily,36.0,0.16508081018045262,0.09987911255022655,1.5873866447967755,3.7454727394259137,-0.06654844509805335,2.4806110786994404,1.5814961806153691,0.6388888888888888,0.12542261969567609,0.014925528923928542
2021-01_2023-12,VKOSPIDynamicActual,36.0,0.160305495682443,0.09882524285289135,1.561231754868435,3.658886789576199,-0.06557415180035986,2.44464459365776,1.5621295497794865,0.6111111111111112,0.13096004681685022,0.01557947634492023
2021-01_2023-12,ReferenceMonthly,36.0,0.16154022913153998,0.09726157232758109,1.5959504838094918,3.582715147376358,-0.06406782388009502,2.5213940375728647,1.5671218562362013,0.6388888888888888,0.12546064348277333,0.014929993657434398
2021-01_2023-12,VKOSPIDynamicReconciled,36.0,0.15677942640633313,0.09599968255668803,1.5724148927003596,3.4995292603154846,-0.06254871855589006,2.5065170002842465,1.5479312500010605,0.6388888888888888,0.13096004681685022,0.01557947634492023
2024-01_2026-07,ReferenceDaily,31.0,0.28915086959342884,0.18816162423616178,1.451893147251599,3.443987411231899,-0.11681678132113127,2.475251126792719,1.927308973967211,0.6129032258064516,0.1207082008864493,0.012382881909048479
2024-01_2026-07,VKOSPIDynamicActual,31.0,0.2798014028906006,0.175751586980261,1.5009349440119484,3.389822652473366,-0.11593679863800632,2.413395972440422,1.8914070489104493,0.6129032258064516,0.15159206465529104,0.015761121799169057
2024-01_2026-07,ReferenceMonthly,31.0,0.2930279670734319,0.1888756902795452,1.463444719522987,3.3799242797395346,-0.11371095708244461,2.576954539754475,1.9423185408915726,0.6774193548387096,0.1212597469571189,0.01243404359062016
2024-01_2026-07,VKOSPIDynamicReconciled,31.0,0.2836503820218148,0.17733963869321928,1.5064315950174627,3.320571124191137,-0.11289722654519851,2.5124654582037507,1.9061370175170884,0.6774193548387096,0.15159206465529104,0.015761121799169057
