,Sharpe,MDD,CAGR
2.5%,0.6649805530673814,-0.15763812744411776,0.0399784862024314
Median,1.1556305985339548,-0.09008446151904492,0.0756451605484334
97.5%,1.6171063527614495,-0.05668295726527428,0.11897469901585045
