Subperiod,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
2007-2009,Hard,33.0,0.5422503751386487,0.3336255006506864,1.4826091491258238,2.816861035763662,-0.2524790884161743,2.147704107061847,3.2917430896518467,0.696969696969697
2007-2009,CurrentDefensive,33.0,0.1555308709998422,0.09855735939244212,1.5233092490869984,2.875933837635859,-0.08269991511926611,1.880665424813829,1.4881587746428788,0.6666666666666666
2007-2009,FinalBlend,33.0,0.3639735673456941,0.21822667443675828,1.5462102026212956,2.920875541311683,-0.13994884146395348,2.6007615607124728,2.3480988394603446,0.696969696969697
2010-2013,Hard,48.0,0.05192106978011113,0.1589148761960825,0.3968269014105238,0.6019603294233381,-0.17956785555066956,0.28914456666471855,1.2244262061249684,0.6458333333333334
2010-2013,CurrentDefensive,48.0,0.045345948514504686,0.05777162662318837,0.7973693664640797,1.2988243164374833,-0.08933845417896846,0.5075748056225017,1.194098523864834,0.6041666666666666
2010-2013,FinalBlend,48.0,0.05140591983446363,0.10390784725170661,0.5342195330560371,0.8488903316477169,-0.10333262236706509,0.4974800663807415,1.2220294487479992,0.5625
2014-2017,Hard,48.0,0.03332950497314968,0.12838664096634245,0.3185800554320695,0.4911534429853566,-0.25155028510583777,0.13249639116539486,1.1401324864131726,0.5208333333333334
2014-2017,CurrentDefensive,48.0,0.04885918498887887,0.040936332779539134,1.1875640193271744,2.3012160141994995,-0.030312615813028798,1.6118432434286483,1.2102323090074116,0.6666666666666666
2014-2017,FinalBlend,48.0,0.04529020457365163,0.0682957120614828,0.683002743190441,1.2180163702758935,-0.08120721741026438,0.5577115682321984,1.1938438390557742,0.5416666666666666
2018-2020,Hard,36.0,0.10870722978570946,0.2151924874163125,0.5910130191595295,0.8374258483054224,-0.2667196817244306,0.4075710839293201,1.3628580965749435,0.6111111111111112
2018-2020,CurrentDefensive,36.0,0.05187075716517797,0.05728285735312362,0.9124513804506702,1.5944819666682373,-0.05668295726527428,0.9151032279848178,1.163823560027944,0.6388888888888888
2018-2020,FinalBlend,36.0,0.08644713195431075,0.12345371313578185,0.7350160854060453,1.0765047868682214,-0.09894728048496182,0.8736685993856005,1.2824067443666687,0.5833333333333334
2021-2023,Hard,36.0,0.4060325481432103,0.2231675142214193,1.6553708047592919,3.503299076729014,-0.14618425003698976,2.777539632624375,2.7796244474922003,0.6666666666666666
2021-2023,CurrentDefensive,36.0,0.02536413042814445,0.05590351403159014,0.4755933200471661,0.7998530869925724,-0.060957093680835794,0.4160980928806755,1.0780387263587168,0.5
2021-2023,FinalBlend,36.0,0.19774025855273858,0.1158087001521964,1.6257053977303548,3.345857563756989,-0.0784310144845497,2.521199806636339,1.7182562885616868,0.6388888888888888
2024-current,Hard,31.0,0.17552464469583784,0.28187187863379853,0.7144937070212738,1.1884051579524888,-0.25617966321934027,0.6851622899728546,1.518560122401863,0.5806451612903226
2024-current,CurrentDefensive,31.0,0.22161324302961316,0.1012162989801573,2.0421745393472355,5.069807073654569,-0.08051673733810638,2.752387271965746,1.6771766517871634,0.8064516129032258
2024-current,FinalBlend,31.0,0.24327926484847762,0.19286859829991027,1.2315006032287616,2.318983220797125,-0.14900559725470008,1.6326854113582894,1.7551023624915096,0.6774193548387096
